Source	Target	interaction	qval	pval	minus_log10_qval	n_pathways	pathways
CCL3	CCR5	CCL3_CCR5	4.22877425735969e-77	2.31720675033484e-79	76.3737854979696	8	REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS; REACTOME_G_ALPHA_I_SIGNALLING_EVENTS; REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS; REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES; REACTOME_HIV_INFECTION; REACTOME_HIV_LIFE_CYCLE; REACTOME_INTERLEUKIN_10_SIGNALING; REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE
CCL3L1	CCR5	CCL3L1_CCR5	4.22877425735969e-77	3.72032925867422e-79	76.3737854979696	8	REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS; REACTOME_G_ALPHA_I_SIGNALLING_EVENTS; REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS; REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES; REACTOME_HIV_INFECTION; REACTOME_HIV_LIFE_CYCLE; REACTOME_INTERLEUKIN_10_SIGNALING; REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE
CCL5	CCR5	CCL5_CCR5	4.22877425735969e-77	3.5119779488614e-79	76.3737854979696	8	REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS; REACTOME_G_ALPHA_I_SIGNALLING_EVENTS; REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS; REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES; REACTOME_HIV_INFECTION; REACTOME_HIV_LIFE_CYCLE; REACTOME_INTERLEUKIN_10_SIGNALING; REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE
CCL4	CCR5	CCL4_CCR5	1.38922189979983e-76	1.62958580621681e-78	75.857228379056	8	REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS; REACTOME_G_ALPHA_I_SIGNALLING_EVENTS; REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS; REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES; REACTOME_HIV_INFECTION; REACTOME_HIV_LIFE_CYCLE; REACTOME_INTERLEUKIN_10_SIGNALING; REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE
CXCL13	CXCR5	CXCL13_CXCR5	1.14339660157641e-71	3.01776229155063e-73	70.9418031029376	4	REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS; REACTOME_G_ALPHA_I_SIGNALLING_EVENTS; REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS; REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES
CXCL10	SDC4	CXCL10_SDC4	5.55070193711855e-68	2.27888056069383e-69	67.2556520928879	24	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION; REACTOME_SARS_COV_2_INFECTION; REACTOME_GLYCOSAMINOGLYCAN_METABOLISM; REACTOME_METABOLISM_OF_CARBOHYDRATES; REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM; REACTOME_HS_GAG_DEGRADATION; REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS; REACTOME_VISUAL_PHOTOTRANSDUCTION; REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS; REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS; REACTOME_DISEASES_OF_GLYCOSYLATION; REACTOME_DISEASES_OF_METABOLISM; REACTOME_SYNDECAN_INTERACTIONS; REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM; REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS; REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM; REACTOME_DEFECTIVE_B4GALT7_CAUSES_EDS_PROGEROID_TYPE; REACTOME_HS_GAG_BIOSYNTHESIS; REACTOME_DEFECTIVE_EXT2_CAUSES_EXOSTOSES_2; REACTOME_ATTACHMENT_AND_ENTRY; REACTOME_EARLY_SARS_COV_2_INFECTION_EVENTS; REACTOME_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_PATHWAY; REACTOME_RESPIRATORY_SYNCYTIAL_VIRUS_RSV_ATTACHMENT_AND_ENTRY; REACTOME_RSV_HOST_INTERACTIONS
CCL5	SDC4	CCL5_SDC4	7.49654515035479e-67	4.17696064096015e-68	66.125138838985	24	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION; REACTOME_SARS_COV_2_INFECTION; REACTOME_GLYCOSAMINOGLYCAN_METABOLISM; REACTOME_METABOLISM_OF_CARBOHYDRATES; REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM; REACTOME_HS_GAG_DEGRADATION; REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS; REACTOME_VISUAL_PHOTOTRANSDUCTION; REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS; REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS; REACTOME_DISEASES_OF_GLYCOSYLATION; REACTOME_DISEASES_OF_METABOLISM; REACTOME_SYNDECAN_INTERACTIONS; REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM; REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS; REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM; REACTOME_DEFECTIVE_B4GALT7_CAUSES_EDS_PROGEROID_TYPE; REACTOME_HS_GAG_BIOSYNTHESIS; REACTOME_DEFECTIVE_EXT2_CAUSES_EXOSTOSES_2; REACTOME_ATTACHMENT_AND_ENTRY; REACTOME_EARLY_SARS_COV_2_INFECTION_EVENTS; REACTOME_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_PATHWAY; REACTOME_RESPIRATORY_SYNCYTIAL_VIRUS_RSV_ATTACHMENT_AND_ENTRY; REACTOME_RSV_HOST_INTERACTIONS
TNFSF10	TNFRSF10A	TNFSF10_TNFRSF10A	6.07848038325401e-65	3.56509113387332e-66	64.216204980539	13	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53; REACTOME_DEATH_RECEPTOR_SIGNALING; REACTOME_PROGRAMMED_CELL_DEATH; REACTOME_APOPTOSIS; REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_DEATH_GENES; REACTOME_REGULATED_NECROSIS; REACTOME_TRAIL_SIGNALING; REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_DEATH_RECEPTORS_AND_LIGANDS; REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL; REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY; REACTOME_CASPASE_ACTIVATION_VIA_DEATH_RECEPTORS_IN_THE_PRESENCE_OF_LIGAND; REACTOME_RIPK1_MEDIATED_REGULATED_NECROSIS; REACTOME_REGULATION_BY_C_FLIP
TNFSF10	TNFRSF10D	TNFSF10_TNFRSF10D	9.69673888652345e-61	5.97159872777104e-62	60.0133742989004	6	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53; REACTOME_DEATH_RECEPTOR_SIGNALING; REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_DEATH_GENES; REACTOME_TRAIL_SIGNALING; REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_DEATH_RECEPTORS_AND_LIGANDS; REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL
IL36G	IL1RAP	IL36G_IL1RAP	9.24665579709881e-60	5.96558438522504e-61	59.0340153085011	4	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS; REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING; REACTOME_INTERLEUKIN_1_SIGNALING; REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK
