id	type	logFC	expr	degree
ACVR1C	Receptor	1.91484827006922	5.21372281519706	1
CAV1	Receptor	1.92297230054003	-6.5969281907623	1
CCL3	Ligand	3.78553112756933	-0.166109462428779	1
CCL3L1	Ligand	3.8787097130868	0.191015248672731	1
CCL4	Ligand	2.66918350415053	-4.04885226861294	1
CCL5	Ligand	1.63997181360888	4.80283224133674	2
CCR5	Receptor	9.22931113504326	-0.901771956739622	4
CXCL10	Ligand	7.7634572705478	-0.744026419345286	1
CXCL13	Ligand	10.4901964132209	0.816764187622377	1
CXCR5	Receptor	1.57998118339184	0.277328022068975	1
IL1A	Ligand	6.1382963312496	-5.86732714158455	1
IL1B	Ligand	1.64490431987461	3.94769909033376	1
IL1RAP	Receptor	2.47767308969493	-3.53289038756631	4
IL33	Ligand	5.06586052454048	6.29731105265843	1
IL36G	Ligand	6.72869025602475	-2.9894698752378	1
INHBA	Ligand	5.07812678627373	0.296222582126582	1
ITGB3	Receptor	2.17819919194684	2.60026296790812	2
L1CAM	Ligand	2.74487123117038	-6.5969281907623	1
MET	Receptor	3.78270088505777	-6.54215536122773	1
PTGS2	Ligand	4.07434094628366	-5.01966297742963	1
SDC4	Receptor	1.3962305533275	6.5375410584485	2
TNF	Ligand	1.95790257013617	-4.29015721176129	1
TNFRSF10A	Receptor	1.25171572627845	4.436968282001	1
TNFRSF10D	Receptor	1.86173637720939	9.70182143216909	1
TNFRSF1B	Receptor	1.66520207830815	-6.54686793613511	1
TNFRSF9	Receptor	1.58449022019021	1.02512476364261	1
TNFSF10	Ligand	4.03539209464421	6.25643193374884	2
TNFSF9	Ligand	2.89602032987142	6.91743683569123	1
UBB	Ligand	1.41863740775212	4.36704112231615	1
VEGFA	Ligand	2.84665577210696	7.1450909242977	1
