Source	Target	interaction	qval	pval	minus_log10_qval	comparisons	n_comparisons	n_pathways	pathways
PTGS2	CAV1	PTGS2_CAV1	6.09942658926758e-103	1.43179027917079e-105	102.214710991354	M_bovis_vs_Lineage_5	1	4	REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS; REACTOME_SARS_COV_2_HOST_INTERACTIONS; REACTOME_SARS_COV_2_INFECTION; REACTOME_ESR_MEDIATED_SIGNALING
ICAM1	CAV1	ICAM1_CAV1	1.36051864121244e-102	6.38741146109128e-105	101.866295503336	M_bovis_vs_Lineage_5	1	4	REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS; REACTOME_SARS_COV_2_HOST_INTERACTIONS; REACTOME_SARS_COV_2_INFECTION; REACTOME_ESR_MEDIATED_SIGNALING
C3	C3AR1	C3_C3AR1	5.08796696471024e-98	3.58307532726073e-100	97.2934557171495	M_bovis_vs_Lineage_5	1	3	REACTOME_G_ALPHA_I_SIGNALLING_EVENTS; REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS; REACTOME_LEISHMANIA_INFECTION
NTN1	ADORA2B	NTN1_ADORA2B	4.6345294693317e-87	4.35167086322226e-89	86.3339943519717	M_bovis_vs_Lineage_5	1	2	REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS; REACTOME_LEISHMANIA_INFECTION
MMP1	CD44	MMP1_CD44	5.19033895708653e-86	6.09194713273067e-88	85.2848042794568	M_bovis_vs_Lineage_5	1	2	REACTOME_INTERFERON_SIGNALING; REACTOME_METABOLISM_OF_CARBOHYDRATES
PKM	CD44	PKM_CD44	5.11535258050547e-85	7.2047219443739e-87	84.291124426763	M_bovis_vs_Lineage_5	1	2	REACTOME_INTERFERON_SIGNALING; REACTOME_METABOLISM_OF_CARBOHYDRATES
VIM	CD44	VIM_CD44	3.61680889128497e-84	5.94311320164196e-86	83.4416744383363	M_bovis_vs_Lineage_5	1	2	REACTOME_INTERFERON_SIGNALING; REACTOME_METABOLISM_OF_CARBOHYDRATES
MMP7	CD44	MMP7_CD44	1.71477099178039e-83	3.62275561643745e-85	82.7657938719169	M_bovis_vs_Lineage_5	1	2	REACTOME_INTERFERON_SIGNALING; REACTOME_METABOLISM_OF_CARBOHYDRATES
MMP9	CD44	MMP9_CD44	3.04816813967288e-83	7.30230406734776e-85	82.5159610806008	M_bovis_vs_Lineage_5	1	2	REACTOME_INTERFERON_SIGNALING; REACTOME_METABOLISM_OF_CARBOHYDRATES
HBEGF	CD44	HBEGF_CD44	1.05291354856844e-82	3.21311646276753e-84	81.9776072859095	M_bovis_vs_Lineage_5	1	2	REACTOME_INTERFERON_SIGNALING; REACTOME_METABOLISM_OF_CARBOHYDRATES
SPP1	CD44	SPP1_CD44	6.34229085773841e-82	2.23320100624592e-83	81.1977538450881	M_bovis_vs_Lineage_5	1	2	REACTOME_INTERFERON_SIGNALING; REACTOME_METABOLISM_OF_CARBOHYDRATES
COL5A3	SDC3	COL5A3_SDC3	6.36191335017573e-82	2.38945102354018e-83	81.1964122503177	M_bovis_vs_Lineage_5	1	1	REACTOME_SARS_COV_2_INFECTION
TGM2	SDC4	TGM2_SDC4	2.62353579804341e-81	1.1085362526944e-82	80.581113005494	M_bovis_vs_Lineage_5	1	1	REACTOME_SARS_COV_2_INFECTION
CCL5	SDC4	CCL5_SDC4	7.00311654368835e-81	3.12345573544786e-82	80.1547086461981	Infected_vs_Control; M_bovis_vs_Lineage_5	2	2	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION; REACTOME_SARS_COV_2_INFECTION
FYN	CD86	FYN_CD86	8.36653130436087e-79	4.51714131456103e-80	78.0774545596424	M_bovis_vs_Lineage_5	1	1	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS
CCL3	CCR5	CCL3_CCR5	4.22877425735969e-77	2.31720675033484e-79	76.3737854979696	Infected_vs_Control	1	5	REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS; REACTOME_G_ALPHA_I_SIGNALLING_EVENTS; REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS; REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES; REACTOME_HIV_INFECTION
CCL3L1	CCR5	CCL3L1_CCR5	4.22877425735969e-77	3.72032925867422e-79	76.3737854979696	Infected_vs_Control	1	5	REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS; REACTOME_G_ALPHA_I_SIGNALLING_EVENTS; REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS; REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES; REACTOME_HIV_INFECTION
CCL5	CCR5	CCL5_CCR5	4.22877425735969e-77	3.5119779488614e-79	76.3737854979696	Infected_vs_Control	1	5	REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS; REACTOME_G_ALPHA_I_SIGNALLING_EVENTS; REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS; REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES; REACTOME_HIV_INFECTION
CCL4	CCR5	CCL4_CCR5	1.38922189979983e-76	1.62958580621681e-78	75.857228379056	Infected_vs_Control	1	5	REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS; REACTOME_G_ALPHA_I_SIGNALLING_EVENTS; REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS; REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES; REACTOME_HIV_INFECTION
CXCL13	CXCR5	CXCL13_CXCR5	1.14339660157641e-71	3.01776229155063e-73	70.9418031029376	Infected_vs_Control	1	4	REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS; REACTOME_G_ALPHA_I_SIGNALLING_EVENTS; REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS; REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES
VEGFA	ITGB3	VEGFA_ITGB3	1.93134965342721e-70	1.13342115811456e-71	69.7141390940055	Infected_vs_Control; M_bovis_vs_Lineage_5	2	1	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES
L1CAM	ITGB3	L1CAM_ITGB3	3.1384519640982e-69	1.91548711423834e-70	68.5032845141016	Infected_vs_Control; M_bovis_vs_Lineage_5	2	1	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES
TGM2	ITGB3	TGM2_ITGB3	5.6178335325027e-69	3.5605987177834e-70	68.2504311339466	M_bovis_vs_Lineage_5	1	1	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES
MFGE8	ITGB3	MFGE8_ITGB3	1.37366296613759e-68	9.02877066944897e-70	67.8621198101452	M_bovis_vs_Lineage_5	1	1	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES
CXCL10	SDC4	CXCL10_SDC4	5.55070193711855e-68	2.27888056069383e-69	67.2556520928879	Infected_vs_Control	1	1	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION
VWF	ITGB3	VWF_ITGB3	1.1764777177259e-66	8.28505435018241e-68	65.9294162938686	M_bovis_vs_Lineage_5	1	1	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES
