id	type	logFC	expr	degree
ADORA2B	Receptor	1.13137475173186	1.2071146961789	1
APOE	Ligand	3.05942595558869	2.03514784951971	1
C3	Ligand	1.03750240630761	6.01447233214249	2
C3AR1	Receptor	1.26388004592527	0.834399464390991	1
CAV1	Receptor	2.85666377822731	-1.80024512590332	2
CCL3	Ligand	3.78553112756933	-0.166109462428779	1
CCL3L1	Ligand	3.8787097130868	0.191015248672731	1
CCL4	Ligand	2.66918350415053	-4.04885226861294	1
CCL5	Ligand	1.74682391593322	4.88501783241048	2
CCR5	Receptor	9.22931113504326	-0.901771956739622	4
CD44	Receptor	1.55592581232681	1.98598310774521	7
CD86	Receptor	3.12746067805213	-3.33900163338511	1
COL5A3	Ligand	2.49176632148612	7.29659313925758	1
CXCL10	Ligand	7.7634572705478	-0.744026419345286	1
CXCL13	Ligand	10.4901964132209	0.816764187622377	1
CXCR5	Receptor	1.57998118339184	0.277328022068975	1
FYN	Ligand	1.47375844191486	6.44731916699853	1
HBEGF	Ligand	1.2736233697865	-1.55932928398102	1
ICAM1	Ligand	2.27020958061519	4.43472153238014	2
IL1A	Ligand	6.1382963312496	-5.86732714158455	1
IL1B	Ligand	1.64490431987461	3.94769909033376	1
IL1RAP	Receptor	2.47767308969493	-3.53289038756631	4
IL33	Ligand	5.06586052454048	6.29731105265843	1
IL36G	Ligand	6.72869025602475	-2.9894698752378	1
ITGAX	Receptor	1.42058676901063	6.19735131717987	2
ITGB3	Receptor	1.49216867643332	4.83580549021858	6
L1CAM	Ligand	2.56625946747365	-1.53280872326616	1
LDLR	Receptor	3.20547378803716	-0.0976515017545235	1
LY96	Receptor	1.27869586709035	1.76417920245874	2
MET	Receptor	3.78270088505777	-6.54215536122773	1
MFGE8	Ligand	1.63843635767921	-1.51398525674748	1
MMP1	Ligand	6.5826728767406	2.74445274022874	1
MMP7	Ligand	3.99573802560341	7.74654491896859	1
MMP9	Ligand	1.93150048054717	2.29990741415467	1
NTN1	Ligand	2.55046850192667	-4.07918492022003	1
PKM	Ligand	1.31958137702534	2.53220252872908	1
PTGS2	Ligand	3.59367888868314	-0.649553427374649	1
S100A8	Ligand	7.06425517830845	3.30230282095474	1
S100A9	Ligand	6.40669890772776	5.55631914130377	1
SDC3	Receptor	1.44869541287351	4.4337666580672	1
SDC4	Receptor	1.3786198663453	6.12105824848085	3
SPP1	Ligand	1.17709659274547	-4.34270550755836	2
TGM2	Ligand	1.38794980130569	1.56720196104912	2
TNF	Ligand	1.95790257013617	-4.29015721176129	1
TNFRSF10A	Receptor	1.25171572627845	4.436968282001	1
TNFRSF10D	Receptor	1.86173637720939	9.70182143216909	1
TNFRSF1B	Receptor	1.66520207830815	-6.54686793613511	1
TNFSF10	Ligand	4.03539209464421	6.25643193374884	2
UBB	Ligand	1.41863740775212	4.36704112231615	1
VEGFA	Ligand	2.87793641776088	2.95322485916783	1
VIM	Ligand	1.57490990455751	4.71465094338074	1
VWF	Ligand	1.8512660670454	-3.09017644405622	1
