Source	Target	interaction	qval	pval	minus_log10_qval	n_pathways	pathways
PTGS2	CAV1	PTGS2_CAV1	6.09942658926758e-103	1.43179027917079e-105	102.214710991354	27	REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS; REACTOME_SARS_COV_2_HOST_INTERACTIONS; REACTOME_SARS_COV_2_INFECTION; REACTOME_ESR_MEDIATED_SIGNALING; REACTOME_SIGNALING_BY_WNT; REACTOME_SARS_COV_1_INFECTION; REACTOME_FOXO_MEDIATED_TRANSCRIPTION; REACTOME_EXTRA_NUCLEAR_ESTROGEN_SIGNALING; REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT; REACTOME_SARS_COV_1_HOST_INTERACTIONS; REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_CELL_CYCLE_GENES; REACTOME_SIGNALING_BY_VEGF; REACTOME_RAC1_GTPASE_CYCLE; REACTOME_CDC42_GTPASE_CYCLE; REACTOME_RHOQ_GTPASE_CYCLE; REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL; REACTOME_RHOJ_GTPASE_CYCLE; REACTOME_RAC3_GTPASE_CYCLE; REACTOME_RHOG_GTPASE_CYCLE; REACTOME_VEGFR2_MEDIATED_VASCULAR_PERMEABILITY; REACTOME_DISASSEMBLY_OF_THE_DESTRUCTION_COMPLEX_AND_RECRUITMENT_OF_AXIN_TO_THE_MEMBRANE; REACTOME_SARS_COV_1_TARGETS_HOST_INTRACELLULAR_SIGNALLING_AND_REGULATORY_PATHWAYS; REACTOME_RAC2_GTPASE_CYCLE; REACTOME_BASIGIN_INTERACTIONS; REACTOME_ENOS_ACTIVATION; REACTOME_METABOLISM_OF_NITRIC_OXIDE_NOS3_ACTIVATION_AND_REGULATION; REACTOME_NOSTRIN_MEDIATED_ENOS_TRAFFICKING
ICAM1	CAV1	ICAM1_CAV1	1.36051864121244e-102	6.38741146109128e-105	101.866295503336	27	REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS; REACTOME_SARS_COV_2_HOST_INTERACTIONS; REACTOME_SARS_COV_2_INFECTION; REACTOME_ESR_MEDIATED_SIGNALING; REACTOME_SIGNALING_BY_WNT; REACTOME_SARS_COV_1_INFECTION; REACTOME_FOXO_MEDIATED_TRANSCRIPTION; REACTOME_EXTRA_NUCLEAR_ESTROGEN_SIGNALING; REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT; REACTOME_SARS_COV_1_HOST_INTERACTIONS; REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_CELL_CYCLE_GENES; REACTOME_SIGNALING_BY_VEGF; REACTOME_RAC1_GTPASE_CYCLE; REACTOME_CDC42_GTPASE_CYCLE; REACTOME_RHOQ_GTPASE_CYCLE; REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL; REACTOME_RHOJ_GTPASE_CYCLE; REACTOME_RAC3_GTPASE_CYCLE; REACTOME_RHOG_GTPASE_CYCLE; REACTOME_VEGFR2_MEDIATED_VASCULAR_PERMEABILITY; REACTOME_DISASSEMBLY_OF_THE_DESTRUCTION_COMPLEX_AND_RECRUITMENT_OF_AXIN_TO_THE_MEMBRANE; REACTOME_SARS_COV_1_TARGETS_HOST_INTRACELLULAR_SIGNALLING_AND_REGULATORY_PATHWAYS; REACTOME_RAC2_GTPASE_CYCLE; REACTOME_BASIGIN_INTERACTIONS; REACTOME_ENOS_ACTIVATION; REACTOME_METABOLISM_OF_NITRIC_OXIDE_NOS3_ACTIVATION_AND_REGULATION; REACTOME_NOSTRIN_MEDIATED_ENOS_TRAFFICKING
C3	C3AR1	C3_C3AR1	5.08796696471024e-98	3.58307532726073e-100	97.2934557171495	6	REACTOME_G_ALPHA_I_SIGNALLING_EVENTS; REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS; REACTOME_LEISHMANIA_INFECTION; REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS; REACTOME_PURINERGIC_SIGNALING_IN_LEISHMANIASIS_INFECTION; REACTOME_COMPLEMENT_CASCADE
NTN1	ADORA2B	NTN1_ADORA2B	4.6345294693317e-87	4.35167086322226e-89	86.3339943519717	5	REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS; REACTOME_LEISHMANIA_INFECTION; REACTOME_G_ALPHA_S_SIGNALLING_EVENTS; REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION; REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION
MMP1	CD44	MMP1_CD44	5.19033895708653e-86	6.09194713273067e-88	85.2848042794568	8	REACTOME_INTERFERON_SIGNALING; REACTOME_METABOLISM_OF_CARBOHYDRATES; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION; REACTOME_GLYCOSAMINOGLYCAN_METABOLISM; REACTOME_HYALURONAN_METABOLISM; REACTOME_HYALURONAN_UPTAKE_AND_DEGRADATION; REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX; REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS
PKM	CD44	PKM_CD44	5.11535258050547e-85	7.2047219443739e-87	84.291124426763	8	REACTOME_INTERFERON_SIGNALING; REACTOME_METABOLISM_OF_CARBOHYDRATES; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION; REACTOME_GLYCOSAMINOGLYCAN_METABOLISM; REACTOME_HYALURONAN_METABOLISM; REACTOME_HYALURONAN_UPTAKE_AND_DEGRADATION; REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX; REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS
VIM	CD44	VIM_CD44	3.61680889128497e-84	5.94311320164196e-86	83.4416744383363	8	REACTOME_INTERFERON_SIGNALING; REACTOME_METABOLISM_OF_CARBOHYDRATES; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION; REACTOME_GLYCOSAMINOGLYCAN_METABOLISM; REACTOME_HYALURONAN_METABOLISM; REACTOME_HYALURONAN_UPTAKE_AND_DEGRADATION; REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX; REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS
MMP7	CD44	MMP7_CD44	1.71477099178039e-83	3.62275561643745e-85	82.7657938719169	8	REACTOME_INTERFERON_SIGNALING; REACTOME_METABOLISM_OF_CARBOHYDRATES; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION; REACTOME_GLYCOSAMINOGLYCAN_METABOLISM; REACTOME_HYALURONAN_METABOLISM; REACTOME_HYALURONAN_UPTAKE_AND_DEGRADATION; REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX; REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS
MMP9	CD44	MMP9_CD44	3.04816813967288e-83	7.30230406734776e-85	82.5159610806008	8	REACTOME_INTERFERON_SIGNALING; REACTOME_METABOLISM_OF_CARBOHYDRATES; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION; REACTOME_GLYCOSAMINOGLYCAN_METABOLISM; REACTOME_HYALURONAN_METABOLISM; REACTOME_HYALURONAN_UPTAKE_AND_DEGRADATION; REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX; REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS
HBEGF	CD44	HBEGF_CD44	1.05291354856844e-82	3.21311646276753e-84	81.9776072859095	8	REACTOME_INTERFERON_SIGNALING; REACTOME_METABOLISM_OF_CARBOHYDRATES; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION; REACTOME_GLYCOSAMINOGLYCAN_METABOLISM; REACTOME_HYALURONAN_METABOLISM; REACTOME_HYALURONAN_UPTAKE_AND_DEGRADATION; REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX; REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS
