L	R	pw.id	pw.name	pval	qval	L.logFC	R.logFC	LR.pval	LR.corr	rank	len	rank.pval	rank.corr	LR.score	L.expr	R.expr
CCL5	SDC4	R-HSA-9694516	REACTOME_SARS_COV_2_INFECTION	3.12345573544786e-82	7.00311654368835e-81	2.06738022290626	1.36100917936309	1.03036700318724e-09	1	90	165	0.0265813561138657	1	0	5.13157460563172	5.70457543851319
VEGFA	ITGB3	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	1.13342115811456e-71	1.93134965342721e-70	2.9092170634148	1.35496257333061	9.00635175251775e-09	1	72	132	0.0224072601042109	1	0	-1.23864120596204	5.28291399468067
L1CAM	ITGB3	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	1.91548711423834e-70	3.1384519640982e-69	2.38764770377691	1.35496257333061	1.52207770295585e-07	1	72	132	0.0224072601042109	1	0	3.53131074422999	5.28291399468067
TGM2	ITGB3	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	3.5605987177834e-70	5.6178335325027e-69	1.38794980130569	1.35496257333061	2.82931055877464e-07	1	72	132	0.0224072601042109	1	0	1.56720196104912	5.28291399468067
MFGE8	ITGB3	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	9.02877066944897e-70	1.37366296613759e-68	1.63843635767921	1.35496257333061	7.1744103204445e-07	1	72	132	0.0224072601042109	1	0	-1.51398525674748	5.28291399468067
VWF	ITGB3	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	8.28505435018241e-68	1.1764777177259e-66	1.8512660670454	1.35496257333061	6.58344104768584e-05	1	72	132	0.0224072601042109	1	0	-3.09017644405622	5.28291399468067
SPP1	ITGB3	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	7.92111754646324e-67	1.05449877337292e-65	1.17709659274547	1.35496257333061	0.000629425085156895	1	72	132	0.0224072601042109	1	0	-4.34270550755836	5.28291399468067
CCL5	SDC4	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	1.26100996837037e-49	1.14295797133145e-48	2.06738022290626	1.36100917936309	1.03036700318724e-09	1	30	56	0.0086689444304621	1	0	5.13157460563172	5.70457543851319
VEGFA	ITGB3	R-HSA-9006936	REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS	4.54474691296433e-48	3.72319650946693e-47	2.9092170634148	1.35496257333061	9.00635175251775e-09	1	53	97	0.0331971598541389	1	0	-1.23864120596204	5.28291399468067
L1CAM	ITGB3	R-HSA-9006936	REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS	7.68064376329364e-47	5.64130041924671e-46	2.38764770377691	1.35496257333061	1.52207770295585e-07	1	53	97	0.0331971598541389	1	0	3.53131074422999	5.28291399468067
TGM2	ITGB3	R-HSA-9006936	REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS	1.42771465973598e-46	1.01367740841254e-45	1.38794980130569	1.35496257333061	2.82931055877464e-07	1	53	97	0.0331971598541389	1	0	1.56720196104912	5.28291399468067
MFGE8	ITGB3	R-HSA-9006936	REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS	3.62032041964878e-46	2.48751048188771e-45	1.63843635767921	1.35496257333061	7.1744103204445e-07	1	53	97	0.0331971598541389	1	0	-1.51398525674748	5.28291399468067
INHBA	ACVR1C	R-HSA-9006936	REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS	4.65780509554464e-45	2.83460710100288e-44	3.92004042047289	1.57923198039051	1.2382510020899e-06	1	52	96	0.0352541659247749	1	0	7.66305490494176	-3.315416863396
VWF	ITGB3	R-HSA-9006936	REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS	3.32210801890884e-44	1.9655805778544e-43	1.8512660670454	1.35496257333061	6.58344104768584e-05	1	53	97	0.0331971598541389	1	0	-3.09017644405622	5.28291399468067
