id	type	logFC	expr	degree
ACVR1C	Receptor	1.57923198039051	-3.315416863396	1
ADM	Ligand	5.1798730439455	-1.76910394141417	1
ADM2	Ligand	1.73391072500914	3.17582610654678	1
ADORA2B	Receptor	1.13137475173186	1.2071146961789	1
APOC1	Ligand	2.09853446642841	6.04011077006569	1
APOE	Ligand	3.05942595558869	2.03514784951971	2
C3	Ligand	1.03750240630761	6.01447233214249	2
C3AR1	Receptor	1.26388004592527	0.834399464390991	1
CAV1	Receptor	2.85666377822731	-1.80024512590332	2
CCL5	Ligand	2.06738022290626	5.13157460563172	1
CD44	Receptor	1.55592581232681	1.98598310774521	7
CD86	Receptor	3.12746067805213	-3.33900163338511	1
CD9	Receptor	1.1212811495637	4.99595375124965	1
COL5A3	Ligand	2.49176632148612	7.29659313925758	1
FLT1	Receptor	7.12305493028903	4.02655151724623	2
FYN	Ligand	1.47375844191486	6.44731916699853	1
FZD4	Receptor	1.98715102675391	4.41491943712615	1
GPR84	Receptor	1.00757106827257	-1.82222672381003	2
HBEGF	Ligand	1.2736233697865	-1.55932928398102	2
ICAM1	Ligand	2.27020958061519	4.43472153238014	2
IL1A	Ligand	6.44324617092261	2.71904115432009	1
IL1B	Ligand	2.52405788201668	5.26326336262721	1
IL1R1	Receptor	1.01439951461163	-3.73395357884369	3
IL1RN	Ligand	2.49605725481788	6.80608737702348	1
INHBA	Ligand	3.92004042047289	7.66305490494176	1
ITGAX	Receptor	1.42058676901063	6.19735131717987	2
ITGB3	Receptor	1.35496257333061	5.28291399468067	6
L1CAM	Ligand	2.38764770377691	3.53131074422999	1
LDLR	Receptor	3.20547378803716	-0.0976515017545235	1
MFGE8	Ligand	1.63843635767921	-1.51398525674748	1
MMP1	Ligand	6.5826728767406	2.74445274022874	1
MMP7	Ligand	3.99573802560341	7.74654491896859	1
MMP9	Ligand	1.93150048054717	2.29990741415467	1
NRP2	Receptor	3.76434226756908	-3.97365081824264	2
NTN1	Ligand	2.55046850192667	-4.07918492022003	1
PKM	Ligand	1.31958137702534	2.53220252872908	1
PTGS2	Ligand	3.59367888868314	-0.649553427374649	1
SDC3	Receptor	1.44869541287351	4.4337666580672	1
SDC4	Receptor	1.36100917936309	5.70457543851319	2
SEMA3F	Ligand	3.73436594937534	4.76694116858198	1
SPP1	Ligand	1.17709659274547	-4.34270550755836	2
TGM2	Ligand	1.38794980130569	1.56720196104912	2
TNFRSF14	Receptor	1.17975973625294	-2.67167120768171	1
TNFRSF9	Receptor	2.11832324585996	4.8302491240319	1
TNFSF14	Ligand	1.21368423971863	6.33834131678955	1
TNFSF9	Ligand	2.41744744078421	3.28534206026877	1
VEGFA	Ligand	2.9092170634148	-1.23864120596204	3
VEGFB	Ligand	1.51925413251577	-0.239020437995171	1
VIM	Ligand	1.57490990455751	4.71465094338074	1
VLDLR	Receptor	1.17137474651588	-2.11711958904955	2
VWF	Ligand	1.8512660670454	-3.09017644405622	1
WNT2B	Ligand	2.21669902438836	-4.26914024039422	1
