L	R	pw.id	pw.name	pval	qval	L.logFC	R.logFC	LR.pval	LR.corr	rank	len	rank.pval	rank.corr	LR.score	L.expr	R.expr
CCL3L1	CCR5	R-HSA-373076	REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	3.72032925867422e-79	4.22877425735969e-77	3.8787097130868	9.22931113504326	3.09421965562685e-16	1	40	74	0.0039679352310818	1	0	0.191015248672731	-0.901771956739622
CCL3	CCR5	R-HSA-373076	REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	2.31720675033484e-79	4.22877425735969e-77	3.78553112756933	9.22931113504326	1.9272344393497e-16	1	40	74	0.0039679352310818	1	0	-0.166109462428779	-0.901771956739622
CCL5	CCR5	R-HSA-373076	REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	3.5119779488614e-79	4.22877425735969e-77	1.63997181360888	9.22931113504326	2.92093264975357e-16	1	40	74	0.0039679352310818	1	0	4.80283224133674	-0.901771956739622
CCL4	CCR5	R-HSA-373076	REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	1.62958580621681e-78	1.38922189979983e-76	2.66918350415053	9.22931113504326	1.35533606880899e-15	1	40	74	0.0039679352310818	1	0	-4.04885226861294	-0.901771956739622
CCL3	CCR5	R-HSA-418594	REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	9.56290259529835e-75	6.52189956999348e-73	3.78553112756933	9.22931113504326	1.9272344393497e-16	1	55	101	0.0139672490332089	1	0	-0.166109462428779	-0.901771956739622
CCL3L1	CCR5	R-HSA-418594	REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	1.53534622311967e-74	7.47932945834013e-73	3.8787097130868	9.22931113504326	3.09421965562685e-16	1	55	101	0.0139672490332089	1	0	0.191015248672731	-0.901771956739622
CCL5	CCR5	R-HSA-418594	REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	1.44936152274475e-74	7.47932945834013e-73	1.63997181360888	9.22931113504326	2.92093264975357e-16	1	55	101	0.0139672490332089	1	0	4.80283224133674	-0.901771956739622
CCL4	CCR5	R-HSA-418594	REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	6.72515317559827e-74	2.86659654109876e-72	2.66918350415053	9.22931113504326	1.35533606880899e-15	1	55	101	0.0139672490332089	1	0	-4.04885226861294	-0.901771956739622
CXCL13	CXCR5	R-HSA-373076	REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	3.01776229155063e-73	1.14339660157641e-71	10.4901964132209	1.57998118339184	1.34379167289185e-10	1	41	75	0.0039679352310818	1	0	0.816764187622377	0.277328022068975
CXCL10	SDC4	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	2.27888056069383e-69	5.55070193711855e-68	7.7634572705478	1.3962305533275	1.37819228834142e-07	1	35	64	0.00216101459095342	1	0	-0.744026419345286	6.5375410584485
CXCL13	CXCR5	R-HSA-418594	REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	1.21968050684711e-68	2.59944408021791e-67	10.4901964132209	1.57998118339184	1.34379167289185e-10	1	56	102	0.0139672490332089	1	0	0.816764187622377	0.277328022068975
CCL5	SDC4	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	4.17696064096015e-68	7.49654515035479e-67	1.63997181360888	1.3962305533275	2.5260889242586e-06	1	35	64	0.00216101459095342	1	0	4.80283224133674	6.5375410584485
TNFSF10	TNFRSF10A	R-HSA-3700989	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	3.56509113387332e-66	6.07848038325401e-65	4.03539209464421	1.25171572627845	4.63733190077743e-10	1	149	272	0.0889883710462203	1	0	6.25643193374884	4.436968282001
