L	R	pw.id	pw.name	pval	qval	L.logFC	R.logFC	LR.pval	LR.corr	rank	len	rank.pval	rank.corr	LR.score	L.expr	R.expr
S100A9	LY96	R-HSA-166166	REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE	1.24982626844824e-10	9.16539263528709e-10	6.40669890772776	1.27869586709035	3.29289595637908e-05	1	48	89	0.247665271747118	1	0.231203097630794	5.55631914130377	1.76417920245874
S100A8	LY96	R-HSA-166166	REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE	1.22371708380559e-10	9.16539263528709e-10	7.06425517830845	1.27869586709035	3.22410653283713e-05	1	48	89	0.247665271747118	1	0.209431899986812	3.30230282095474	1.76417920245874
S100A9	LY96	R-HSA-168138	REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE	1.86223789703145e-09	6.82820562244863e-09	6.40669890772776	1.27869586709035	3.29289595637908e-05	1	44	80	0.256731020401597	1	0.231203097630794	5.55631914130377	1.76417920245874
S100A8	LY96	R-HSA-168138	REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE	1.82333527966007e-09	6.82820562244863e-09	7.06425517830845	1.27869586709035	3.22410653283713e-05	1	44	80	0.256731020401597	1	0.209431899986812	3.30230282095474	1.76417920245874
S100A9	LY96	R-HSA-168179	REACTOME_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE	5.57754806134355e-09	1.53382571686948e-08	6.40669890772776	1.27869586709035	3.29289595637908e-05	1	45	82	0.272539281672053	1	0.231203097630794	5.55631914130377	1.76417920245874
S100A8	LY96	R-HSA-168179	REACTOME_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE	5.46103168153688e-09	1.53382571686948e-08	7.06425517830845	1.27869586709035	3.22410653283713e-05	1	45	82	0.272539281672053	1	0.209431899986812	3.30230282095474	1.76417920245874
S100A9	LY96	R-HSA-937072	REACTOME_TRAF6_MEDIATED_INDUCTION_OF_TAK1_COMPLEX_WITHIN_TLR4_COMPLEX	1.79206119310748e-07	2.81609616059748e-07	6.40669890772776	1.27869586709035	3.29289595637908e-05	1	7	14	0.226343338786729	1	0.231203097630794	5.55631914130377	1.76417920245874
S100A8	LY96	R-HSA-937072	REACTOME_TRAF6_MEDIATED_INDUCTION_OF_TAK1_COMPLEX_WITHIN_TLR4_COMPLEX	1.75462458470601e-07	2.81609616059748e-07	7.06425517830845	1.27869586709035	3.22410653283713e-05	1	7	14	0.226343338786729	1	0.209431899986812	3.30230282095474	1.76417920245874
S100A9	LY96	R-HSA-5686938	REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND	1.82937436389808e-06	2.11822294767146e-06	6.40669890772776	1.27869586709035	3.29289595637908e-05	1	3	7	0.349921333152639	1	0.231203097630794	5.55631914130377	1.76417920245874
S100A8	LY96	R-HSA-5686938	REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND	1.79115827398756e-06	2.11822294767146e-06	7.06425517830845	1.27869586709035	3.22410653283713e-05	1	3	7	0.349921333152639	1	0.209431899986812	3.30230282095474	1.76417920245874
S100A9	LY96	R-HSA-5603041	REACTOME_IRAK4_DEFICIENCY_TLR2_4	4.89162554152705e-06	4.89162554152705e-06	6.40669890772776	1.27869586709035	3.29289595637908e-05	1	6	11	0.349921333152639	1	0.231203097630794	5.55631914130377	1.76417920245874
S100A8	LY96	R-HSA-5603041	REACTOME_IRAK4_DEFICIENCY_TLR2_4	4.78943825542928e-06	4.89162554152705e-06	7.06425517830845	1.27869586709035	3.22410653283713e-05	1	6	11	0.349921333152639	1	0.209431899986812	3.30230282095474	1.76417920245874
