L	R	pw.id	pw.name	pval	qval	L.logFC	R.logFC	LR.pval	LR.corr	rank	len	rank.pval	rank.corr	LR.score	L.expr	R.expr
S100A9	LY96	R-HSA-983169	REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	3.38078194579556e-14	7.43772028075022e-13	6.40669890772776	1.27869586709035	3.29289595637908e-05	1	99	181	0.250292688673518	1	0.231203097630794	5.55631914130377	1.76417920245874
S100A8	LY96	R-HSA-983169	REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	3.31015656186207e-14	7.43772028075022e-13	7.06425517830845	1.27869586709035	3.22410653283713e-05	1	99	181	0.250292688673518	1	0.209431899986812	3.30230282095474	1.76417920245874
S100A9	LY96	R-HSA-168898	REACTOME_TOLL_LIKE_RECEPTOR_CASCADES	7.2573315332232e-11	7.98306468654552e-10	6.40669890772776	1.27869586709035	3.29289595637908e-05	1	60	110	0.256425570905792	1	0.231203097630794	5.55631914130377	1.76417920245874
S100A8	LY96	R-HSA-168898	REACTOME_TOLL_LIKE_RECEPTOR_CASCADES	7.10572405481014e-11	7.98306468654552e-10	7.06425517830845	1.27869586709035	3.22410653283713e-05	1	60	110	0.256425570905792	1	0.209431899986812	3.30230282095474	1.76417920245874
S100A9	LY96	R-HSA-166166	REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE	1.24982626844824e-10	9.16539263528709e-10	6.40669890772776	1.27869586709035	3.29289595637908e-05	1	48	89	0.247665271747118	1	0.231203097630794	5.55631914130377	1.76417920245874
S100A8	LY96	R-HSA-166166	REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE	1.22371708380559e-10	9.16539263528709e-10	7.06425517830845	1.27869586709035	3.22410653283713e-05	1	48	89	0.247665271747118	1	0.209431899986812	3.30230282095474	1.76417920245874
S100A9	LY96	R-HSA-5357769	REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY	9.67354977122317e-10	4.25636189933819e-09	6.40669890772776	1.27869586709035	3.29289595637908e-05	1	6	12	0.0921444590051894	1	0.231203097630794	5.55631914130377	1.76417920245874
S100A9	LY96	R-HSA-140534	REACTOME_CASPASE_ACTIVATION_VIA_DEATH_RECEPTORS_IN_THE_PRESENCE_OF_LIGAND	9.67354977122317e-10	4.25636189933819e-09	6.40669890772776	1.27869586709035	3.29289595637908e-05	1	6	12	0.0921444590051894	1	0.231203097630794	5.55631914130377	1.76417920245874
S100A8	LY96	R-HSA-5357769	REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY	9.47146688698334e-10	4.25636189933819e-09	7.06425517830845	1.27869586709035	3.22410653283713e-05	1	6	12	0.0921444590051894	1	0.209431899986812	3.30230282095474	1.76417920245874
S100A8	LY96	R-HSA-140534	REACTOME_CASPASE_ACTIVATION_VIA_DEATH_RECEPTORS_IN_THE_PRESENCE_OF_LIGAND	9.47146688698334e-10	4.25636189933819e-09	7.06425517830845	1.27869586709035	3.22410653283713e-05	1	6	12	0.0921444590051894	1	0.209431899986812	3.30230282095474	1.76417920245874
S100A9	LY96	R-HSA-168138	REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE	1.86223789703145e-09	6.82820562244863e-09	6.40669890772776	1.27869586709035	3.29289595637908e-05	1	44	80	0.256731020401597	1	0.231203097630794	5.55631914130377	1.76417920245874
S100A8	LY96	R-HSA-168138	REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE	1.82333527966007e-09	6.82820562244863e-09	7.06425517830845	1.27869586709035	3.22410653283713e-05	1	44	80	0.256731020401597	1	0.209431899986812	3.30230282095474	1.76417920245874
S100A9	LY96	R-HSA-5357801	REACTOME_PROGRAMMED_CELL_DEATH	2.52471426739625e-09	7.93481626895966e-09	6.40669890772776	1.27869586709035	3.29289595637908e-05	1	57	105	0.2876414580118	1	0.231203097630794	5.55631914130377	1.76417920245874
S100A8	LY96	R-HSA-5357801	REACTOME_PROGRAMMED_CELL_DEATH	2.47197235226654e-09	7.93481626895966e-09	7.06425517830845	1.27869586709035	3.22410653283713e-05	1	57	105	0.2876414580118	1	0.209431899986812	3.30230282095474	1.76417920245874
S100A9	LY96	R-HSA-168179	REACTOME_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE	5.57754806134355e-09	1.53382571686948e-08	6.40669890772776	1.27869586709035	3.29289595637908e-05	1	45	82	0.272539281672053	1	0.231203097630794	5.55631914130377	1.76417920245874
