L	R	pw.id	pw.name	pval	qval	L.logFC	R.logFC	LR.pval	LR.corr	rank	len	rank.pval	rank.corr	LR.score	L.expr	R.expr
ACTR2	ADRB2	R-HSA-373076	REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	0	0	1.44743574402206	4.80213170757104	2.78121875959279e-27	1	30	55	1.93095008932176e-16	1	0	5.06461475648988	-2.12757525941195
ACTR2	ADRB2	R-HSA-5688426	REACTOME_DEUBIQUITINATION	0	0	1.44743574402206	4.80213170757104	2.78121875959279e-27	1	79	145	8.42168300922683e-10	1	0	5.06461475648988	-2.12757525941195
ACTR2	ADRB2	R-HSA-5689880	REACTOME_UB_SPECIFIC_PROCESSING_PROTEASES	0	0	1.44743574402206	4.80213170757104	2.78121875959279e-27	1	56	103	2.3165789419685e-09	1	0	5.06461475648988	-2.12757525941195
ACTR2	ADRB2	R-HSA-8856828	REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS	0	0	1.44743574402206	4.80213170757104	2.78121875959279e-27	1	48	88	6.43926250523066e-12	1	0	5.06461475648988	-2.12757525941195
ADAM15	ITGA5	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	1.01265127124354	2.55548806645391	2.3532918383655e-27	1	45	83	1.13612919742986e-16	1	0	5.90480276034764	7.02263960712023
ADAM15	ITGA9	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	1.01265127124354	8.09059973976369	2.69866592464841e-27	1	45	83	1.13612919742986e-16	1	0	5.90480276034764	5.1239734120545
ADAM17	ITGA5	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	1.57180540051559	2.55548806645391	6.87382196216429e-30	1	45	83	1.13612919742986e-16	1	0	-5.26760817289518	7.02263960712023
ADAM17	NOTCH1	R-HSA-157118	REACTOME_SIGNALING_BY_NOTCH	0	0	1.57180540051559	1.51536285566774	4.40378003688051e-24	1	51	93	4.8536293782786e-11	1	0	-5.26760817289518	-3.93900049718347
ADAM17	NOTCH1	R-HSA-3781865	REACTOME_DISEASES_OF_GLYCOSYLATION	0	0	1.57180540051559	1.51536285566774	4.40378003688051e-24	1	3	6	2.05521308926997e-17	1	0	-5.26760817289518	-3.93900049718347
ADAM17	NOTCH1	R-HSA-9711123	REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS	0	0	1.57180540051559	1.51536285566774	4.40378003688051e-24	1	53	98	4.63235779101934e-10	1	0	-5.26760817289518	-3.93900049718347
ADAM28	ITGA4	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	11.3302287682274	12.7819632380897	1.47003444760444e-37	1	45	83	7.44375534656307e-17	1	0	6.55370976303402	-1.85525234637379
ADAM28	ITGA4	R-HSA-8949275	REACTOME_RUNX3_REGULATES_IMMUNE_RESPONSE_AND_CELL_MIGRATION	0	0	11.3302287682274	12.7819632380897	1.47003444760444e-37	1	1	2	9.41750299877674e-20	1	0	6.55370976303402	-1.85525234637379
