L	R	pw.id	pw.name	pval	qval	L.logFC	R.logFC	LR.pval	LR.corr	rank	len	rank.pval	rank.corr	LR.score	L.expr	R.expr
ITGAM	ITGB2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	1.30113678042467e-265	5.00516247024437e-263	14.9545071001722	11.9149301426607	3.94656182153016e-21	1	44	81	8.99637128517652e-08	1	0	5.08975208280515	-5.86057348394259
ITGB2	ITGAL	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	2.05129609436245e-265	5.00516247024437e-263	11.9149301426607	12.7052215442675	6.22191838126543e-21	1	44	81	8.99637128517652e-08	1	0	-5.86057348394259	4.4755947091073
MMP9	ITGB2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	1.23349685439935e-264	2.00648821648961e-262	12.3632704906985	11.9149301426607	3.74139880279241e-20	1	44	81	8.99637128517652e-08	1	0	-0.760651295589167	-5.86057348394259
C3	ITGB2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	3.06646932748205e-263	3.2588928951765e-261	3.90196335214493	11.9149301426607	9.30110573830987e-19	1	44	81	8.99637128517652e-08	1	0	7.73258194741264	-5.86057348394259
ICAM2	ITGB2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	3.33902960571363e-263	3.2588928951765e-261	4.87645487057848	11.9149301426607	1.01278258835842e-18	1	44	81	8.99637128517652e-08	1	0	5.19094570642293	-5.86057348394259
ICAM3	ITGB2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	8.3842887608335e-263	6.81922152547791e-261	6.8413988043969	11.9149301426607	2.54309265728313e-18	1	44	81	8.99637128517652e-08	1	0	3.11789277304976	-5.86057348394259
ICAM2	ITGAL	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	1.05194581834599e-262	7.33356513361204e-261	4.87645487057848	12.7052215442675	3.19072465513394e-18	1	44	81	8.99637128517652e-08	1	0	5.19094570642293	4.4755947091073
ICAM3	ITGAL	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	2.64143135678459e-262	1.6112731276386e-260	6.8413988043969	12.7052215442675	8.01189567746774e-18	1	44	81	8.99637128517652e-08	1	0	3.11789277304976	4.4755947091073
ITGB2	ITGAM	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	3.64697401237873e-259	1.97747035337869e-257	11.9149301426607	14.9545071001722	3.94656182153016e-21	1	43	79	8.99637128517652e-08	1	0	-5.86057348394259	5.08975208280515
MMP9	ITGAM	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	6.90900430988678e-258	3.37159410322475e-256	12.3632704906985	14.9545071001722	7.47655797426476e-20	1	43	79	8.99637128517652e-08	1	0	-0.760651295589167	5.08975208280515
ADAM28	ITGA4	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	1.51971075048828e-256	6.57386615261868e-255	12.2754447891409	12.7164730424749	8.10942860612678e-13	1	44	80	6.2075033597373e-08	1	0	6.9432828998599	-4.74471901436337
C3	ITGAM	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	1.71757631356309e-256	6.57386615261868e-255	3.90196335214493	14.9545071001722	1.85866997726462e-18	1	43	79	8.99637128517652e-08	1	0	7.73258194741264	5.08975208280515
GNAS	ADCY1	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	1.88594520771847e-256	6.57386615261868e-255	4.03691496101728	10.6204928516965	9.5919449491343e-18	1	85	156	0.00011267532228467	1	0	-6.120008988169	5.30152224100833
