L	R	pw.id	pw.name	pval	qval	L.logFC	R.logFC	LR.pval	LR.corr	rank	len	rank.pval	rank.corr	LR.score	L.expr	R.expr
IL16	GRIN2D	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	1.49390369740401e-295	1.05469601036723e-292	5.92237427990667	5.26941372135429	2.42350347666812e-15	1	75	138	9.84761601252151e-06	1	0	5.05485465787482	6.0348110831286
YWHAZ	CSF2RB	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	8.12150384478523e-293	2.86689085720919e-290	2.43397447175788	7.54045667097116	2.79761302553984e-17	1	75	137	9.84761601252151e-06	1	0	3.39630090796005	-4.27299474189203
YWHAZ	CSF2RA	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	1.6347469669831e-290	3.8471045289669e-288	2.43397447175788	3.52187615189165	5.63121005136286e-15	1	75	137	9.84761601252151e-06	1	0	3.39630090796005	-5.61795587053739
YWHAZ	IL3RA	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	2.32825616583035e-289	4.10937213269057e-287	2.43397447175788	9.31779436257902	8.02013998984036e-14	1	75	137	9.84761601252151e-06	1	0	3.39630090796005	2.14534431862489
C3	ITGB2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	3.23539964471544e-287	4.5683842983382e-285	5.45116419360788	11.944746463134	1.07574120426742e-20	1	46	85	5.31430994066589e-08	1	0	6.55567583631929	5.91614862919166
ICAM2	ITGB2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	1.63186412527379e-286	1.92016012073882e-284	5.3985234400609	11.944746463134	5.42580105116264e-20	1	46	85	5.31430994066589e-08	1	0	-2.79505259940264	5.91614862919166
ICAM3	ITGB2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	1.91845444284963e-286	1.93489833807405e-284	7.16681577509801	11.944746463134	6.37868801170854e-20	1	46	85	5.31430994066589e-08	1	0	7.54986602547591	5.91614862919166
EFNB2	PECAM1	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	1.5217444626805e-285	1.34293948831554e-283	3.35814715099354	11.7593691614151	5.05966310389201e-19	1	46	85	5.31430994066589e-08	1	0	3.73931126900062	-6.08495718238946
ITGAM	ITGB2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	5.76356094120764e-285	4.52119336054733e-283	14.045945198681	11.944746463134	1.91633203579359e-18	1	46	85	5.31430994066589e-08	1	0	-4.95893465592248	5.91614862919166
MMP9	ITGB2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	8.64654466751042e-285	6.10446053526236e-283	15.8852540748434	11.944746463134	2.87489812535904e-18	1	46	85	5.31430994066589e-08	1	0	2.7919128994747	5.91614862919166
