L	R	pw.id	pw.name	pval	qval	L.logFC	R.logFC	LR.pval	LR.corr	rank	len	rank.pval	rank.corr	LR.score	L.expr	R.expr
IL33	IL1RAP	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	1.09271573201142e-110	4.81887637817038e-108	5.70376299603761	3.18987383403066	3.1237568404101e-15	1	84	153	0.0100913115527189	1	0	7.20397614331136	7.13040718939507
CXCL13	CXCR5	R-HSA-418594	REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	8.29720512154115e-110	1.82953372929982e-107	11.0330925432053	1.15121352143944	2.6000800455585e-11	1	41	76	0.000455873805258391	1	0	5.9313024030686	1.83524126002443
IL36G	IL1RAP	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	9.22643786248538e-108	1.35628636578535e-105	7.83346645751058	3.18987383403066	2.63757055391751e-12	1	84	153	0.0100913115527189	1	0	5.72586551857899	7.13040718939507
IL1B	IL1RAP	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	1.67439105489855e-106	1.84601613802565e-104	2.66579441776426	3.18987383403066	4.78659761000507e-11	1	84	153	0.0100913115527189	1	0	5.19718447797992	7.13040718939507
UBB	MET	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	2.78623747420171e-105	2.45746145224591e-103	1.43046995494219	4.61039720333352	6.57284494297917e-11	1	83	152	0.0105533858045118	1	0	-0.0360146558728392	5.3123876015343
CD274	CD80	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	5.21852154676181e-103	3.83561333686993e-101	6.56575369469783	5.50134194101781	1.2310699743312e-08	1	83	152	0.0105533858045118	1	0	5.01306834413732	6.73247420964505
CD86	CD80	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	1.87409290513268e-101	1.03309371395439e-99	3.03931938542175	5.50134194101781	4.421059650597e-07	1	83	152	0.0105533858045118	1	0	2.63196896395825	6.73247420964505
CD80	CD86	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	1.87409290513268e-101	1.03309371395439e-99	5.50134194101781	3.03931938542175	4.421059650597e-07	1	83	152	0.0105533858045118	1	0	6.73247420964505	2.63196896395825
FN1	NT5E	R-HSA-9658195	REACTOME_LEISHMANIA_INFECTION	3.70293660115629e-97	1.81443893456658e-95	3.59475854533892	3.8310612276882	8.27085940653059e-11	1	47	87	0.00192154594762085	1	0	-5.66147506137305	4.90707965799604
L1CAM	ITGB3	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	1.2152883356327e-87	5.35942156014021e-86	3.5520305327134	3.14061293072772	1.09316875068012e-11	1	67	123	0.0111164172057913	1	0	-6.17158253734994	7.68923862885459
UBB	MET	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	7.30710769600325e-87	2.92948590357949e-85	1.43046995494219	4.61039720333352	6.57284494297917e-11	1	67	123	0.0111164172057913	1	0	-0.0360146558728392	5.3123876015343
MFGE8	ITGB3	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	2.04989919807415e-86	7.03161270879163e-85	1.7964573413793	3.14061293072772	1.84391282272306e-10	1	67	123	0.0111164172057913	1	0	4.26364085563949	7.68923862885459
VEGFA	ITGB3	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	2.07281100259164e-86	7.03161270879163e-85	3.43461456656908	3.14061293072772	1.86452230936572e-10	1	67	123	0.0111164172057913	1	0	-5.4762977096206	7.68923862885459
CSF2	IL3RA	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	8.98998093590507e-85	2.8318439948101e-83	7.0518391739191	3.32703769161041	8.08661281458366e-09	1	67	123	0.0111164172057913	1	0	4.3852474312949	-6.4630722594743
TGM2	ITGB3	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	2.94641905851373e-84	8.66247203203037e-83	1.52932329164696	3.14061293072772	2.65034489901417e-08	1	67	123	0.0111164172057913	1	0	-4.62464986525431	7.68923862885459
CSF2	CSF2RA	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	4.64422383301379e-84	1.28006419397443e-82	7.0518391739191	2.5544999710485	4.17754389354143e-08	1	67	123	0.0111164172057913	1	0	4.3852474312949	-4.5298709544509
FN1	ITGB3	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	2.55783804390564e-83	6.63533280801404e-82	3.59475854533892	3.14061293072772	2.30081087501155e-07	1	67	123	0.0111164172057913	1	0	-5.66147506137305	7.68923862885459
VEGFA	FLT1	R-HSA-194138	REACTOME_SIGNALING_BY_VEGF	1.29370061936865e-81	3.16956651745318e-80	3.43461456656908	5.37738209189918	1.95670898391455e-13	1	33	61	0.00112618216525763	1	0	-5.4762977096206	5.2110013231673
VEGFB	FLT1	R-HSA-194138	REACTOME_SIGNALING_BY_VEGF	5.51303666100348e-80	1.27960482500133e-78	1.4434243877776	5.37738209189918	8.33841168639176e-12	1	33	61	0.00112618216525763	1	0	7.36956887588209	5.2110013231673
CXCL13	CXCR5	R-HSA-373076	REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	1.7281983497632e-79	3.81067736122785e-78	11.0330925432053	1.15121352143944	2.6000800455585e-11	1	30	55	0.000602473831581938	1	0	5.9313024030686	1.83524126002443
VEGFC	FLT1	R-HSA-194138	REACTOME_SIGNALING_BY_VEGF	2.76116902654093e-79	5.79845495573595e-78	2.10115907048625	5.37738209189918	4.1762399734924e-11	1	33	61	0.00112618216525763	1	0	-1.4153650536588	5.2110013231673
L1CAM	ITGB3	R-HSA-194138	REACTOME_SIGNALING_BY_VEGF	1.62908406951764e-77	3.265573066624e-76	3.5520305327134	3.14061293072772	1.09316875068012e-11	1	32	59	0.00112618216525763	1	0	-6.17158253734994	7.68923862885459
VEGFA	AXL	R-HSA-194138	REACTOME_SIGNALING_BY_VEGF	2.31610417515418e-77	4.44087800540432e-76	3.43461456656908	2.32717579931096	1.55418173621204e-11	1	32	59	0.00112618216525763	1	0	-5.4762977096206	7.19096159641439
MFGE8	ITGB3	R-HSA-194138	REACTOME_SIGNALING_BY_VEGF	2.74787310121019e-76	4.90142603507521e-75	1.7964573413793	3.14061293072772	1.84391282272306e-10	1	32	59	0.00112618216525763	1	0	4.26364085563949	7.68923862885459
VEGFA	ITGB3	R-HSA-194138	REACTOME_SIGNALING_BY_VEGF	2.77858618768436e-76	4.90142603507521e-75	3.43461456656908	3.14061293072772	1.86452230936572e-10	1	32	59	0.00112618216525763	1	0	-5.4762977096206	7.68923862885459
MMP9	CD44	R-HSA-913531	REACTOME_INTERFERON_SIGNALING	2.45605881395859e-75	4.16585360367591e-74	2.11013079986437	2.52880355562862	3.70752269333135e-14	1	70	128	0.0220552742021754	1	0	-4.89215741688555	5.5756060905464
HBEGF	CD44	R-HSA-913531	REACTOME_INTERFERON_SIGNALING	4.02517580239268e-75	6.57445381057471e-74	2.61313762711061	2.52880355562862	6.07616989756285e-14	1	70	128	0.0220552742021754	1	0	3.44932514544983	5.5756060905464
PKM	CD44	R-HSA-913531	REACTOME_INTERFERON_SIGNALING	1.12187404217977e-74	1.76695161643314e-73	1.62964312171161	2.52880355562862	1.69351541860552e-13	1	70	128	0.0220552742021754	1	0	6.33519184407894	5.5756060905464
TGM2	ITGB3	R-HSA-194138	REACTOME_SIGNALING_BY_VEGF	3.9496506381335e-74	6.00619286695473e-73	1.52932329164696	3.14061293072772	2.65034489901417e-08	1	32	59	0.00112618216525763	1	0	-4.62464986525431	7.68923862885459
VIM	CD44	R-HSA-913531	REACTOME_INTERFERON_SIGNALING	7.58552359493444e-74	1.11507196845536e-72	1.56601853159025	2.52880355562862	1.1450662626312e-12	1	70	128	0.0220552742021754	1	0	3.80995968652994	5.5756060905464
MMP2	CD44	R-HSA-913531	REACTOME_INTERFERON_SIGNALING	8.63555681543347e-74	1.22847759858263e-72	1.42889012402774	2.52880355562862	1.30357313435702e-12	1	70	128	0.0220552742021754	1	0	2.49375458007399	5.5756060905464
FN1	ITGB3	R-HSA-194138	REACTOME_SIGNALING_BY_VEGF	3.42876096771181e-73	4.72526120862783e-72	3.59475854533892	3.14061293072772	2.30081087501155e-07	1	32	59	0.00112618216525763	1	0	-5.66147506137305	7.68923862885459
MMP7	CD44	R-HSA-913531	REACTOME_INTERFERON_SIGNALING	3.87729560403547e-73	5.18147685266559e-72	6.69872993237618	2.52880355562862	5.85293860188389e-12	1	70	128	0.0220552742021754	1	0	0.98858977144242	5.5756060905464
