L	R	pw.id	pw.name	pval	qval	L.logFC	R.logFC	LR.pval	LR.corr	rank	len	rank.pval	rank.corr	LR.score	L.expr	R.expr
ANXA1	EGFR	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	0	0	3.12618353787222	2.67732185275734	2.40641960458911e-16	1	76	139	2.07539669674521e-08	1	0	5.1064614113527	5.13321732266491
ANXA1	EGFR	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	0	0	3.12618353787222	2.67732185275734	2.40641960458911e-16	1	87	159	6.10218246698534e-08	1	0	5.1064614113527	5.13321732266491
ANXA1	EGFR	R-HSA-9006931	REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS	0	0	3.12618353787222	2.67732185275734	2.40641960458911e-16	1	70	129	1.12021492877924e-06	1	0	5.1064614113527	5.13321732266491
APP	GPC1	R-HSA-9694516	REACTOME_SARS_COV_2_INFECTION	0	0	1.37969097328133	5.19509770948529	1.65169833710155e-21	1	77	141	6.14348043764988e-07	1	0	5.60277240787652	-1.86436901191287
BDNF	DDR1	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	2.52643361311672	7.12424880360712	8.14178747632254e-24	1	44	80	7.80076730654695e-11	1	0	5.81052789554022	2.82967595386168
CDH1	EGFR	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	0	0	14.7104501496654	2.67732185275734	2.64555116103802e-24	1	76	139	2.07539669674521e-08	1	0	-2.96205562627751	5.13321732266491
CDH1	EGFR	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	0	0	14.7104501496654	2.67732185275734	2.64555116103802e-24	1	87	159	6.10218246698534e-08	1	0	-2.96205562627751	5.13321732266491
CDH1	EGFR	R-HSA-9006931	REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS	0	0	14.7104501496654	2.67732185275734	2.64555116103802e-24	1	70	129	1.12021492877924e-06	1	0	-2.96205562627751	5.13321732266491
CDH1	ERBB3	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	0	0	14.7104501496654	8.73937818474344	2.05758085421126e-29	1	75	138	7.92156109705371e-08	1	0	-2.96205562627751	2.09670160245947
CDH1	ERBB3	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	0	0	14.7104501496654	8.73937818474344	2.05758085421126e-29	1	86	158	9.09018924755489e-08	1	0	-2.96205562627751	2.09670160245947
CDH1	IGF1R	R-HSA-9006931	REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS	0	0	14.7104501496654	4.4827215663301	1.81161740380481e-27	1	70	129	1.2453622015548e-06	1	0	-2.96205562627751	5.76349114783768
CLCF1	IL6ST	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	0	0	2.6370579827943	2.55729847379394	6.92981969006793e-17	1	76	139	2.07539669674521e-08	1	0	-5.7407051626955	4.41703193105243
