L	R	pw.id	pw.name	pval	qval	L.logFC	R.logFC	LR.pval	LR.corr	rank	len	rank.pval	rank.corr	LR.score	L.expr	R.expr
ICAM3	ITGAL	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	1.21423638918086e-94	4.249827362133e-93	1.07595501136093	1.23876359106862	1.96780797927193e-08	1	29	53	8.98275024651623e-05	1	0	-6.04625854813493	2.65092833669165
SLPI	CD4	R-HSA-162906	REACTOME_HIV_INFECTION	4.31764353756015e-80	7.55587619073027e-79	2.96532636333574	2.50586191764102	1.00452306052899e-12	1	62	114	0.0129230775617633	1	0	5.18423028895155	5.33002749532681
SLPI	CD4	R-HSA-8856828	REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS	1.24818405128741e-75	1.45621472650198e-74	2.96532636333574	2.50586191764102	1.00452306052899e-12	1	47	86	0.0064897468995786	1	0	5.18423028895155	5.33002749532681
SLPI	CD4	R-HSA-162587	REACTOME_HIV_LIFE_CYCLE	2.73380304115107e-73	2.39207766100718e-72	2.96532636333574	2.50586191764102	1.00452306052899e-12	1	53	97	0.0108966123837815	1	0	5.18423028895155	5.33002749532681
ALOX5AP	ALOX5	R-HSA-446652	REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING	2.08815856786477e-69	1.46171099750534e-68	3.29985522325854	1.2066375475775	3.83242601873029e-14	1	35	65	0.00418268032253465	1	0	-4.4143034553276	6.42860006080227
ALOX5AP	ALOX5	R-HSA-6785807	REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING	4.06317808464982e-64	2.37018721604573e-63	3.29985522325854	1.2066375475775	3.83242601873029e-14	1	28	51	0.00209089938300939	1	0	-4.4143034553276	6.42860006080227
SLPI	CD4	R-HSA-162909	REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS	7.25949936970077e-57	3.62974968485039e-56	2.96532636333574	2.50586191764102	1.00452306052899e-12	1	29	54	0.00521406739707153	1	0	5.18423028895155	5.33002749532681
ICAM3	ITGAL	R-HSA-8878159	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX3	2.53187870117448e-56	1.10769693176384e-55	1.07595501136093	1.23876359106862	1.96780797927193e-08	1	29	54	0.00373505263038245	1	0	-6.04625854813493	2.65092833669165
TNF	TNFRSF1A	R-HSA-73887	REACTOME_DEATH_RECEPTOR_SIGNALING	3.83703524389733e-50	1.49218037262674e-49	1.96391310690188	1.20304972433138	1.98120444817222e-10	1	32	59	0.00973331694453996	1	0	-6.35798603235401	6.08117063734899
SLPI	CD4	R-HSA-8856825	REACTOME_CARGO_RECOGNITION_FOR_CLATHRIN_MEDIATED_ENDOCYTOSIS	3.37145876796155e-48	1.18001056878654e-47	2.96532636333574	2.50586191764102	1.00452306052899e-12	1	28	51	0.0084629648149964	1	0	5.18423028895155	5.33002749532681
SLPI	CD4	R-HSA-202403	REACTOME_TCR_SIGNALING	1.45590760233359e-38	4.63243328015232e-38	2.96532636333574	2.50586191764102	1.00452306052899e-12	1	18	33	0.00662631837428663	1	0	5.18423028895155	5.33002749532681
ICAM3	ITGAL	R-HSA-202733	REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	2.98077675364564e-36	8.69393219813312e-36	1.07595501136093	1.23876359106862	1.96780797927193e-08	1	17	31	0.00381789370721078	1	0	-6.04625854813493	2.65092833669165
MIF	CD74	R-HSA-2132295	REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION	1.61609261531789e-31	4.35101857970201e-31	1.0701928374618	1.27802964551536	2.00246536550959e-09	1	22	40	0.0182142529810332	1	0	7.15849180668598	7.66825948609268
TNF	TNFRSF1A	R-HSA-75893	REACTOME_TNF_SIGNALING	7.1718703713868e-30	1.7929675928467e-29	1.96391310690188	1.20304972433138	1.98120444817222e-10	1	19	35	0.019816604246503	1	0	-6.35798603235401	6.08117063734899
TNF	TNFRSF1A	R-HSA-5668541	REACTOME_TNFR2_NON_CANONICAL_NF_KB_PATHWAY	3.31185423872613e-28	7.72765989036096e-28	1.96391310690188	1.20304972433138	1.98120444817222e-10	1	11	20	0.00498455553894599	1	0	-6.35798603235401	6.08117063734899
TNF	TNFRSF1A	R-HSA-5357956	REACTOME_TNFR1_INDUCED_NF_KAPPA_B_SIGNALING_PATHWAY	6.29526794635182e-25	1.37708986326446e-24	1.96391310690188	1.20304972433138	1.98120444817222e-10	1	12	22	0.0143241057709156	1	0	-6.35798603235401	6.08117063734899
SLPI	CD4	R-HSA-449836	REACTOME_OTHER_INTERLEUKIN_SIGNALING	2.38439565843583e-24	4.90904988501494e-24	2.96532636333574	2.50586191764102	1.00452306052899e-12	1	2	5	0.000830202881066233	1	0	5.18423028895155	5.33002749532681
TNF	TNFRSF1A	R-HSA-5357786	REACTOME_TNFR1_INDUCED_PROAPOPTOTIC_SIGNALING	1.35065272907394e-23	2.62626919542155e-23	1.96391310690188	1.20304972433138	1.98120444817222e-10	1	8	15	0.00759814917482535	1	0	-6.35798603235401	6.08117063734899
SLPI	CD4	R-HSA-388841	REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY	1.47383973094087e-23	2.71496792541739e-23	2.96532636333574	2.50586191764102	1.00452306052899e-12	1	9	18	0.0289604676991053	1	0	5.18423028895155	5.33002749532681
TNF	TNFRSF1A	R-HSA-6783783	REACTOME_INTERLEUKIN_10_SIGNALING	4.35818604526396e-18	7.62682557921193e-18	1.96391310690188	1.20304972433138	1.98120444817222e-10	1	6	12	0.0316708748807052	1	0	-6.35798603235401	6.08117063734899
