L	R	pw.id	pw.name	pval	qval	L.logFC	R.logFC	LR.pval	LR.corr	rank	len	rank.pval	rank.corr	LR.score	L.expr	R.expr
ADAM17	ERBB4	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	0	0	1.5896590416355	7.00666928414004	3.28058577527394e-18	1	70	128	1.43440136548138e-06	1	0	7.29936930599439	5.74483040006388
ADAM17	ITGA5	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	1.5896590416355	2.35156648985552	5.49308928756002e-16	1	43	79	4.99276630768804e-12	1	0	7.29936930599439	8.07526829451089
ADAM28	ITGA4	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	15.375445455263	15.1770063173997	1.21470517786959e-27	1	43	79	4.99276630768804e-12	1	0	7.68169270870018	5.0976613481112
C3	C3AR1	R-HSA-418594	REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	0	0	3.20057725358691	4.89715724440861	1.09513309072969e-21	1	40	73	1.54002156961954e-10	1	0	2.39344492210027	5.01786377680967
C3	ITGAM	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	3.20057725358691	16.3722019910173	3.65251440441733e-21	1	43	79	1.38539637082614e-11	1	0	2.39344492210027	4.8319537742462
C3	ITGB2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	3.20057725358691	12.5217032139872	4.90080817440586e-24	1	44	81	1.38539637082614e-11	1	0	2.39344492210027	5.80902871863339
C5	C5AR1	R-HSA-418594	REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	0	0	10.1932303048562	13.1334936540315	4.36436716030289e-27	1	40	73	1.6940586473001e-10	1	0	-3.57721347542601	3.16526804816043
COL7A1	ITGA2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	1.40983826886096	1.82587311291054	1.87938855050471e-12	1	43	79	4.99276630768804e-12	1	0	-4.63551693170852	1.50730363632828
CXCL13	CXCR5	R-HSA-418594	REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	0	0	16.6010971969329	10.4990755093477	1.18095343395751e-24	1	40	73	1.6940586473001e-10	1	0	-3.51782657496309	4.01930496965654
GNAS	ADCY1	R-HSA-418594	REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	0	0	3.3187853395061	10.0738130890855	2.96512290894829e-21	1	40	73	1.6940586473001e-10	1	0	-6.31397532931747	-0.0645140772909733
HBEGF	ERBB4	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	0	0	3.10513081118419	7.00666928414004	1.26780152351645e-20	1	70	128	1.43440136548138e-06	1	0	6.33036679532127	5.74483040006388
ICAM2	ITGAL	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	5.31746051986694	12.3699824135542	7.86684381061077e-24	1	44	81	1.38539637082614e-11	1	0	-2.63928424522828	6.09194252057816
ICAM2	ITGAM	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	5.31746051986694	16.3722019910173	7.31886154481727e-23	1	43	79	1.38539637082614e-11	1	0	-2.63928424522828	4.8319537742462
ICAM2	ITGB2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	5.31746051986694	12.5217032139872	9.82017660020896e-26	1	44	81	1.38539637082614e-11	1	0	-2.63928424522828	5.80902871863339
ICAM3	ITGAL	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	6.44554517853026	12.3699824135542	1.95220762892473e-25	1	44	81	1.38539637082614e-11	1	0	-6.31397532931747	6.09194252057816
ICAM3	ITGB2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	6.44554517853026	12.5217032139872	2.43693965939152e-27	1	44	81	1.38539637082614e-11	1	0	-6.31397532931747	5.80902871863339
ICAM5	ITGAL	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	3.7633250512016	12.3699824135542	1.75882625130855e-23	1	44	81	1.38539637082614e-11	1	0	-2.16870268302112	6.09194252057816
ICAM5	ITGB2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	3.7633250512016	12.5217032139872	2.19554179703391e-25	1	44	81	1.38539637082614e-11	1	0	-2.16870268302112	5.80902871863339
MMP2	SDC2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	1.39003757627372	7.02714662271295	3.56658779279039e-20	1	43	79	1.29897391193462e-11	1	0	0.709530435951326	1.88082337601345
MMP7	ERBB4	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	0	0	4.90647762810185	7.00666928414004	4.60705833051547e-22	1	70	128	1.43440136548138e-06	1	0	3.77434399675889	5.74483040006388
