L	R	pw.id	pw.name	pval	qval	L.logFC	R.logFC	LR.pval	LR.corr	rank	len	rank.pval	rank.corr	LR.score	L.expr	R.expr
LUM	ITGA2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	2.79646140585314e-66	3.63539982760908e-65	1.158092857848	1.06473968609713	1.25706722346824e-07	1	40	74	0.00526133963558139	1	0	-6.33797219004093	5.10368499848687
LUM	ITGA2	R-HSA-373760	REACTOME_L1CAM_INTERACTIONS	1.02226221441146e-53	6.64470439367448e-53	1.158092857848	1.06473968609713	1.25706722346824e-07	1	24	44	0.00166000229628044	1	0	-6.33797219004093	5.10368499848687
IL6ST	LIFR	R-HSA-8878171	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1	3.82492283960862e-43	1.6574665638304e-42	1.15265636368255	1.27398992585019	4.87198814086685e-06	1	38	70	0.0189919730339469	1	0	7.65325556307985	7.58721329587913
LUM	ITGA2	R-HSA-6806834	REACTOME_SIGNALING_BY_MET	4.52632059840652e-41	1.47105419448212e-40	1.158092857848	1.06473968609713	1.25706722346824e-07	1	21	39	0.00469258150254774	1	0	-6.33797219004093	5.10368499848687
LUM	ITGA2	R-HSA-3000178	REACTOME_ECM_PROTEOGLYCANS	1.32208983904762e-26	3.43743358152381e-26	1.158092857848	1.06473968609713	1.25706722346824e-07	1	8	16	0.00276202066850526	1	0	-6.33797219004093	5.10368499848687
LUM	ITGA2	R-HSA-3000171	REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	1.72540230592781e-25	3.73837166284359e-25	1.158092857848	1.06473968609713	1.25706722346824e-07	1	9	18	0.00564200917936463	1	0	-6.33797219004093	5.10368499848687
LUM	ITGA2	R-HSA-216083	REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	1.75984696236858e-23	3.26828721582735e-23	1.158092857848	1.06473968609713	1.25706722346824e-07	1	5	10	0.000935150864258823	1	0	-6.33797219004093	5.10368499848687
LUM	ITGA2	R-HSA-8875878	REACTOME_MET_PROMOTES_CELL_MOTILITY	1.57668243025554e-22	2.56210894916525e-22	1.158092857848	1.06473968609713	1.25706722346824e-07	1	9	17	0.007235644058556	1	0	-6.33797219004093	5.10368499848687
LUM	ITGA2	R-HSA-3000170	REACTOME_SYNDECAN_INTERACTIONS	4.26562043704542e-20	6.16145174239895e-20	1.158092857848	1.06473968609713	1.25706722346824e-07	1	4	8	0.00143482481707065	1	0	-6.33797219004093	5.10368499848687
LUM	ITGA2	R-HSA-8874081	REACTOME_MET_ACTIVATES_PTK2_SIGNALING	1.82843116648998e-18	2.37696051643697e-18	1.158092857848	1.06473968609713	1.25706722346824e-07	1	6	11	0.00564200917936463	1	0	-6.33797219004093	5.10368499848687
IL6ST	LIFR	R-HSA-6788467	REACTOME_IL_6_TYPE_CYTOKINE_RECEPTOR_LIGAND_INTERACTIONS	2.40408426806375e-17	2.84119049862079e-17	1.15265636368255	1.27398992585019	4.87198814086685e-06	1	3	7	0.00298288955587043	1	0	7.65325556307985	7.58721329587913
IL6ST	LIFR	R-HSA-6783589	REACTOME_INTERLEUKIN_6_FAMILY_SIGNALING	7.1355064449449e-17	7.73013198202364e-17	1.15265636368255	1.27398992585019	4.87198814086685e-06	1	7	13	0.00984900653002387	1	0	7.65325556307985	7.58721329587913
LUM	ITGA2	R-HSA-3000157	REACTOME_LAMININ_INTERACTIONS	7.15735138231948e-16	7.15735138231948e-16	1.158092857848	1.06473968609713	1.25706722346824e-07	1	4	8	0.0100841576467594	1	0	-6.33797219004093	5.10368499848687
