L	R	pw.id	pw.name	pval	qval	L.logFC	R.logFC	LR.pval	LR.corr	rank	len	rank.pval	rank.corr	LR.score	L.expr	R.expr
ADAM28	ITGA4	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	2.26347330286096e-314	1.68628761063142e-311	10.9859571576671	10.2871016613965	1.26229752695737e-19	1	46	85	1.04672282790003e-08	1	0	0.465311557189692	-4.34728856678165
SPP1	ITGA4	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	6.69609833863765e-311	2.49429663114253e-308	4.38090603003024	10.2871016613965	3.73429117196315e-16	1	46	85	1.04672282790003e-08	1	0	5.54026126683819	-4.34728856678165
ICAM3	ITGB2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	8.54494405950737e-309	2.12199444144433e-306	7.76715982360306	11.0805206947211	1.40447285242085e-21	1	47	86	1.58965448086501e-08	1	0	5.92559345240913	6.82456143448306
EFNB2	PECAM1	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	1.8068301976837e-308	2.69217699454871e-306	3.5198826963944	11.5845058266723	2.75440535413484e-19	1	47	86	1.4194499404281e-08	1	0	-0.130431033848194	3.06819911029629
ITGB2	ITGAL	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	1.76291075463388e-308	2.69217699454871e-306	11.0805206947211	8.32538562407406	2.68745277096343e-19	1	47	86	1.4194499404281e-08	1	0	6.82456143448306	1.63986623253197
ICAM2	ITGB2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	1.16543587420457e-307	1.44708287713734e-305	4.41874727890596	11.0805206947211	1.91554565501982e-20	1	47	86	1.58965448086501e-08	1	0	4.26011291468508	6.82456143448306
MMP9	ITGB2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	5.12768312863286e-307	5.45731990118783e-305	16.0642794818274	11.0805206947211	8.42801509270085e-20	1	47	86	1.58965448086501e-08	1	0	4.08320478650015	6.82456143448306
ICAM3	ITGAL	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	7.02317077274994e-307	5.81362469522079e-305	7.76715982360306	8.32538562407406	1.07064068357198e-17	1	47	86	1.4194499404281e-08	1	0	5.92559345240913	1.63986623253197
ICAM5	ITGB2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	6.65683546302728e-307	5.81362469522079e-305	5.7915370324109	11.0805206947211	1.0941376123407e-19	1	47	86	1.58965448086501e-08	1	0	-2.3699794805082	6.82456143448306
TGFB1	SDC2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	1.361615100172e-306	1.01440324962814e-304	2.67220142888962	6.69525847846857	3.88065903498932e-17	1	46	85	1.4194499404281e-08	1	0	-5.98189329923728	4.77946207672718
ICAM2	ITGAL	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	9.57882826643065e-306	6.48747914408258e-304	4.41874727890596	8.32538562407406	1.46023549402806e-16	1	47	86	1.4194499404281e-08	1	0	4.26011291468508	1.63986623253197
ICAM5	ITGAL	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	5.4713163640809e-305	3.39677557603356e-303	5.7915370324109	8.32538562407406	8.34069693251173e-16	1	47	86	1.4194499404281e-08	1	0	-2.3699794805082	1.63986623253197
