L	R	pw.id	pw.name	pval	qval	L.logFC	R.logFC	LR.pval	LR.corr	rank	len	rank.pval	rank.corr	LR.score	L.expr	R.expr
TFPI	SDC4	R-HSA-9694516	REACTOME_SARS_COV_2_INFECTION	6.67080375723341e-78	2.7550419517374e-75	3.31174406254337	1.63417409916305	6.49959616903666e-11	1	75	138	0.0216638588277313	1	0	4.68621391636088	5.23242087622174
VEGFA	GPC1	R-HSA-9694516	REACTOME_SARS_COV_2_INFECTION	2.18506400649471e-76	4.51215717341157e-74	2.51819275271687	1.28696254463894	2.1289838769898e-09	1	75	138	0.0216638588277313	1	0	-6.04968498919775	6.14834202091599
TGM2	SDC4	R-HSA-9694516	REACTOME_SARS_COV_2_INFECTION	4.09028619023527e-76	5.63096065522389e-74	1.5827012576575	1.63417409916305	3.98530813074652e-09	1	75	138	0.0216638588277313	1	0	-6.2328466666329	5.23242087622174
COL5A3	SDC3	R-HSA-9694516	REACTOME_SARS_COV_2_INFECTION	2.56794470626856e-75	2.65140290922229e-73	2.63356018922248	1.26544278130942	7.32121745446371e-08	1	75	138	0.0212943040926442	1	0	-5.85123907042386	6.63270735593641
NTN1	ADORA2B	R-HSA-373076	REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	9.83376464366681e-70	8.12268959566879e-68	1.67227072869075	1.98259938161308	1.4140414242094e-06	1	30	55	0.000940067998882544	1	0	4.30404448107304	-3.54201862050002
IL33	IL1RAP	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	1.35528545302632e-65	9.3288815349978e-64	4.63575942467816	1.02233553164245	4.6429260037707e-11	1	85	155	0.0413266073657771	1	0	-5.31143779594275	6.13162786689243
IL36G	IL1RAP	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	1.68114202624785e-63	9.91873795486234e-62	7.20663902282049	1.02233553164245	5.75924283129332e-09	1	85	155	0.0413266073657771	1	0	0.0252227415412932	6.13162786689243
VIM	CD44	R-HSA-913531	REACTOME_INTERFERON_SIGNALING	4.61231106506296e-62	2.38110558733875e-60	1.89646300933139	1.81637339142795	9.97612787634629e-12	1	71	130	0.035385365823899	1	0	-1.13692120838461	-4.08809510245456
IL1B	IL1RAP	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	6.49584938888251e-62	2.98087310845386e-60	2.42212628748569	1.02233553164245	2.2253428587221e-07	1	85	155	0.0413266073657771	1	0	7.24486957369834	6.13162786689243
HBEGF	CD44	R-HSA-913531	REACTOME_INTERFERON_SIGNALING	1.4989647568408e-61	6.19072444575252e-60	1.80017530899449	1.81637339142795	3.24216296026774e-11	1	71	130	0.035385365823899	1	0	-6.06510449636122	-4.08809510245456
PKM	CD44	R-HSA-913531	REACTOME_INTERFERON_SIGNALING	2.33833338189499e-61	8.77937897020573e-60	1.21052537254941	1.81637339142795	5.05766252671322e-11	1	71	130	0.035385365823899	1	0	1.68820679253154	-4.08809510245456
MMP9	CD44	R-HSA-913531	REACTOME_INTERFERON_SIGNALING	1.25935536208876e-60	4.3342813711888e-59	1.11898391668014	1.81637339142795	2.72390347414443e-10	1	71	130	0.035385365823899	1	0	6.32533384333862	-4.08809510245456
MMP7	CD44	R-HSA-913531	REACTOME_INTERFERON_SIGNALING	1.36324954861184e-59	4.33093895058992e-58	3.10461592645464	1.81637339142795	2.94861982040612e-09	1	71	130	0.035385365823899	1	0	-3.06922912955163	-4.08809510245456
NTN1	ADORA2B	R-HSA-9658195	REACTOME_LEISHMANIA_INFECTION	5.8967349158937e-59	1.62356768017606e-57	1.67227072869075	1.98259938161308	1.4140414242094e-06	1	47	86	0.011969253225067	1	0	4.30404448107304	-3.54201862050002
VEGFA	GPC1	R-HSA-376176	REACTOME_SIGNALING_BY_ROBO_RECEPTORS	5.52201903838254e-59	1.62356768017606e-57	2.51819275271687	1.28696254463894	2.1289838769898e-09	1	44	81	0.0122691381042712	1	0	-6.04968498919775	6.14834202091599
UBA52	MET	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	2.12056113136939e-58	5.47369842034724e-57	1.03374250053663	2.13157399158665	4.88236294750373e-08	1	84	154	0.0480871822642454	1	0	5.28296800983504	-4.55862814092069
L1CAM	ITGB3	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	4.80494021753141e-58	1.16731782931793e-56	2.25213234059759	1.14622400780734	5.32747410201291e-08	1	68	124	0.0321116248268534	1	0	5.0001756983667	-0.00377059984369221
CSF2	CSF2RA	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	7.84046227828681e-58	1.70426890575392e-56	2.75264520465445	3.92075464550707	4.95234612607311e-08	1	67	123	0.0327900117944741	1	0	3.79355755411	0.0357222563558884
UBA52	MET	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	7.72966621159045e-58	1.70426890575392e-56	1.03374250053663	2.13157399158665	4.88236294750373e-08	1	67	123	0.0327900117944741	1	0	5.28296800983504	-4.55862814092069
VEGFA	ITGB3	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	1.26418387622911e-57	2.61053970441311e-56	2.51819275271687	1.14622400780734	1.4016629876517e-07	1	68	124	0.0321116248268534	1	0	-6.04968498919775	-0.00377059984369221
FYN	CD86	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	1.80523028134009e-57	3.55028621996884e-56	1.43397289723215	3.33039223677821	4.33138478171151e-08	1	84	153	0.0480871822642454	1	0	6.31961043281184	-1.68531673356583
CSF2	IL3RA	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	2.22782819093282e-57	4.18224110388752e-56	2.75264520465445	3.89973119172573	1.40718441328097e-07	1	67	123	0.0327900117944741	1	0	3.79355755411	7.13661070818751
MFGE8	ITGB3	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	2.92891837729746e-57	5.25931865140805e-56	1.31744353592877	1.14622400780734	3.2474362001487e-07	1	68	124	0.0321116248268534	1	0	4.74812359149799	-0.00377059984369221
FYN	CD80	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	6.00761376220313e-57	1.03381020157912e-55	1.43397289723215	4.1620595993141	1.44143864043155e-07	1	84	153	0.0480871822642454	1	0	6.31961043281184	-5.06621165195004
CD86	CD80	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	1.82510376118316e-56	2.89910712834095e-55	3.33039223677821	4.1620595993141	4.3790682761896e-07	1	84	153	0.0480871822642454	1	0	-1.68531673356583	-5.06621165195004
CD80	CD86	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	1.82510376118316e-56	2.89910712834095e-55	4.1620595993141	3.33039223677821	4.3790682761896e-07	1	84	153	0.0480871822642454	1	0	-5.06621165195004	-1.68531673356583
TGM2	ITGB3	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	3.51747639649361e-56	5.18827768482808e-55	1.5827012576575	1.14622400780734	3.89999949185401e-06	1	68	124	0.0321116248268534	1	0	-6.2328466666329	-0.00377059984369221
CD274	CD80	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	3.40847497685035e-56	5.18827768482808e-55	2.96033716638828	4.1620595993141	8.17813483198094e-07	1	84	153	0.0480871822642454	1	0	0.51936641215919	-5.06621165195004
