L	R	pw.id	pw.name	pval	qval	L.logFC	R.logFC	LR.pval	LR.corr	rank	len	rank.pval	rank.corr	LR.score	L.expr	R.expr
DCN	MET	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	3.68060936630732e-266	1.44427111533899e-262	14.4526755532633	3.90373279316726	9.58353982137365e-15	1	86	158	8.38603323318261e-05	1	0	-4.58513167267717	-5.25745542231798
CDH1	ERBB3	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	8.81467510327066e-264	1.7294392552617e-260	13.555418002555	8.32906393815386	7.56677617004371e-19	1	86	158	0.000102886701600085	1	0	7.13176598753397	2.25556569137695
COL17A1	CD151	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	3.05091984559036e-263	3.99060315803219e-260	8.94170150039713	1.65383420420277	2.60916992848397e-14	1	45	82	6.75838157986831e-08	1	0	7.25044482321329	3.20939191421938
L1CAM	ERBB2	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	1.08409481498165e-262	1.063497013497e-259	5.6355442628598	5.41968260141244	9.30618850492558e-18	1	86	158	0.000102886701600085	1	0	0.852146802887544	-0.846599696283374
LAMA3	COL17A1	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	1.48062858555049e-262	1.16199731394003e-259	1.52149719654326	8.94170150039713	1.26624486259637e-13	1	45	82	6.75838157986831e-08	1	0	-3.47567207993232	7.25044482321329
DCN	EGFR	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	1.87654144657537e-262	1.22725810606029e-259	14.4526755532633	3.52363819696346	1.61087832888784e-17	1	86	158	0.000102886701600085	1	0	-4.58513167267717	6.38052793608695
L1CAM	ERBB3	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	2.6239551218098e-262	1.28834633345757e-259	5.6355442628598	8.32906393815386	2.25248019403545e-17	1	86	158	0.000102886701600085	1	0	0.852146802887544	2.25556569137695
SEMA5A	MET	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	2.62659802947516e-262	1.28834633345757e-259	16.4343941259012	3.90373279316726	6.83911393603594e-11	1	86	158	8.38603323318261e-05	1	0	-6.38298410719035	-5.25745542231798
RND1	MET	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	4.9158334680307e-262	2.14330339206139e-259	4.45225287310186	3.90373279316726	1.2799805985219e-10	1	86	158	8.38603323318261e-05	1	0	0.766673807632864	-5.25745542231798
CDH1	EGFR	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	1.51900427785816e-261	5.9605727863154e-259	13.555418002555	3.52363819696346	1.30395791532087e-16	1	86	158	0.000102886701600085	1	0	7.13176598753397	6.38052793608695
RND1	ERBB2	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	6.00888334627017e-261	2.14353256825129e-258	4.45225287310186	5.41968260141244	5.15820206422117e-16	1	86	158	0.000102886701600085	1	0	0.766673807632864	-0.846599696283374
PTN	PTPRS	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	8.02066887439017e-261	2.62275872192558e-258	14.9604061016504	2.08065724849846	2.49607067310872e-14	1	42	78	5.40589782104624e-08	1	0	4.89855551760425	-1.50909422714621
