L	R	pw.id	pw.name	pval	qval	L.logFC	R.logFC	LR.pval	LR.corr	rank	len	rank.pval	rank.corr	LR.score	L.expr	R.expr
GNAS	ADCY8	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	1.60680326543019e-243	1.54092433154756e-240	3.90700276139367	13.8269451132053	2.05691648699432e-11	1	90	164	0.000184758150417592	1	0	4.12344928606252	9.37081217912184
GNAS	ADCY1	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	4.77057438951213e-241	1.70375404861498e-238	3.90700276139367	9.19292090268125	1.0670582363924e-12	1	90	164	0.000207356150207111	1	0	4.12344928606252	-1.7710651724855
IL33	IL1RAP	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	5.32978325948378e-241	1.70375404861498e-238	5.03922317974234	1.24220077697132	1.19213928153421e-12	1	90	164	0.000207356150207111	1	0	6.46726482775296	-1.29225977430019
IL1B	IL1RAP	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	7.90157805587182e-241	1.77289394615225e-238	20.423259395131	1.24220077697132	1.76738548790929e-12	1	90	164	0.000207356150207111	1	0	3.83293866740966	-1.29225977430019
NAMPT	INSR	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	9.24345123124215e-241	1.77289394615225e-238	4.70401291269966	1.23583007939983	2.06752897317194e-12	1	90	164	0.000207356150207111	1	0	-3.7504001622876	3.32949477156727
IL36G	IL1RAP	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	3.87281176729361e-237	6.19004414139096e-235	14.702184993824	1.24220077697132	8.66251180019994e-09	1	90	164	0.000207356150207111	1	0	6.8145896735638	-1.29225977430019
HBEGF	ERBB4	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	3.23459188882364e-229	4.43139088768839e-227	5.1186235848315	4.5186694766263	2.72015151936314e-11	1	88	161	0.000262765950013217	1	0	-1.34775337552078	7.85406549065209
FYN	CD80	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	2.20756133519561e-228	2.64631415056574e-226	2.39472839386236	10.7940639015063	1.00871075128725e-10	1	89	162	0.000262765950013217	1	0	0.605987033652581	-6.41387051449348
CD274	CD80	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	1.09778338227186e-227	1.16974918177635e-225	7.54483912201574	10.7940639015063	5.01615009570727e-10	1	89	162	0.000262765950013217	1	0	-6.41387051449348	-6.41387051449348
CD86	CD80	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	3.60637975819157e-227	3.14410744373247e-225	6.6357588698783	10.7940639015063	1.64787903163299e-09	1	89	162	0.000262765950013217	1	0	4.42942857302926	-6.41387051449348
CD80	CD86	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	3.60637975819157e-227	3.14410744373247e-225	10.7940639015063	6.6357588698783	1.64787903163299e-09	1	89	162	0.000262765950013217	1	0	-6.41387051449348	4.42942857302926
FYN	CD86	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	4.32281125657376e-227	3.4546466625452e-225	2.39472839386236	6.6357588698783	1.9752412405362e-09	1	89	162	0.000262765950013217	1	0	0.605987033652581	4.42942857302926
UBC	ERBB4	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	8.3349279468357e-227	6.14861223155033e-225	4.19689819640229	4.5186694766263	7.00931298217434e-09	1	88	161	0.000262765950013217	1	0	4.63774849711558	7.85406549065209
ADAM17	ERBB4	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	6.23538662443524e-226	4.27123983773814e-224	1.38707316810871	4.5186694766263	5.24368977084233e-08	1	88	161	0.000262765950013217	1	0	7.08959667712629	7.85406549065209
MMP7	ERBB4	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	7.12983955598602e-226	4.5583440894604e-224	7.89765195511114	4.5186694766263	5.99588590079723e-08	1	88	161	0.000262765950013217	1	0	7.87337272525504	7.85406549065209
NRG1	ERBB4	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	1.00232309304814e-225	6.0076740389573e-224	8.21899543308893	4.5186694766263	8.4291025828276e-08	1	88	161	0.000262765950013217	1	0	1.58850965471032	7.85406549065209
IL16	GRIN2D	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	4.91464099302965e-224	2.77243571312673e-222	8.17450987137151	5.25885318522488	3.49197206944122e-12	1	77	140	0.000113019540718619	1	0	3.2068237045736	5.95777328440602
YWHAZ	IL3RA	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	1.25876920729532e-223	6.70644260997895e-222	2.06184908034546	10.7521040912945	1.04493989718807e-13	1	75	138	0.000123504790198405	1	0	-1.44924928414852	-0.766720389792181
YWHAZ	CSF2RB	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	2.06078893877065e-223	1.04015610120055e-221	2.06184908034546	10.6537454223187	1.71071914480039e-13	1	75	138	0.000123504790198405	1	0	-1.44924928414852	-3.11866725416418
YWHAZ	CSF2RA	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	5.05555212501681e-223	2.42413724394556e-221	2.06184908034546	5.20503754005317	4.19675671054496e-13	1	75	138	0.000123504790198405	1	0	-1.44924928414852	5.64681417033611
VEGFA	RET	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	7.67905713397992e-222	3.5067694245175e-220	3.83758049527232	4.33341380350635	6.37460236997976e-12	1	75	138	0.000123504790198405	1	0	3.57040038685763	-0.290890557785715
VEGFB	RET	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	3.35919791849484e-221	1.4643049108348e-219	1.66495807988446	4.33341380350635	2.78856513747151e-11	1	75	138	0.000123504790198405	1	0	4.11030357103874	-0.290890557785715
ARTN	RET	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	1.40409362544742e-219	5.85445994262643e-218	5.12645780362713	4.33341380350635	1.16557780418697e-09	1	75	138	0.000123504790198405	1	0	5.0006911125606	-0.290890557785715
CSF2	IL3RA	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	3.23217537459192e-219	1.29152341009735e-217	7.43622871191756	10.7521040912945	2.68312013357625e-09	1	75	138	0.000123504790198405	1	0	2.86889441396839	-0.766720389792181
CSF2	CSF2RB	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	5.29154289882721e-219	2.02983585599012e-217	7.43622871191756	10.6537454223187	4.39265932199557e-09	1	75	138	0.000123504790198405	1	0	2.86889441396839	-3.11866725416418
CSF2	CSF2RA	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	1.29812764633442e-218	4.78809389551811e-217	7.43622871191756	5.20503754005317	1.07761244987258e-08	1	75	138	0.000123504790198405	1	0	2.86889441396839	5.64681417033611
HBEGF	ERBB4	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	6.64706445016476e-218	2.36093881766963e-216	5.1186235848315	4.5186694766263	2.72015151936314e-11	1	74	136	0.000123504790198405	1	0	-1.34775337552078	7.85406549065209
UBC	ERBB4	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	1.71282205466252e-215	5.86641553721912e-214	4.19689819640229	4.5186694766263	7.00931298217434e-09	1	74	136	0.000123504790198405	1	0	4.63774849711558	7.85406549065209
ADAM17	ERBB4	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	1.28136773320698e-214	4.23735053843273e-213	1.38707316810871	4.5186694766263	5.24368977084233e-08	1	74	136	0.000123504790198405	1	0	7.08959667712629	7.85406549065209
MMP7	ERBB4	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	1.46517720556113e-214	4.68368313377707e-213	7.89765195511114	4.5186694766263	5.99588590079723e-08	1	74	136	0.000123504790198405	1	0	7.87337272525504	7.85406549065209
NRG1	ERBB4	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	2.05976717569848e-214	6.3719894241769e-213	8.21899543308893	4.5186694766263	8.4291025828276e-08	1	74	136	0.000123504790198405	1	0	1.58850965471032	7.85406549065209
FABP5	RXRA	R-HSA-1852241	REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE	8.99140593999866e-214	2.69461196764335e-212	9.39176574212	2.10851014331761	7.25177582024761e-13	1	84	154	0.000344511598622738	1	0	-3.52378407843682	7.1217491498643
ABCA1	RXRA	R-HSA-1852241	REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE	6.08294381810685e-213	1.76774033986802e-211	7.6670000085532	2.10851014331761	4.90603418313449e-12	1	84	154	0.000344511598622738	1	0	-6.10325044131212	7.1217491498643
VEGFA	NRP1	R-HSA-9694516	REACTOME_SARS_COV_2_INFECTION	7.77361715827787e-206	2.1926173102319e-204	3.83758049527232	2.25652504794621	3.30124720113194e-13	1	78	142	0.000251436631822757	1	0	3.57040038685763	10.030876423867
FYN	NRP1	R-HSA-9694516	REACTOME_SARS_COV_2_INFECTION	2.0525102041288e-205	5.62387795931291e-204	2.39472839386236	2.25652504794621	8.71646162746716e-13	1	78	142	0.000251436631822757	1	0	0.605987033652581	10.030876423867
VEGFB	NRP1	R-HSA-9694516	REACTOME_SARS_COV_2_INFECTION	3.40056313186054e-205	9.05872234292849e-204	1.66495807988446	2.25652504794621	1.44412817003379e-12	1	78	142	0.000251436631822757	1	0	4.11030357103874	10.030876423867
TGFB1	SDC2	R-HSA-9694516	REACTOME_SARS_COV_2_INFECTION	4.65040244989869e-205	1.20533404039266e-203	3.57520126226616	6.92810601340794	1.97490148527796e-12	1	78	142	0.000251436631822757	1	0	2.93572819389576	-3.43895894693805
FABP5	RXRA	R-HSA-9006931	REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS	5.32267063500686e-203	1.34327398393989e-201	9.39176574212	2.10851014331761	7.25177582024761e-13	1	72	132	0.0001792279685409	1	0	-3.52378407843682	7.1217491498643
ABCA1	RXRA	R-HSA-9006931	REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS	3.60093923587646e-202	8.85461724924493e-201	7.6670000085532	2.10851014331761	4.90603418313449e-12	1	72	132	0.0001792279685409	1	0	-6.10325044131212	7.1217491498643
