Model	Species	Pathway	Pathway_genes_in_database	Genes_present_in_expression	Included
THP-1	Homo sapiens	HALLMARK_MTORC1_SIGNALING	200	200	TRUE
THP-1	Homo sapiens	HALLMARK_MYC_TARGETS_V1	200	200	TRUE
THP-1	Homo sapiens	HALLMARK_E2F_TARGETS	200	199	TRUE
THP-1	Homo sapiens	HALLMARK_OXIDATIVE_PHOSPHORYLATION	201	199	TRUE
THP-1	Homo sapiens	HALLMARK_TNFA_SIGNALING_VIA_NFKB	200	199	TRUE
THP-1	Homo sapiens	HALLMARK_G2M_CHECKPOINT	200	198	TRUE
THP-1	Homo sapiens	HALLMARK_MITOTIC_SPINDLE	199	197	TRUE
THP-1	Homo sapiens	HALLMARK_INTERFERON_GAMMA_RESPONSE	200	196	TRUE
THP-1	Homo sapiens	HALLMARK_ADIPOGENESIS	200	192	TRUE
THP-1	Homo sapiens	HALLMARK_GLYCOLYSIS	200	192	TRUE
THP-1	Homo sapiens	HALLMARK_IL2_STAT5_SIGNALING	200	192	TRUE
THP-1	Homo sapiens	HALLMARK_P53_PATHWAY	200	192	TRUE
THP-1	Homo sapiens	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	200	189	TRUE
THP-1	Homo sapiens	HALLMARK_INFLAMMATORY_RESPONSE	201	189	TRUE
THP-1	Homo sapiens	HALLMARK_APICAL_JUNCTION	200	188	TRUE
THP-1	Homo sapiens	HALLMARK_ESTROGEN_RESPONSE_EARLY	200	187	TRUE
THP-1	Homo sapiens	HALLMARK_HYPOXIA	200	186	TRUE
THP-1	Homo sapiens	HALLMARK_COMPLEMENT	200	182	TRUE
THP-1	Homo sapiens	HALLMARK_ALLOGRAFT_REJECTION	200	181	TRUE
THP-1	Homo sapiens	HALLMARK_HEME_METABOLISM	201	180	TRUE
THP-1	Homo sapiens	HALLMARK_ESTROGEN_RESPONSE_LATE	200	179	TRUE
THP-1	Homo sapiens	HALLMARK_KRAS_SIGNALING_UP	201	177	TRUE
THP-1	Homo sapiens	HALLMARK_MYOGENESIS	200	174	TRUE
THP-1	Homo sapiens	HALLMARK_XENOBIOTIC_METABOLISM	200	170	TRUE
THP-1	Homo sapiens	HALLMARK_APOPTOSIS	161	157	TRUE
THP-1	Homo sapiens	HALLMARK_DNA_REPAIR	150	149	TRUE
THP-1	Homo sapiens	HALLMARK_UV_RESPONSE_UP	158	145	TRUE
THP-1	Homo sapiens	HALLMARK_UV_RESPONSE_DN	144	144	TRUE
THP-1	Homo sapiens	HALLMARK_FATTY_ACID_METABOLISM	158	140	TRUE
THP-1	Homo sapiens	HALLMARK_KRAS_SIGNALING_DN	200	135	TRUE
THP-1	Homo sapiens	HALLMARK_COAGULATION	138	117	TRUE
THP-1	Homo sapiens	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	113	112	TRUE
THP-1	Homo sapiens	HALLMARK_SPERMATOGENESIS	135	106	TRUE
THP-1	Homo sapiens	HALLMARK_PI3K_AKT_MTOR_SIGNALING	105	99	TRUE
THP-1	Homo sapiens	HALLMARK_PEROXISOME	104	98	TRUE
THP-1	Homo sapiens	HALLMARK_INTERFERON_ALPHA_RESPONSE	97	97	TRUE
THP-1	Homo sapiens	HALLMARK_BILE_ACID_METABOLISM	112	96	TRUE
THP-1	Homo sapiens	HALLMARK_ANDROGEN_RESPONSE	101	95	TRUE
THP-1	Homo sapiens	HALLMARK_PROTEIN_SECRETION	97	93	TRUE
THP-1	Homo sapiens	HALLMARK_IL6_JAK_STAT3_SIGNALING	90	84	TRUE
THP-1	Homo sapiens	HALLMARK_CHOLESTEROL_HOMEOSTASIS	74	73	TRUE
THP-1	Homo sapiens	HALLMARK_MYC_TARGETS_V2	58	58	TRUE
THP-1	Homo sapiens	HALLMARK_TGF_BETA_SIGNALING	54	53	TRUE
THP-1	Homo sapiens	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	49	48	TRUE
THP-1	Homo sapiens	HALLMARK_WNT_BETA_CATENIN_SIGNALING	42	41	TRUE
THP-1	Homo sapiens	HALLMARK_APICAL_SURFACE	44	37	TRUE
THP-1	Homo sapiens	HALLMARK_HEDGEHOG_SIGNALING	36	34	TRUE
THP-1	Homo sapiens	HALLMARK_ANGIOGENESIS	36	31	TRUE
THP-1	Homo sapiens	HALLMARK_NOTCH_SIGNALING	32	31	TRUE
THP-1	Homo sapiens	HALLMARK_PANCREAS_BETA_CELLS	40	23	TRUE
BoMac	Bos taurus	HALLMARK_MYC_TARGETS_V1	201	200	TRUE
BoMac	Bos taurus	HALLMARK_E2F_TARGETS	200	197	TRUE
BoMac	Bos taurus	HALLMARK_MITOTIC_SPINDLE	199	197	TRUE
BoMac	Bos taurus	HALLMARK_MTORC1_SIGNALING	201	197	TRUE
BoMac	Bos taurus	HALLMARK_OXIDATIVE_PHOSPHORYLATION	199	197	TRUE
BoMac	Bos taurus	HALLMARK_G2M_CHECKPOINT	199	195	TRUE
BoMac	Bos taurus	HALLMARK_P53_PATHWAY	198	190	TRUE
BoMac	Bos taurus	HALLMARK_GLYCOLYSIS	198	189	TRUE
BoMac	Bos taurus	HALLMARK_HYPOXIA	199	189	TRUE
BoMac	Bos taurus	HALLMARK_ADIPOGENESIS	199	188	TRUE
BoMac	Bos taurus	HALLMARK_IL2_STAT5_SIGNALING	203	182	TRUE
BoMac	Bos taurus	HALLMARK_TNFA_SIGNALING_VIA_NFKB	197	182	TRUE
BoMac	Bos taurus	HALLMARK_APICAL_JUNCTION	200	179	TRUE
BoMac	Bos taurus	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	197	179	TRUE
BoMac	Bos taurus	HALLMARK_ESTROGEN_RESPONSE_EARLY	197	176	TRUE
BoMac	Bos taurus	HALLMARK_HEME_METABOLISM	191	172	TRUE
BoMac	Bos taurus	HALLMARK_MYOGENESIS	199	172	TRUE
BoMac	Bos taurus	HALLMARK_ESTROGEN_RESPONSE_LATE	197	169	TRUE
BoMac	Bos taurus	HALLMARK_INTERFERON_GAMMA_RESPONSE	195	168	TRUE
BoMac	Bos taurus	HALLMARK_KRAS_SIGNALING_UP	196	167	TRUE
BoMac	Bos taurus	HALLMARK_COMPLEMENT	193	161	TRUE
BoMac	Bos taurus	HALLMARK_XENOBIOTIC_METABOLISM	200	156	TRUE
BoMac	Bos taurus	HALLMARK_ALLOGRAFT_REJECTION	196	151	TRUE
BoMac	Bos taurus	HALLMARK_INFLAMMATORY_RESPONSE	198	150	TRUE
BoMac	Bos taurus	HALLMARK_DNA_REPAIR	149	149	TRUE
BoMac	Bos taurus	HALLMARK_APOPTOSIS	159	147	TRUE
BoMac	Bos taurus	HALLMARK_UV_RESPONSE_UP	160	147	TRUE
BoMac	Bos taurus	HALLMARK_FATTY_ACID_METABOLISM	158	137	TRUE
BoMac	Bos taurus	HALLMARK_UV_RESPONSE_DN	141	137	TRUE
BoMac	Bos taurus	HALLMARK_KRAS_SIGNALING_DN	199	135	TRUE
BoMac	Bos taurus	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	113	109	TRUE
BoMac	Bos taurus	HALLMARK_COAGULATION	134	102	TRUE
BoMac	Bos taurus	HALLMARK_SPERMATOGENESIS	133	100	TRUE
BoMac	Bos taurus	HALLMARK_PI3K_AKT_MTOR_SIGNALING	105	97	TRUE
BoMac	Bos taurus	HALLMARK_ANDROGEN_RESPONSE	98	94	TRUE
BoMac	Bos taurus	HALLMARK_PROTEIN_SECRETION	96	94	TRUE
BoMac	Bos taurus	HALLMARK_PEROXISOME	105	92	TRUE
BoMac	Bos taurus	HALLMARK_INTERFERON_ALPHA_RESPONSE	97	91	TRUE
BoMac	Bos taurus	HALLMARK_BILE_ACID_METABOLISM	110	86	TRUE
BoMac	Bos taurus	HALLMARK_CHOLESTEROL_HOMEOSTASIS	73	68	TRUE
