Sample	Model	Raw_library_size	Normalization_factor	Effective_library_size
R0168	THP-1	213309716	0.972009137336004	207324563.558904
R0169	THP-1	199311072	0.968768704593342	193072395.232272
R0171	THP-1	197662998	0.978830570831315	193463575.776596
R0187	THP-1	191362691	1.06496151477784	203774656.35979
R0189	THP-1	175820260	1.10029115668759	193433318.810231
R0190	THP-1	216316247	1.05188180565327	227518064.760868
R0318	THP-1	172933251	1.02175185723562	176681219.782231
R0320	THP-1	188101269	1.04130830186813	195853298.402411
R0322	THP-1	184197233	1.0259280935157	188958370.418069
R0330	THP-1	167874058	1.03115813021842	173091187.46332
R0332	THP-1	203808498	1.0581203421414	215636252.315974
R0334	THP-1	188220584	1.07606870078769	202520850.201633
R0420	THP-1	193104201	0.923222746599723	178254710.503051
R0422	THP-1	218515575	0.814683996352048	178008961.565736
R0424	THP-1	261461629	0.85641497805299	223897488.672857
R0426	THP-1	127037481	1.18708282518895	150778215.353494
R0428	THP-1	229246952	0.913234931502396	209338419.622786
R0430	THP-1	230339252	0.983576294030664	226533860.343453
R0235	BoMac	167869487	0.995836825996829	167164166.084837
R0236	BoMac	173409694	0.989758319088008	171627344.875697
R0238	BoMac	159593942	0.98990762144343	157977299.288212
R0251	BoMac	180273965	1.03247850428447	186120228.00213
R0252	BoMac	176332318	1.02676863797439	181043697.656806
R0253	BoMac	157746457	1.01356437149425	159879241.574447
R0324	BoMac	207742663	0.957071568674139	198818607.961148
R0326	BoMac	188054248	0.958440337426272	180233208.369203
R0328	BoMac	162184918	0.974163760006087	157989691.558345
R0336	BoMac	190808474	1.02343433594472	195271562.977039
R0338	BoMac	180829310	1.008983656277	182445994.706576
R0340	BoMac	164468343	1.00508620869938	165298041.796841
R0348	BoMac	191299652	0.960868830367373	183807030.519984
R0350	BoMac	163776978	0.965121860555767	158059191.307741
R0352	BoMac	192204884	0.963843235844199	185248757.664275
R0360	BoMac	170497428	1.06959516541199	182354669.012251
R0362	BoMac	194217509	1.05278708311498	204460476.061352
R0364	BoMac	222564035	1.02183671198467	227414621.129426
