	R0235	R0236	R0238	R0251	R0252	R0253	R0324	R0326	R0328	R0336	R0338	R0340	R0348	R0350	R0352	R0360	R0362	R0364
ENSBTAG00000054829	-7.49417284127121	-5.44056971680761	-7.49417284127121	-3.95124572909072	-3.49981709188926	-7.49417284127121	-7.49417284127121	-5.90890913811031	-5.77946728893426	-5.98495681725156	-7.49417284127121	-4.8040972357078	-5.92773391143658	-4.32673057203661	-3.0720857996492	-4.9228893991896	-4.48442088398662	-6.65197475711766
ENSBTAG00000001753	-4.5928499643566	-5.86146571015507	-5.77938860009584	-3.83606682059526	-5.91322176045633	-3.24301554826167	-5.28402746519002	-5.17188331100154	-5.01789668832585	-5.98495681725156	-4.70150783542429	-3.67774378687616	-5.92773391143658	-7.49417284127121	-5.93519011373515	-7.49417284127121	-4.19876947967011	-4.61795330115754
ENSBTAG00000021251	-4.22691443963002	-5.44056971680761	-5.34891497185511	-7.49417284127121	-4.32959888215428	-3.42487794732142	-6.00175073431238	-5.90890913811031	-5.77946728893426	-3.89970565583562	-4.0503262624824	-3.47005511630379	-5.19450174355859	-5.77990845152088	-5.93519011373515	-3.60261154141309	-4.48442088398662	-5.43373866858229
ENSBTAG00000020035	4.57847049488621	4.65399783644238	4.6282263710408	4.52162855316001	4.60996422221837	4.59723680739347	3.82724581788901	3.79744945788077	3.73377542289091	3.86694391257253	3.99449180249581	3.8682344250231	3.44879076961835	3.55200843827848	3.54818167729949	3.54942474954699	3.39989058394312	3.6123424031886
ENSBTAG00000013841	-4.07373529260389	-3.1788609891333	-3.50902850893407	-3.21583201533516	-3.59290136180626	-4.16917628418595	-3.53915062125655	-4.17183813794486	-4.15372652531317	-3.08057304846272	-3.11818681918975	-1.94545365422546	-4.34899916614015	-3.06578678456657	-4.72030723235625	-5.92014319183253	-3.41760657190454	-3.4190175618344
ENSBTAG00000021253	3.93281485640988	3.87547225169426	3.91914672613938	3.69054928372878	3.74892177015594	3.72620788390845	3.96325662891228	3.95800504561739	4.043312519099	4.0026471703621	3.72947277728181	3.76737120704824	3.81279466907666	3.90017462733974	3.83082963607095	3.9203778128005	3.86063414710507	3.86180385171559
ENSBTAG00000011528	2.43812948164053	2.6455780986484	2.61659511652921	2.68876650529807	2.59784342677346	2.83762794877104	2.52469194332192	2.42663132806475	2.36320539912115	2.47690843871808	2.78100970776049	2.7077786750599	2.19051239178454	2.44366484787158	2.48908589626057	1.69154853388626	2.03707932428759	2.28620242683673
ENSBTAG00000054497	-3.58528872248236	-4.26093311751649	-5.01780385895498	-5.20886166186553	-3.49981709188926	-2.93631988951044	-4.80692656914037	-3.9087962034058	-4.74877604436226	-3.89970565583562	-3.42284818793046	-5.39923304355858	-2.93591336660521	-2.99131508977809	-3.0720857996492	-3.50957093788246	-4.07468696255063	-3.71970491885
ENSBTAG00000012594	5.22588618328384	5.29517288729637	5.33980390085708	5.03663709711797	5.04477128091543	5.16571635990926	5.55082115364278	5.30677437595905	5.30569443355476	5.12411861390109	5.49675482033706	5.36597783015377	5.44319853639699	5.4167517044626	5.40369091366751	5.09233010242928	5.08361375222251	5.29368905186312
ENSBTAG00000021259	5.08475580927187	4.87834682615897	5.05339458772815	4.85785955156776	4.83770760681891	4.59686395889658	5.15567126035768	5.10851376750569	5.15289271791356	4.82400822856334	4.51173971050718	4.40170371849989	5.17166083195564	5.09492385598928	5.23507673282778	4.77999484165064	4.77453661947526	4.53091453248576
