	R0168	R0169	R0171	R0187	R0189	R0190	R0318	R0320	R0322	R0330	R0332	R0334	R0420	R0422	R0424	R0426	R0428	R0430
ENSG00000186827	-2.30155050647993	-2.10171450243892	-2.07285088366605	-2.76217703902867	-2.55199471836282	-2.96404317750354	-3.30320978801717	-4.44428375864808	-2.6568958079396	-3.35809526830876	-3.35348779328129	-3.75212392903273	1.34845606510453	0.130825701281419	2.06388449240296	-0.320200867837724	-0.731669424419956	-1.20663020281848
ENSG00000186891	-0.706440791139529	-0.125537325643961	-0.689217180181406	-1.34824128918058	-0.725524166788907	-1.61731699120546	-1.79544370374842	-1.99902613900259	-3.17226761871243	-5.14833365398572	-3.42354538813675	-4.84833864080682	2.18737401215783	1.63769025285875	2.30070440072282	1.14641361623068	1.46039446093721	1.2184935824581
ENSG00000160072	5.15659785282526	5.28351542704746	5.03457289966402	4.57829348758506	4.59782793166165	4.55687598260005	5.92111340476821	5.68299932673661	5.66342762568169	5.90736411074892	5.68257577244227	5.36009957603273	4.0099968383599	4.2189459965112	4.17385173105127	4.16286929895875	4.40959314197037	4.08073275803501
ENSG00000041988	3.20968092470982	3.65728978751974	3.04340827084395	3.40266587671069	3.43703103870329	3.33705226772577	4.04125251431061	3.58910420268591	3.52152897241757	4.37914615774026	4.18862726226525	3.86703056188577	4.30925189398466	4.22589267751497	4.45632196806725	4.7544463051719	4.63184357305766	4.89797612019504
ENSG00000260179	-1.71721417728552	-0.993349436942749	-1.64208885741738	-1.62563499531803	-1.92371769969658	-1.80397840310175	-1.14490204165424	-1.30991484662337	-1.33385036214779	-1.71072217919213	-1.52177195842457	-1.96064629255193	-0.697658824696787	-1.62017494919159	-0.6056580765039	-0.119762743335542	-0.814087833705734	-0.593298488384324
ENSG00000225972	-0.994548286501746	-0.760332868605268	-0.966791377483756	-1.5001709064816	-1.57367818224257	-1.48718514147247	-1.02373969729798	-0.88575833750623	-1.83505771551174	-0.837252770707337	-0.931038685382777	-1.47150322949005	-0.697658824696787	-0.969508712246323	-1.82623366257465	-3.80773012653342	-1.62085224835175	-3.42082848718373
ENSG00000198744	-1.2685643866351	-1.32654436109597	-1.95251707044513	-1.86253107464374	-1.84123050707109	-1.84895560270075	-1.42282348516244	-1.23865298434083	-1.49666877384727	-1.4839734904882	-1.94260340581603	-1.93318141272331	-1.89563615898539	-2.2314667419186	-2.47975960728212	-3.94835806515501	-2.49770800624156	-4.3442911861778
ENSG00000228037	-5.67613533911992	-4.13589763345115	-4.13855628694424	-4.85593445643626	-5.27836632082763	-5.46317101624722	-7.61885019186228	-5.29274413699876	-5.57594683324969	-3.54002889707443	-5.1443488018324	-6.06246194951742	2.15321118514148	-2.83740745089615	2.0807378989664	1.49763636330764	0.916252884869447	0.974572847226634
ENSG00000225630	9.01093834707386	8.84026101384579	9.04737413070427	8.79978096055007	8.43238585461867	8.79734255375461	8.97337923227393	9.10300225504243	9.03837975758272	9.23610947300121	9.16229234929661	8.98716150855655	9.15066204799177	9.46458673722483	9.30906176472865	7.1849763831816	9.14864064538758	7.41687872585278
ENSG00000067606	2.96518879496497	2.77330469128187	2.91680671673656	2.63868722419652	2.70005813410552	2.7486839713776	3.31134493153953	3.21212133208836	3.26220778974751	3.60892406751475	3.55023839565685	3.34932178994965	2.73032435746995	2.53528921316819	2.87817594889647	2.40895463529804	2.09937538562068	2.7587025530145
ENSG00000131584	5.89039525415905	5.79070378286478	5.83701308545942	6.01709555945281	6.1600279684915	6.00099056076363	5.68043355688589	5.92237424892049	5.95635493165575	6.26286913721608	6.221160444374	5.93461608348749	5.50749531990823	5.30225166384041	5.58671455161016	5.71422923965784	4.99249343916064	5.49850754300154
ENSG00000227589	-1.99378943075275	-1.3838910292448	-2.27455895933102	-1.76305837125275	-2.07263006336769	-1.56010318557436	-3.07965314552656	-3.36597641217147	-3.10503238868316	-1.58038081880416	-1.35847296406376	-2.10640775807944	-3.5798922493193	-4.32109224460822	-2.5918291363691	-2.20210934581121	-2.53716610202756	-1.88924397964493
ENSG00000169972	4.02409275940872	4.28351201987697	4.00398733872187	3.72846668242708	3.65991682967591	3.68938489172885	4.57627739253104	4.30746611469228	4.27529381299909	4.79309371944419	4.73163611135152	4.22263704821015	3.05154322688372	3.76194500527277	3.3374149687339	2.49803094294676	2.95125186763236	3.07966062745145
ENSG00000157911	4.60061112729644	4.59743842463911	4.51814434106724	4.18210305608785	4.24822227756889	4.28200176368958	4.33221031269937	4.35359532770789	4.25103932528189	4.6279663498168	4.45611283758457	4.02195850874284	2.78301360644533	2.90130205721193	2.9238936638104	2.49803094294676	3.84060375529097	2.9389257595
ENSG00000269896	0.608283413964277	0.418129830226244	0.496755628564988	0.443102392955182	0.437642792130684	0.253149854205473	0.335240470749658	0.536099140698786	0.622758886273777	1.03986094943001	0.965552951400571	1.119532436984	-0.288892535449548	0.529288485832078	-0.396123968471754	0.261703889290424	1.17008899422302	0.090218881016748
ENSG00000237973	3.50641008800862	3.28733710325344	3.67961520471709	3.52394859682059	3.59535686435931	3.64039321284036	3.23361196025796	3.62238240175065	3.3583994212149	3.56382274487511	3.59908903608848	4.56900353403078	3.59695175558711	4.1675566289558	3.70215945714177	1.43885096992315	3.32308596768011	1.71780893671045
ENSG00000224051	4.54327083703559	4.51093949702692	4.41879425788876	4.66065625339821	4.81951686852203	4.76359058213969	4.02579526959918	4.12361618698041	4.05414689914507	5.02247473606993	4.91512067778611	4.49384987074821	3.5583132159497	3.98203934751717	3.75179268005527	3.97302724265262	3.96320267773243	4.17823075334423
ENSG00000228463	-7.61885019186228	-4.27363447847739	-4.01285281376948	-4.49503685337804	-5.27836632082763	-4.63488667760303	-7.61885019186228	-5.29274413699876	-5.99568885009182	-2.15441036551216	-2.66088168194917	-2.26856850778028	-0.094896994353395	-3.78588006341875	-0.635377014244045	-1.43494258359292	-2.49770800624156	-2.56987825070235
ENSG00000238260	-3.78360069570361	-4.13589763345115	-7.61885019186228	-2.34758013856191	-2.5964106029317	-3.81570701353051	-4.67864869336182	-5.61493300021728	-4.5689186969417	-3.35809526830876	-2.88965584481435	-3.9581273084298	-2.62445657970699	-4.49292996857477	-2.47975960728212	-2.44098105270669	-3.12082925429287	-2.09151800576992
ENSG00000157933	6.15111962813352	5.81546196406351	6.06963806502088	6.03545328096019	6.14176441226085	6.06442698113229	4.79117395647287	5.45967454399721	5.40367232596689	7.12499693727819	7.10095581468467	6.64755185700857	5.91343467631376	6.06394714181305	5.8672923195313	6.20494391392868	4.9404754840458	5.85986710044544
ENSG00000162591	4.16613630080865	3.93983615132029	4.12901522344484	4.68535608773314	4.73185565035276	4.705719361779	-0.547348172713576	-0.6249859759622	-0.314364383629155	0.72891805807756	0.85892683200195	0.87734969894092	-0.00281810300470021	-0.847825682727749	-0.0642903835394578	0.828550544235741	-0.967350295068562	0.769443887253551
ENSG00000270035	-6.08469433261147	-3.13473159274589	-5.60161709619926	-3.4201203034228	-3.50958165741833	-2.96404317750354	-2.33989724777733	-2.80646083130876	-2.60952999851481	-3.44619609794707	-2.57864762699813	-2.80243864944029	-3.5798922493193	-2.52600941525895	-3.47477007468834	-3.25744133385355	-3.4568392661457	-4.47982365340732
ENSG00000169962	-0.400623520129059	-0.615921551055094	-1.02630206681895	0.628545197558024	0.559044976184537	0.437686696502362	-1.63467727485077	-0.899433742624907	-0.992656692361616	0.71882502631456	0.670016890180095	0.704528060802849	1.67171411392315	0.145554300412829	1.58806621380061	2.27302975945006	1.43002427501096	1.75790481021108
ENSG00000116285	2.28017914038954	2.25872319953979	2.29127841731139	1.78251529840369	1.94537325474346	1.73461228164507	1.28620054082498	1.35502676205765	1.1827790893084	0.624662080066788	0.806336039958565	0.801721587252796	6.03678289554271	4.55655158166808	5.97026675550294	6.21463924958594	4.85851577689227	6.59632148304292
ENSG00000142655	4.18691670664229	4.193264261076	4.08223484101902	3.85910558956352	3.9840873002041	3.90747658645903	4.1747422597879	4.19894736574482	4.16171980762866	4.8421548243973	4.63854512373874	4.3865705460332	3.75696526585055	3.74813866351696	4.02070335920877	3.73652838478629	4.14403143851203	4.09011153141568
ENSG00000229344	-1.48522694668094	-1.25346446305808	-2.27455895933102	-1.91496351230328	-1.48750104505751	-2.01843101361523	-0.523677278563231	-1.61371105581963	-1.60862887907399	-1.8844697348448	-1.72793608107462	-1.66124359333076	-0.835284618645779	-1.19215083054195	-1.1043270647884	-2.93125691893306	-0.74315911305659	-3.11470745246309
ENSG00000149527	-5.35810835806028	-4.42592279362463	-5.27854741449436	-5.3383557034665	-7.61885019186228	-4.11202602000654	-5.92952346629287	-6.03040521815117	-4.39821490072214	-4.65285672241765	-6.12156960484376	-6.06246194951742	-1.05309502857523	-5.18137462525504	-0.862549894711911	-0.732187090603865	-1.70822899412843	-1.55394242028431
ENSG00000007923	6.18345829997027	6.04826139760614	6.10408626736871	5.92396455835094	5.91605816261134	5.90710970909113	6.0929252845595	6.208143992439	6.2122407187067	6.74823764373181	6.56475151537156	6.23762195587053	4.61921742034051	5.37865436851911	4.64789753501158	4.78634960486442	5.61871023763984	4.91454154397936
ENSG00000171621	6.36182610427676	6.24127364867949	6.44915753209549	5.46696670998366	5.39281182788934	5.45168092907933	4.31590342786074	4.25132888840967	4.20996148666763	3.62252243615538	3.72028414936423	3.72556853711603	6.87134013540518	6.06745605346061	6.93856689597349	6.43788235522858	6.04133442997094	6.44153047820369
ENSG00000162441	4.91505953646728	5.04067426577214	4.97369638697011	4.88256727214302	4.79420336808139	4.86868451510045	4.94886068483869	4.75105123813835	4.83413456940859	4.43223026806216	4.42996852512627	4.84190661616097	4.90318051083965	4.40718293500454	5.03096078940199	4.50676915608531	5.31632256790264	5.00041168236218
ENSG00000230021	-1.91295220023831	-2.68696183068822	-1.46696020398046	-2.05504122578358	-1.59605151894208	-2.8683306603093	-4.31138574870003	-1.85883863308136	-2.13695853441111	-2.31103604433795	-3.16167238180133	-1.7543074720811	0.0133099548429994	-2.2314667419186	-0.760781368845604	-0.25024796387707	-2.0074515664285	-0.87928112634709
ENSG00000287356	-3.88276167463796	-3.89453065180345	-3.34918856425633	-3.58025791405754	-2.46706602238355	-5.46317101624722	-5.17256133919206	-4.80701934658242	-5.99568885009182	-5.14833365398572	-2.9923930065226	-4.33563256824573	-2.5279413832062	-1.39034729429126	-2.55349715109323	-1.26434819862359	-1.77741967904729	-1.55394242028431
