Pathway	Sample	Pathway_score	Model	Day_number	Day	Condition
HALLMARK_ADIPOGENESIS	R0168	0.642831530525316	THP-1	1	Day1	Control
HALLMARK_ADIPOGENESIS	R0169	0.65931707364715	THP-1	1	Day1	Control
HALLMARK_ADIPOGENESIS	R0171	0.639445043950496	THP-1	1	Day1	Control
HALLMARK_ADIPOGENESIS	R0187	0.64714721179418	THP-1	3	Day3	Control
HALLMARK_ADIPOGENESIS	R0189	0.647058620149432	THP-1	3	Day3	Control
HALLMARK_ADIPOGENESIS	R0190	0.646397657632334	THP-1	3	Day3	Control
HALLMARK_ADIPOGENESIS	R0318	0.652782738767205	THP-1	1	Day1	Lineage_5
HALLMARK_ADIPOGENESIS	R0320	0.629893253965493	THP-1	1	Day1	Lineage_5
HALLMARK_ADIPOGENESIS	R0322	0.622403656413194	THP-1	1	Day1	Lineage_5
HALLMARK_ADIPOGENESIS	R0330	0.661495897740126	THP-1	3	Day3	Lineage_5
HALLMARK_ADIPOGENESIS	R0332	0.655797669935858	THP-1	3	Day3	Lineage_5
HALLMARK_ADIPOGENESIS	R0334	0.649443072707669	THP-1	3	Day3	Lineage_5
HALLMARK_ADIPOGENESIS	R0420	0.646488741044972	THP-1	1	Day1	M_bovis
HALLMARK_ADIPOGENESIS	R0422	0.653169930840527	THP-1	1	Day1	M_bovis
HALLMARK_ADIPOGENESIS	R0424	0.650853317284084	THP-1	1	Day1	M_bovis
HALLMARK_ADIPOGENESIS	R0426	0.61507182295928	THP-1	3	Day3	M_bovis
HALLMARK_ADIPOGENESIS	R0428	0.662201614808365	THP-1	3	Day3	M_bovis
HALLMARK_ADIPOGENESIS	R0430	0.644484154842461	THP-1	3	Day3	M_bovis
HALLMARK_ALLOGRAFT_REJECTION	R0168	0.492257075644979	THP-1	1	Day1	Control
HALLMARK_ALLOGRAFT_REJECTION	R0169	0.497357702021371	THP-1	1	Day1	Control
HALLMARK_ALLOGRAFT_REJECTION	R0171	0.492264893264162	THP-1	1	Day1	Control
HALLMARK_ALLOGRAFT_REJECTION	R0187	0.472455857512324	THP-1	3	Day3	Control
HALLMARK_ALLOGRAFT_REJECTION	R0189	0.469751883656559	THP-1	3	Day3	Control
HALLMARK_ALLOGRAFT_REJECTION	R0190	0.469897134680439	THP-1	3	Day3	Control
HALLMARK_ALLOGRAFT_REJECTION	R0318	0.502067504573231	THP-1	1	Day1	Lineage_5
HALLMARK_ALLOGRAFT_REJECTION	R0320	0.487523338632118	THP-1	1	Day1	Lineage_5
HALLMARK_ALLOGRAFT_REJECTION	R0322	0.486641280493392	THP-1	1	Day1	Lineage_5
HALLMARK_ALLOGRAFT_REJECTION	R0330	0.426390817865101	THP-1	3	Day3	Lineage_5
HALLMARK_ALLOGRAFT_REJECTION	R0332	0.429915656743019	THP-1	3	Day3	Lineage_5
HALLMARK_ALLOGRAFT_REJECTION	R0334	0.467497729107273	THP-1	3	Day3	Lineage_5
