	R0235	R0236	R0238	R0251	R0252	R0253	R0324	R0326	R0328	R0336	R0338	R0340	R0348	R0350	R0352	R0360	R0362	R0364
HALLMARK_ADIPOGENESIS	0.409490105394002	0.417200889141051	0.413551979266791	0.399568913476933	0.407339634171615	0.416431579195993	0.433518566488759	0.419482460234064	0.428251398181006	0.41744998843566	0.441293776001783	0.431791367901302	0.410875333263815	0.412283103945055	0.410276694130379	0.399149260476238	0.406729173804605	0.422408283194176
HALLMARK_ALLOGRAFT_REJECTION	0.176344789874499	0.179472702718848	0.181451562226778	0.181523859957452	0.191521012682562	0.185956679986055	0.16759730769039	0.176095848813248	0.169463081971461	0.190737756970581	0.199857677236506	0.197197179640615	0.18720629158051	0.180145203371362	0.18368828046704	0.175472253872128	0.180434801087414	0.179858773208735
HALLMARK_ANDROGEN_RESPONSE	0.504806576828292	0.505229240461102	0.503987511586467	0.493207954089688	0.492044493694203	0.489302469078477	0.483039183076544	0.507791345241396	0.491947364861652	0.494680160829222	0.471098901453472	0.472176263521546	0.500279185476392	0.501478950742858	0.499198891750571	0.498059269647575	0.493570021633929	0.47973254552576
HALLMARK_ANGIOGENESIS	0.630206805148131	0.613092311214709	0.623285572166916	0.624676654759607	0.616065675175983	0.623716292224795	0.595466614250214	0.584110244730962	0.585208239882478	0.605196190838695	0.591865277874914	0.596120806652629	0.582826476677339	0.594031190839925	0.586576557621387	0.578360238620779	0.568838228348867	0.578719145164345
HALLMARK_APICAL_JUNCTION	0.358876074113976	0.355814413429068	0.354986335693914	0.369167501007082	0.360797172490875	0.36385087643238	0.359062162344808	0.354405692911613	0.362790576538215	0.358853626180984	0.345287327523948	0.3517326610144	0.344993030528606	0.346820562039225	0.345653779209086	0.36006181086161	0.365309648272817	0.358756376319595
HALLMARK_APICAL_SURFACE	0.22056604520041	0.211249491472199	0.214257237726409	0.217792490857272	0.219379363913469	0.209665335610374	0.234775471155106	0.232272548206914	0.241217926954145	0.207320753987251	0.197102415282412	0.209366925561978	0.20188864442028	0.207263753206389	0.209581968950454	0.207398625302327	0.211043433996821	0.207629375199282
HALLMARK_APOPTOSIS	0.445406221959494	0.450023365301634	0.450308084856886	0.447284852435083	0.452752920868019	0.452490670475261	0.438454131464959	0.434394666166702	0.438567896824678	0.460402644476184	0.474365691756936	0.464740445936324	0.426750125988259	0.424925970382127	0.425855515224174	0.435118451848921	0.440016997505741	0.446890151903457
HALLMARK_BILE_ACID_METABOLISM	0.143679556001339	0.146573933421621	0.143510197837305	0.132743573099858	0.130860352286259	0.140041827234513	0.145404773698546	0.132275971942724	0.135052030642751	0.124761196209831	0.131371101526349	0.125942802759309	0.112712595309207	0.119672250570356	0.122316512740676	0.125962768227463	0.129489643275986	0.132057248342308
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.591636511377579	0.594804178540503	0.596995534565555	0.557950787667858	0.56332460492956	0.568449098064706	0.587913927016952	0.579950595286583	0.593148812973328	0.546160523124649	0.568546914013986	0.55267657680257	0.555434495284753	0.558018391691948	0.556941597127325	0.547920991521231	0.548900466830461	0.561830390614562
HALLMARK_COAGULATION	0.286917061383998	0.287644545365247	0.285874481413244	0.309428946525058	0.311162140814672	0.311188137748034	0.298738595922034	0.287268354877952	0.298471771085094	0.32142909271755	0.331150240852534	0.32820048433075	0.276037725764734	0.283605577046563	0.274920835970487	0.31172384443576	0.308699966991228	0.319718952272642
