	R0168	R0169	R0171	R0187	R0189	R0190	R0318	R0320	R0322	R0330	R0332	R0334	R0420	R0422	R0424	R0426	R0428	R0430
HALLMARK_ADIPOGENESIS	0.642831530525316	0.65931707364715	0.639445043950496	0.64714721179418	0.647058620149432	0.646397657632334	0.652782738767205	0.629893253965493	0.622403656413194	0.661495897740126	0.655797669935858	0.649443072707669	0.646488741044972	0.653169930840527	0.650853317284084	0.61507182295928	0.662201614808365	0.644484154842461
HALLMARK_ALLOGRAFT_REJECTION	0.492257075644979	0.497357702021371	0.492264893264162	0.472455857512324	0.469751883656559	0.469897134680439	0.502067504573231	0.487523338632118	0.486641280493392	0.426390817865101	0.429915656743019	0.467497729107273	0.51102186741183	0.561589847051816	0.51276224416708	0.495959808483	0.502630678457762	0.506174172013342
HALLMARK_ANDROGEN_RESPONSE	0.710479640500048	0.705426164828516	0.710298533156113	0.710228973484065	0.711077879728417	0.715458298000899	0.713866651769233	0.714566427042342	0.716255301537602	0.628048554133764	0.643766511862402	0.693866889550938	0.72252703166977	0.703107885065491	0.719676849934151	0.711784144974328	0.714899087975483	0.720180863255718
HALLMARK_ANGIOGENESIS	0.532592584860859	0.519056253887668	0.534150720570515	0.539921730560925	0.546878261715714	0.544319220012006	0.513137265802445	0.526425124281375	0.532945914039719	0.457791028640584	0.480355706746065	0.496732675069985	0.497213675655054	0.529884885862487	0.492761667548552	0.522357514796508	0.51027553190763	0.518312893656452
HALLMARK_APICAL_JUNCTION	0.443040362416175	0.426064083661014	0.437079338969072	0.455118741513839	0.458122604175279	0.458510087512194	0.416815823859619	0.434232542313762	0.436252344562934	0.416870255102625	0.424899504615227	0.428572020447939	0.464577304455377	0.452444119754771	0.462656711449219	0.476102923919422	0.440537930703885	0.470283939025905
HALLMARK_APICAL_SURFACE	0.301048366730948	0.281226457637408	0.301120513314348	0.324819466955129	0.337875624802611	0.33448421046265	0.286208206152329	0.301036335613971	0.29826032665131	0.286033626800432	0.29816450099847	0.299420527001332	0.337781359400051	0.325462171594884	0.338354377810084	0.350289458455534	0.31034895630485	0.349001987580002
HALLMARK_APOPTOSIS	0.623057139566381	0.625476217549226	0.616588634370308	0.631686157214292	0.631836106955484	0.630863879068324	0.65659538751438	0.64740458421866	0.64646107838753	0.60337322970408	0.604513169956025	0.617281421191406	0.679456892197293	0.72412668477212	0.687476419202146	0.66888400113325	0.658272495129301	0.677309072311644
HALLMARK_BILE_ACID_METABOLISM	0.342960903473024	0.345608450522705	0.340822952102506	0.374756608773695	0.369857622307086	0.378092835528148	0.328585016419983	0.328611752314873	0.332575585698757	0.356042795204425	0.356694190047356	0.367427827186969	0.362282249631796	0.376289112824259	0.366656612025447	0.36018976981836	0.362318991436316	0.365870530609806
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.671132546480922	0.674085180418306	0.669148678202448	0.683324505106803	0.6830794472974	0.685089712453523	0.663824051973063	0.659576889919	0.653739336412224	0.661248032048625	0.65883877207857	0.641170906498478	0.804305179879151	0.777012989232696	0.796892423090799	0.814342380951836	0.822083404683032	0.818038339019273
HALLMARK_COAGULATION	0.394101394984014	0.394762672282565	0.394171475650622	0.435156001384224	0.428137082324517	0.431237055480156	0.356937391353923	0.35292404864126	0.347790471682303	0.328990950106757	0.335510025646554	0.342736531292729	0.417018528411444	0.427715596944989	0.424075896330137	0.447358797089825	0.445728678079814	0.464722688610823
HALLMARK_COMPLEMENT	0.568183979415801	0.565889325213894	0.569913775830817	0.576408766496664	0.575137393094274	0.575209096825685	0.544950893840886	0.549507183214891	0.549415387011818	0.488608707059453	0.495264915332426	0.524635191521467	0.56737026093526	0.605950244227562	0.569643515443275	0.571734555003782	0.571009241580963	0.586929317101093
HALLMARK_DNA_REPAIR	0.647208105383012	0.671012994158186	0.642136807171538	0.637463316559695	0.640046180324105	0.637317524906524	0.722906164461095	0.684022741573521	0.679120575657517	0.726062080924976	0.719146414434947	0.698561620372459	0.645516518456049	0.692774283657809	0.653159979413567	0.639020598035506	0.691206922345849	0.666889698887977
HALLMARK_E2F_TARGETS	0.631730287339265	0.649059430070647	0.628494275377815	0.690046444146586	0.692706363886191	0.694052117960612	0.775808766647184	0.754950316000347	0.75319375501997	0.805062396817648	0.807171372300919	0.832167232279057	0.553632449566746	0.707939229249176	0.572014922672193	0.579554057011996	0.57737670262784	0.605052518321558
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.39385444781922	0.387538970435858	0.393767258772171	0.429955984560132	0.429455144864501	0.433113168220598	0.387454252410317	0.390514990947295	0.390505298136654	0.311503048001377	0.328946648466256	0.349120304855882	0.435883722724386	0.465620696849812	0.443589322873071	0.446135386208418	0.426062731396278	0.461475439573396
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.402411528739328	0.388015044535096	0.402237777837165	0.411801850827451	0.411226753960219	0.411724038422438	0.3663574901238	0.390037558749727	0.388482050840464	0.402122676417805	0.401633813633495	0.387067170866722	0.435675971663904	0.408066293790679	0.438191006189959	0.435976616072164	0.41409592456012	0.437141617769112
HALLMARK_ESTROGEN_RESPONSE_LATE	0.404644574114299	0.407915056129997	0.406429953113288	0.423464498006722	0.422313703150655	0.423308697108546	0.404948062121518	0.40930748117005	0.404254273156559	0.429373060764697	0.427192798450916	0.42301961861662	0.42845137064538	0.439891094427548	0.43562764549167	0.426828719631723	0.409503673043527	0.443691092077783
HALLMARK_FATTY_ACID_METABOLISM	0.624752084316431	0.645640834783583	0.617070582985857	0.620199226683917	0.618653857302795	0.617607413575273	0.661711569369219	0.630302430971174	0.622859062267238	0.667674588241515	0.666538204052253	0.661284318628173	0.631937409533447	0.665895588194157	0.639444356624423	0.611822107603489	0.658798431226624	0.637126454783347
HALLMARK_G2M_CHECKPOINT	0.670241479024135	0.676393960265069	0.670080917969936	0.729069424407029	0.730903085247845	0.733012310123613	0.776025471954688	0.772920729282977	0.774615019473727	0.789142419378404	0.793182641265809	0.835288260614398	0.615512363055147	0.727851627676936	0.630705325183433	0.646145034397837	0.613764934285407	0.660633425969552
HALLMARK_GLYCOLYSIS	0.566278827883535	0.573589495662077	0.561145762422621	0.570670537832484	0.569295642866097	0.572671362804185	0.573518442122993	0.568018720045162	0.565505843755476	0.583794440841225	0.587683237504795	0.583228742049169	0.661881721100963	0.638219749390991	0.66596444417814	0.650845276560548	0.65950638988149	0.66410136299311
HALLMARK_HEDGEHOG_SIGNALING	0.446335101373418	0.423520565172449	0.448589015477746	0.464890243214285	0.46532354270274	0.470438344454946	0.412334385176859	0.446806119735652	0.448351874345848	0.41167339524765	0.41906251172717	0.427501303651448	0.499616146548627	0.475219584356973	0.49997827309092	0.495316102619135	0.438604700313278	0.482148889044758
