Model	Day	Contrast	Group1	Group2	Pathway	N_Group1	N_Group2	Mean_Group1	Mean_Group2	Median_Group1	Median_Group2	Delta_mean	Delta_median	Rank_biserial	P_value	FDR	Absolute_effect_size	Absolute_delta_median	Direction	Significant_FDR_0_05
BoMac	Day3	M_bovis_vs_Control	Control	M_bovis	HALLMARK_INTERFERON_ALPHA_RESPONSE	3	3	0.419418931264324	0.51457034471346	0.408946846337571	0.514767526163251	0.0951514134491356	0.10582067982568	1	0.0808555983700523	0.202138995925131	1	0.10582067982568	Higher_in_M_bovis	FALSE
BoMac	Day3	M_bovis_vs_Control	Control	M_bovis	HALLMARK_INTERFERON_GAMMA_RESPONSE	3	3	0.289965746307608	0.347252901221405	0.283461292155237	0.34604147083245	0.0572871549137968	0.0625801786772134	1	0.0808555983700523	0.202138995925131	1	0.0625801786772134	Higher_in_M_bovis	FALSE
BoMac	Day3	M_bovis_vs_Control	Control	M_bovis	HALLMARK_ANGIOGENESIS	3	3	0.621486207386795	0.575305870711331	0.623716292224795	0.578360238620779	-0.0461803366754644	-0.045356053604016	-1	0.0808555983700523	0.202138995925131	1	0.045356053604016	Higher_in_Control	FALSE
BoMac	Day3	M_bovis_vs_Control	Control	M_bovis	HALLMARK_KRAS_SIGNALING_DN	3	3	-0.145175893268767	-0.120419302535825	-0.143906376601939	-0.117714744990097	0.0247565907329422	0.026191631611842	1	0.0808555983700523	0.202138995925131	1	0.026191631611842	Higher_in_M_bovis	FALSE
BoMac	Day3	M_bovis_vs_Control	Control	M_bovis	HALLMARK_TNFA_SIGNALING_VIA_NFKB	3	3	0.301456912359038	0.276531565455755	0.300636409183609	0.277084556582834	-0.024925346903283	-0.0235518526007743	-1	0.0808555983700523	0.202138995925131	1	0.0235518526007743	Higher_in_Control	FALSE
BoMac	Day3	M_bovis_vs_Control	Control	M_bovis	HALLMARK_KRAS_SIGNALING_UP	3	3	0.0482140931523105	0.0263184614748273	0.0478974178617736	0.0263345924829492	-0.0218956316774832	-0.0215628253788244	-1	0.0808555983700523	0.202138995925131	1	0.0215628253788244	Higher_in_Control	FALSE
BoMac	Day3	M_bovis_vs_Control	Control	M_bovis	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	3	3	0.584013805789201	0.566457530587582	0.586091844786596	0.566087972187364	-0.0175562752016191	-0.0200038725992329	-1	0.0808555983700523	0.202138995925131	1	0.0200038725992329	Higher_in_Control	FALSE
BoMac	Day3	M_bovis_vs_Control	Control	M_bovis	HALLMARK_TGF_BETA_SIGNALING	3	3	0.615943356601085	0.593848312697437	0.615379745424683	0.596808846488311	-0.0220950439036486	-0.0185708989363714	-1	0.0808555983700523	0.202138995925131	1	0.0185708989363714	Higher_in_Control	FALSE
BoMac	Day3	M_bovis_vs_Control	Control	M_bovis	HALLMARK_MTORC1_SIGNALING	3	3	0.598790880692183	0.581901384904113	0.597866968081479	0.580052616540025	-0.0168894957880705	-0.0178143515414546	-1	0.0808555983700523	0.202138995925131	1	0.0178143515414546	Higher_in_Control	FALSE
BoMac	Day3	M_bovis_vs_Control	Control	M_bovis	HALLMARK_HEDGEHOG_SIGNALING	3	3	0.274390229769708	0.254529733807427	0.273884692069009	0.257175060464294	-0.019860495962281	-0.0167096316047149	-1	0.0808555983700523	0.202138995925131	1	0.0167096316047149	Higher_in_Control	FALSE
