Model	Day	Contrast	Group1	Group2	Pathway	N_Group1	N_Group2	Mean_Group1	Mean_Group2	Median_Group1	Median_Group2	Delta_mean	Delta_median	Rank_biserial	P_value	FDR	Absolute_effect_size	Absolute_delta_median	Direction	Significant_FDR_0_05
BoMac	Day3	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_INTERFERON_ALPHA_RESPONSE	3	3	0.597373244321905	0.51457034471346	0.594092434992972	0.514767526163251	-0.0828028996084458	-0.0793249088297209	-1	0.0808555983700523	0.161711196740105	1	0.0793249088297209	Higher_in_Lineage_5	FALSE
BoMac	Day3	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_INTERFERON_GAMMA_RESPONSE	3	3	0.417816222935922	0.347252901221405	0.416363201570977	0.34604147083245	-0.0705633217145162	-0.0703217307385264	-1	0.0808555983700523	0.161711196740105	1	0.0703217307385264	Higher_in_Lineage_5	FALSE
BoMac	Day3	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_MYC_TARGETS_V2	3	3	0.429046019158449	0.389383153078025	0.431843034369622	0.38593611556599	-0.0396628660804239	-0.0459069188036326	-1	0.0808555983700523	0.161711196740105	1	0.0459069188036326	Higher_in_Lineage_5	FALSE
BoMac	Day3	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_MITOTIC_SPINDLE	3	3	0.598175309044833	0.64180297265505	0.602769756751719	0.647669156456619	0.043627663610217	0.0448993997049002	1	0.0808555983700523	0.161711196740105	1	0.0448993997049002	Higher_in_M_bovis	FALSE
BoMac	Day3	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_XENOBIOTIC_METABOLISM	3	3	0.325733434821463	0.300423681264554	0.32543119429485	0.299705025276153	-0.0253097535569084	-0.0257261690186971	-1	0.0808555983700523	0.161711196740105	1	0.0257261690186971	Higher_in_Lineage_5	FALSE
BoMac	Day3	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_APOPTOSIS	3	3	0.466502927389815	0.440675200419373	0.464740445936324	0.440016997505741	-0.0258277269704416	-0.0247234484305826	-1	0.0808555983700523	0.161711196740105	1	0.0247234484305826	Higher_in_Lineage_5	FALSE
BoMac	Day3	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_TNFA_SIGNALING_VIA_NFKB	3	3	0.304332642472853	0.276531565455755	0.300488109666263	0.277084556582834	-0.0278010770170986	-0.023403553083429	-1	0.0808555983700523	0.161711196740105	1	0.023403553083429	Higher_in_Lineage_5	FALSE
BoMac	Day3	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_P53_PATHWAY	3	3	0.384745862263536	0.360054398186193	0.38389689860542	0.360896714531641	-0.0246914640773432	-0.023000184073779	-1	0.0808555983700523	0.161711196740105	1	0.023000184073779	Higher_in_Lineage_5	FALSE
BoMac	Day3	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_INFLAMMATORY_RESPONSE	3	3	0.199125057887917	0.179484892555057	0.200615016345393	0.178250568396515	-0.0196401653328602	-0.0223644479488782	-1	0.0808555983700523	0.161711196740105	1	0.0223644479488782	Higher_in_Lineage_5	FALSE
BoMac	Day3	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_IL6_JAK_STAT3_SIGNALING	3	3	0.272486104201486	0.252146945138053	0.273325730506613	0.251298775032384	-0.0203391590634333	-0.022026955474229	-1	0.0808555983700523	0.161711196740105	1	0.022026955474229	Higher_in_Lineage_5	FALSE
BoMac	Day3	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_G2M_CHECKPOINT	3	3	0.636581235427945	0.658859193887198	0.638898302553526	0.659935733271826	0.0222779584592527	0.0210374307183006	1	0.0808555983700523	0.161711196740105	1	0.0210374307183006	Higher_in_M_bovis	FALSE
BoMac	Day3	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_ANGIOGENESIS	3	3	0.59772742512208	0.575305870711331	0.596120806652629	0.578360238620779	-0.0224215544107489	-0.0177605680318499	-1	0.0808555983700523	0.161711196740105	1	0.0177605680318499	Higher_in_Lineage_5	FALSE
BoMac	Day3	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_ALLOGRAFT_REJECTION	3	3	0.195930871282567	0.178588609389426	0.197197179640615	0.179858773208735	-0.0173422618931417	-0.0173384064318792	-1	0.0808555983700523	0.161711196740105	1	0.0173384064318792	Higher_in_Lineage_5	FALSE
BoMac	Day3	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_SPERMATOGENESIS	3	3	0.066906205165061	0.0821187603910522	0.0676338471703738	0.0845306827260441	0.0152125552259912	0.0168968355556703	1	0.0808555983700523	0.161711196740105	1	0.0168968355556703	Higher_in_M_bovis	FALSE
BoMac	Day3	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_NOTCH_SIGNALING	3	3	0.377781291801625	0.357441968131758	0.375031413759439	0.35831124386903	-0.0203393236698672	-0.0167201698904097	-1	0.0808555983700523	0.161711196740105	1	0.0167201698904097	Higher_in_Lineage_5	FALSE
BoMac	Day3	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_COAGULATION	3	3	0.326926605966945	0.31338092123321	0.32820048433075	0.31172384443576	-0.0135456847337347	-0.01647663989499	-1	0.0808555983700523	0.161711196740105	1	0.01647663989499	Higher_in_Lineage_5	FALSE
BoMac	Day3	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_KRAS_SIGNALING_UP	3	3	0.0412495598929691	0.0263184614748273	0.0420805115532892	0.0263345924829492	-0.0149310984181418	-0.01574591907034	-1	0.0808555983700523	0.161711196740105	1	0.01574591907034	Higher_in_Lineage_5	FALSE
BoMac	Day3	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	3	3	0.58126235391449	0.566457530587582	0.580726617140434	0.566087972187364	-0.0148048233269076	-0.01463864495307	-1	0.0808555983700523	0.161711196740105	1	0.01463864495307	Higher_in_Lineage_5	FALSE
BoMac	Day3	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_HYPOXIA	3	3	0.365756679751056	0.351969348544327	0.365364453547021	0.351500041646242	-0.0137873312067283	-0.0138644119007785	-1	0.0808555983700523	0.161711196740105	1	0.0138644119007785	Higher_in_Lineage_5	FALSE
BoMac	Day3	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_KRAS_SIGNALING_DN	3	3	-0.131798249450213	-0.120419302535825	-0.130713866601751	-0.117714744990097	0.0113789469143877	0.0129991216116532	1	0.0808555983700523	0.161711196740105	1	0.0129991216116532	Higher_in_M_bovis	FALSE
BoMac	Day3	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_IL2_STAT5_SIGNALING	3	3	0.238440832023046	0.22649361163259	0.237685802240447	0.227136746948919	-0.0119472203904565	-0.0105490552915278	-1	0.0808555983700523	0.161711196740105	1	0.0105490552915278	Higher_in_Lineage_5	FALSE
BoMac	Day3	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_COMPLEMENT	3	3	0.290712655705893	0.280574745653936	0.29021828210072	0.280934298942214	-0.0101379100519578	-0.00928398315850648	-1	0.0808555983700523	0.161711196740105	1	0.00928398315850648	Higher_in_Lineage_5	FALSE
BoMac	Day3	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	3	3	0.48906463762474	0.480052616548402	0.488979950095599	0.480138744930923	-0.0090120210763382	-0.00884120516467657	-1	0.0808555983700523	0.161711196740105	1	0.00884120516467657	Higher_in_Lineage_5	FALSE
BoMac	Day3	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_E2F_TARGETS	3	3	0.650325546601274	0.657823784978476	0.65248301870656	0.65775177542698	0.00749823837720254	0.0052687567204196	1	0.0808555983700523	0.161711196740105	1	0.0052687567204196	Higher_in_M_bovis	FALSE
BoMac	Day3	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_PANCREAS_BETA_CELLS	3	3	-0.122337260518147	-0.126428171129797	-0.121130878380135	-0.126039423274877	-0.00409091061164936	-0.00490854489474173	-1	0.0808555983700523	0.161711196740105	1	0.00490854489474173	Higher_in_Lineage_5	FALSE
BoMac	Day3	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_OXIDATIVE_PHOSPHORYLATION	3	3	0.561701303981929	0.52270689820573	0.567002341079685	0.514256348494357	-0.0389944057761994	-0.0527459925853272	-0.777777777777778	0.190430263825524	0.257338194358816	0.777777777777778	0.0527459925853272	Higher_in_Lineage_5	FALSE
BoMac	Day3	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_DNA_REPAIR	3	3	0.452664764835017	0.419639280882667	0.457136969914343	0.412390150580637	-0.0330254839523498	-0.0447468193337064	-0.777777777777778	0.190430263825524	0.257338194358816	0.777777777777778	0.0447468193337064	Higher_in_Lineage_5	FALSE
BoMac	Day3	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_UV_RESPONSE_DN	3	3	0.419317192405724	0.443949916823241	0.414676500912772	0.450382609901593	0.0246327244175167	0.0357061089888211	0.777777777777778	0.190430263825524	0.257338194358816	0.777777777777778	0.0357061089888211	Higher_in_M_bovis	FALSE
BoMac	Day3	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	3	3	0.528096715168866	0.504608836763008	0.530146380078932	0.498011049209861	-0.0234878784058584	-0.0321353308690712	-0.777777777777778	0.190430263825524	0.257338194358816	0.777777777777778	0.0321353308690712	Higher_in_Lineage_5	FALSE
BoMac	Day3	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_ADIPOGENESIS	3	3	0.430178377446248	0.409428905825007	0.431791367901302	0.406729173804605	-0.0207494716212419	-0.0250621940966967	-0.777777777777778	0.190430263825524	0.257338194358816	0.777777777777778	0.0250621940966967	Higher_in_Lineage_5	FALSE
BoMac	Day3	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_MYC_TARGETS_V1	3	3	0.777515193326646	0.759421412132955	0.780256498894531	0.75673885998083	-0.0180937811936907	-0.0235176389137014	-0.777777777777778	0.190430263825524	0.257338194358816	0.777777777777778	0.0235176389137014	Higher_in_Lineage_5	FALSE
BoMac	Day3	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_UV_RESPONSE_UP	3	3	0.427495183374279	0.410298257454891	0.429277484511581	0.40845398616372	-0.0171969259193877	-0.0208234983478611	-0.777777777777778	0.190430263825524	0.257338194358816	0.777777777777778	0.0208234983478611	Higher_in_Lineage_5	FALSE
BoMac	Day3	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_FATTY_ACID_METABOLISM	3	3	0.364188966385092	0.348309234122276	0.36497417158274	0.347322194036982	-0.0158797322628163	-0.0176519775457573	-0.777777777777778	0.190430263825524	0.257338194358816	0.777777777777778	0.0176519775457573	Higher_in_Lineage_5	FALSE
BoMac	Day3	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_PROTEIN_SECRETION	3	3	0.574579636053857	0.582026514410771	0.570893356380681	0.583966200436877	0.00744687835691338	0.0130728440561961	0.777777777777778	0.190430263825524	0.257338194358816	0.777777777777778	0.0130728440561961	Higher_in_M_bovis	FALSE
BoMac	Day3	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_GLYCOLYSIS	3	3	0.446452969455735	0.437284899153517	0.445608115909581	0.434802596551447	-0.00916807030221817	-0.0108055193581345	-0.777777777777778	0.190430263825524	0.257338194358816	0.777777777777778	0.0108055193581345	Higher_in_Lineage_5	FALSE
BoMac	Day3	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_APICAL_JUNCTION	3	3	0.351957871573111	0.361375945151341	0.3517326610144	0.36006181086161	0.00941807357823032	0.00832914984721023	0.777777777777778	0.190430263825524	0.257338194358816	0.777777777777778	0.00832914984721023	Higher_in_M_bovis	FALSE
BoMac	Day3	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_PI3K_AKT_MTOR_SIGNALING	3	3	0.480592899116221	0.485494888389521	0.479022820630735	0.485975082768646	0.00490198927329982	0.00695226213791034	0.777777777777778	0.190430263825524	0.257338194358816	0.777777777777778	0.00695226213791034	Higher_in_M_bovis	FALSE
BoMac	Day3	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_ANDROGEN_RESPONSE	3	3	0.479318441934747	0.490453945602421	0.472176263521546	0.493570021633929	0.0111355036676748	0.0213937581123836	0.555555555555556	0.382733088885226	0.445038475447937	0.555555555555556	0.0213937581123836	Higher_in_M_bovis	FALSE
BoMac	Day3	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_MTORC1_SIGNALING	3	3	0.588996305869828	0.581901384904113	0.588828110889451	0.580052616540025	-0.00709492096571507	-0.00877549434942626	-0.555555555555556	0.382733088885226	0.445038475447937	0.555555555555556	0.00877549434942626	Higher_in_Lineage_5	FALSE
BoMac	Day3	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_BILE_ACID_METABOLISM	3	3	0.12735836683183	0.129169886615252	0.125942802759309	0.129489643275986	0.00181151978342264	0.00354684051667706	0.555555555555556	0.382733088885226	0.445038475447937	0.555555555555556	0.00354684051667706	Higher_in_M_bovis	FALSE
BoMac	Day3	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_ESTROGEN_RESPONSE_EARLY	3	3	0.295683096456162	0.291184114398103	0.293510622106944	0.290396587116338	-0.00449898205805871	-0.00311403499060608	-0.555555555555556	0.382733088885226	0.445038475447937	0.555555555555556	0.00311403499060608	Higher_in_Lineage_5	FALSE
BoMac	Day3	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_PEROXISOME	3	3	0.318949456763117	0.31630704858039	0.3170719608414	0.314282521571282	-0.00264240818272754	-0.00278943927011766	-0.555555555555556	0.382733088885226	0.445038475447937	0.555555555555556	0.00278943927011766	Higher_in_Lineage_5	FALSE
BoMac	Day3	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_APICAL_SURFACE	3	3	0.204596698277214	0.208690478166143	0.207320753987251	0.207629375199282	0.0040937798889295	0.000308621212031207	0.555555555555556	0.382733088885226	0.445038475447937	0.555555555555556	0.000308621212031207	Higher_in_M_bovis	FALSE
