Model	Day	Contrast	Group1	Group2	Pathway	N_Group1	N_Group2	Mean_Group1	Mean_Group2	Median_Group1	Median_Group2	Delta_mean	Delta_median	Rank_biserial	P_value	FDR	Absolute_effect_size	Absolute_delta_median	Direction	Significant_FDR_0_05
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_HYPOXIA	3	3	0.551825337022007	0.739198417479077	0.553407504687251	0.751747339035614	0.18737308045707	0.198339834348363	1	0.0808555983700523	0.122508482378867	1	0.198339834348363	Higher_in_M_bovis	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_TNFA_SIGNALING_VIA_NFKB	3	3	0.615720990384124	0.815345703251172	0.614855817448037	0.79498494332946	0.199624712867048	0.180129125881423	1	0.0808555983700523	0.122508482378867	1	0.180129125881423	Higher_in_M_bovis	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_CHOLESTEROL_HOMEOSTASIS	3	3	0.671455468367225	0.792736864067549	0.671132546480922	0.796892423090799	0.121281395700323	0.125759876609877	1	0.0808555983700523	0.122508482378867	1	0.125759876609877	Higher_in_M_bovis	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_INFLAMMATORY_RESPONSE	3	3	0.44897233292956	0.585725741871389	0.449458229823259	0.560332653547352	0.136753408941829	0.110874423724093	1	0.0808555983700523	0.122508482378867	1	0.110874423724093	Higher_in_M_bovis	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_GLYCOLYSIS	3	3	0.567004695322744	0.655355304890031	0.566278827883535	0.661881721100963	0.088350609567287	0.0956028932174282	1	0.0808555983700523	0.122508482378867	1	0.0956028932174282	Higher_in_M_bovis	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_MYC_TARGETS_V2	3	3	0.676442041534532	0.587714373775486	0.673909834737176	0.581790091869659	-0.0887276677590462	-0.0921197428675176	-1	0.0808555983700523	0.122508482378867	1	0.0921197428675176	Higher_in_Control	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_MTORC1_SIGNALING	3	3	0.763650404531753	0.844743718451204	0.759476478138855	0.840964770463657	0.0810933139194503	0.0814882923248025	1	0.0808555983700523	0.122508482378867	1	0.0814882923248025	Higher_in_M_bovis	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_UV_RESPONSE_UP	3	3	0.660898320353879	0.734929916697205	0.658159267216428	0.729059537232494	0.0740315963433262	0.0709002700160658	1	0.0808555983700523	0.122508482378867	1	0.0709002700160658	Higher_in_M_bovis	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_P53_PATHWAY	3	3	0.608767847498145	0.676226404965404	0.607579898030378	0.676961288996318	0.0674585574672592	0.0693813909659403	1	0.0808555983700523	0.122508482378867	1	0.0693813909659403	Higher_in_M_bovis	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_IL6_JAK_STAT3_SIGNALING	3	3	0.522418748756952	0.625122602338451	0.524955664527352	0.593634702540423	0.102703853581499	0.0686790380130712	1	0.0808555983700523	0.122508482378867	1	0.0686790380130712	Higher_in_M_bovis	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_APOPTOSIS	3	3	0.621707330495305	0.697019998723853	0.623057139566381	0.687476419202146	0.0753126682285474	0.0644192796357645	1	0.0808555983700523	0.122508482378867	1	0.0644192796357645	Higher_in_M_bovis	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_IL2_STAT5_SIGNALING	3	3	0.51319348072557	0.586170838458189	0.513829053345189	0.572398859269941	0.0729773577326193	0.0585698059247519	1	0.0808555983700523	0.122508482378867	1	0.0585698059247519	Higher_in_M_bovis	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_HEDGEHOG_SIGNALING	3	3	0.439481560674538	0.49160466799884	0.446335101373418	0.499616146548627	0.0521231073243022	0.0532810451752091	1	0.0808555983700523	0.122508482378867	1	0.0532810451752091	Higher_in_M_bovis	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_KRAS_SIGNALING_UP	3	3	0.43828797790711	0.490382467705759	0.437960194871288	0.488718716391802	0.0520944897986489	0.0507585215205132	1	0.0808555983700523	0.122508482378867	1	0.0507585215205132	Higher_in_M_bovis	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_MITOTIC_SPINDLE	3	3	0.703002623094415	0.664488681713646	0.707129754481385	0.656431752092639	-0.0385139413807684	-0.0506980023887459	-1	0.0808555983700523	0.122508482378867	1	0.0506980023887459	Higher_in_Control	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	3	3	0.39172022567575	0.448364580815756	0.393767258772171	0.443589322873071	0.0566443551400067	0.0498220641008999	1	0.0808555983700523	0.122508482378867	1	0.0498220641008999	Higher_in_M_bovis	FALSE
THP-1	Day1	M_bovis_vs_Control	Control	M_bovis	HALLMARK_HEME_METABOLISM	3	3	0.58066000410724	0.621642308097188	0.580260632536622	0.628366420954758	0.040982303989948	0.0481057884181367	1	0.0808555983700523	0.122508482378867	1	0.0481057884181367	Higher_in_M_bovis	FALSE
