Model	Day	Contrast	Group1	Group2	Pathway	N_Group1	N_Group2	Mean_Group1	Mean_Group2	Median_Group1	Median_Group2	Delta_mean	Delta_median	Rank_biserial	P_value	FDR	Absolute_effect_size	Absolute_delta_median	Direction	Significant_FDR_0_05
THP-1	Day1	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_HYPOXIA	3	3	0.534649710723808	0.739198417479077	0.534250774867951	0.751747339035614	0.20454870675527	0.217496564167663	1	0.0808555983700523	0.115507997671503	1	0.217496564167663	Higher_in_M_bovis	FALSE
THP-1	Day1	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_E2F_TARGETS	3	3	0.761317612555834	0.611195533829372	0.754950316000347	0.572014922672193	-0.150122078726462	-0.182935393328154	-1	0.0808555983700523	0.115507997671503	1	0.182935393328154	Higher_in_Lineage_5	FALSE
THP-1	Day1	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_MYC_TARGETS_V2	3	3	0.741990951851942	0.587714373775486	0.733950919328212	0.581790091869659	-0.154276578076456	-0.152160827458553	-1	0.0808555983700523	0.115507997671503	1	0.152160827458553	Higher_in_Lineage_5	FALSE
THP-1	Day1	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_G2M_CHECKPOINT	3	3	0.774520406903797	0.658023105305172	0.774615019473727	0.630705325183433	-0.116497301598625	-0.143909694290294	-1	0.0808555983700523	0.115507997671503	1	0.143909694290294	Higher_in_Lineage_5	FALSE
THP-1	Day1	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_TNFA_SIGNALING_VIA_NFKB	3	3	0.661239573159223	0.815345703251172	0.65585553073905	0.79498494332946	0.154106130091949	0.13912941259041	1	0.0808555983700523	0.115507997671503	1	0.13912941259041	Higher_in_M_bovis	FALSE
THP-1	Day1	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_CHOLESTEROL_HOMEOSTASIS	3	3	0.659046759434762	0.792736864067549	0.659576889919	0.796892423090799	0.133690104632786	0.137315533171799	1	0.0808555983700523	0.115507997671503	1	0.137315533171799	Higher_in_M_bovis	FALSE
THP-1	Day1	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_GLYCOLYSIS	3	3	0.569014335307877	0.655355304890031	0.568018720045162	0.661881721100963	0.0863409695821544	0.0938630010558013	1	0.0808555983700523	0.115507997671503	1	0.0938630010558013	Higher_in_M_bovis	FALSE
THP-1	Day1	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_MYOGENESIS	3	3	0.29759730909284	0.36238202181413	0.296471142951051	0.372139541857154	0.0647847127212908	0.075668398906103	1	0.0808555983700523	0.115507997671503	1	0.075668398906103	Higher_in_M_bovis	FALSE
THP-1	Day1	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_MITOTIC_SPINDLE	3	3	0.719186020783983	0.664488681713646	0.729662948232464	0.656431752092639	-0.054697339070337	-0.0732311961398247	-1	0.0808555983700523	0.115507997671503	1	0.0732311961398247	Higher_in_Lineage_5	FALSE
THP-1	Day1	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_COAGULATION	3	3	0.352550637225829	0.422936673895524	0.35292404864126	0.424075896330137	0.0703860366696947	0.0711518476888774	1	0.0808555983700523	0.115507997671503	1	0.0711518476888774	Higher_in_M_bovis	FALSE
THP-1	Day1	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_INFLAMMATORY_RESPONSE	3	3	0.492589139368002	0.585725741871389	0.490553068740358	0.560332653547352	0.093136602503387	0.0697795848069938	1	0.0808555983700523	0.115507997671503	1	0.0697795848069938	Higher_in_M_bovis	FALSE
THP-1	Day1	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_MYC_TARGETS_V1	3	3	0.949805978746718	0.879759683788458	0.937795018283982	0.870576636196934	-0.0700462949582596	-0.067218382087048	-1	0.0808555983700523	0.115507997671503	1	0.067218382087048	Higher_in_Lineage_5	FALSE
THP-1	Day1	M_bovis_vs_Lineage_5	Lineage_5	M_bovis	HALLMARK_NOTCH_SIGNALING	3	3	0.604021853303628	0.66524968644111	0.609459027832685	0.67620254339686	0.0612278331374818	0.0667435155641748	1	0.0808555983700523	0.115507997671503	1	0.0667435155641748	Higher_in_M_bovis	FALSE
