Model	Day	Contrast	Group1	Group2	Pathway	N_Group1	N_Group2	Mean_Group1	Mean_Group2	Median_Group1	Median_Group2	Delta_mean	Delta_median	Rank_biserial	P_value	FDR	Absolute_effect_size	Absolute_delta_median	Direction	Significant_FDR_0_05
THP-1	Day3	Lineage_5_vs_Control	Control	Lineage_5	HALLMARK_MYC_TARGETS_V2	3	3	0.624308089900525	0.771181773392066	0.623802708335212	0.779174632367564	0.146873683491542	0.155371924032352	1	0.0808555983700523	0.0918813617841503	1	0.155371924032352	Higher_in_Lineage_5	FALSE
THP-1	Day3	Lineage_5_vs_Control	Control	Lineage_5	HALLMARK_INTERFERON_ALPHA_RESPONSE	3	3	0.52936258061217	0.680800680840406	0.527666772065006	0.674608067312349	0.151438100228235	0.146941295247343	1	0.0808555983700523	0.0918813617841503	1	0.146941295247343	Higher_in_Lineage_5	FALSE
THP-1	Day3	Lineage_5_vs_Control	Control	Lineage_5	HALLMARK_TGF_BETA_SIGNALING	3	3	0.769833889541024	0.647170013263424	0.770275642542977	0.64798877785218	-0.1226638762776	-0.122286864690797	-1	0.0808555983700523	0.0918813617841503	1	0.122286864690797	Higher_in_Control	FALSE
THP-1	Day3	Lineage_5_vs_Control	Control	Lineage_5	HALLMARK_E2F_TARGETS	3	3	0.692268308664463	0.814800333799208	0.692706363886191	0.807171372300919	0.122532025134745	0.114465008414728	1	0.0808555983700523	0.0918813617841503	1	0.114465008414728	Higher_in_Lineage_5	FALSE
THP-1	Day3	Lineage_5_vs_Control	Control	Lineage_5	HALLMARK_PROTEIN_SECRETION	3	3	0.830026234354815	0.739594430227871	0.831944446325247	0.721834762714395	-0.0904318041269436	-0.110109683610852	-1	0.0808555983700523	0.0918813617841503	1	0.110109683610852	Higher_in_Control	FALSE
THP-1	Day3	Lineage_5_vs_Control	Control	Lineage_5	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	3	3	0.43084143254841	0.329856667107838	0.429955984560132	0.328946648466256	-0.100984765440572	-0.101009336093876	-1	0.0808555983700523	0.0918813617841503	1	0.101009336093876	Higher_in_Control	FALSE
THP-1	Day3	Lineage_5_vs_Control	Control	Lineage_5	HALLMARK_UV_RESPONSE_DN	3	3	0.523342105503978	0.431344951753786	0.523758449541569	0.426835301237879	-0.0919971537501928	-0.0969231483036895	-1	0.0808555983700523	0.0918813617841503	1	0.0969231483036895	Higher_in_Control	FALSE
THP-1	Day3	Lineage_5_vs_Control	Control	Lineage_5	HALLMARK_COAGULATION	3	3	0.431510046396299	0.335745835682013	0.431237055480156	0.335510025646554	-0.0957642107142853	-0.0957270298336018	-1	0.0808555983700523	0.0918813617841503	1	0.0957270298336018	Higher_in_Control	FALSE
THP-1	Day3	Lineage_5_vs_Control	Control	Lineage_5	HALLMARK_PANCREAS_BETA_CELLS	3	3	0.279487182850136	0.359460106114959	0.27988784982975	0.362946839343631	0.0799729232648236	0.0830589895138815	1	0.0808555983700523	0.0918813617841503	1	0.0830589895138815	Higher_in_Lineage_5	FALSE
THP-1	Day3	Lineage_5_vs_Control	Control	Lineage_5	HALLMARK_DNA_REPAIR	3	3	0.638275673930108	0.71459003857746	0.637463316559695	0.719146414434947	0.0763143646473524	0.0816830978752516	1	0.0808555983700523	0.0918813617841503	1	0.0816830978752516	Higher_in_Lineage_5	FALSE
THP-1	Day3	Lineage_5_vs_Control	Control	Lineage_5	HALLMARK_COMPLEMENT	3	3	0.575585085472208	0.502836271304448	0.575209096825685	0.495264915332426	-0.0727488141677596	-0.0799441814932599	-1	0.0808555983700523	0.0918813617841503	1	0.0799441814932599	Higher_in_Control	FALSE
THP-1	Day3	Lineage_5_vs_Control	Control	Lineage_5	HALLMARK_INTERFERON_GAMMA_RESPONSE	3	3	0.482193776604033	0.570153433834695	0.481405453600199	0.561286753723087	0.0879596572306616	0.0798813001228877	1	0.0808555983700523	0.0918813617841503	1	0.0798813001228877	Higher_in_Lineage_5	FALSE
THP-1	Day3	Lineage_5_vs_Control	Control	Lineage_5	HALLMARK_TNFA_SIGNALING_VIA_NFKB	3	3	0.572887678881138	0.502164013605779	0.574531500907262	0.497691582838019	-0.0707236652753593	-0.0768399180692434	-1	0.0808555983700523	0.0918813617841503	1	0.0768399180692434	Higher_in_Control	FALSE
