Model	Day	Contrast	Pathway	logFC	AveExpr	t	P.Value	adj.P.Val	B	Significant_FDR_0_05	Direction
BoMac	Day1	Lineage_5_vs_Control	HALLMARK_INTERFERON_ALPHA_RESPONSE	0.312552865166729	0.357202013859554	20.4357760526524	1.0821115213916e-08	5.41055760695802e-07	10.7354705839146	TRUE	Higher_in_numerator
BoMac	Day1	Lineage_5_vs_Control	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.180699403299492	0.241014420057885	17.2302996526051	4.66365582874796e-08	1.16591395718699e-06	9.19202235284999	TRUE	Higher_in_numerator
BoMac	Day1	Lineage_5_vs_Control	HALLMARK_INFLAMMATORY_RESPONSE	0.0410867875221258	0.168454907598081	11.6239054555985	1.28020765803006e-06	1.9977335049092e-05	5.6265362862186	TRUE	Higher_in_numerator
BoMac	Day1	Lineage_5_vs_Control	HALLMARK_KRAS_SIGNALING_DN	0.0555052313148045	-0.151123589285647	11.3158568960451	1.59818680392736e-06	1.9977335049092e-05	5.38572148400291	TRUE	Higher_in_numerator
BoMac	Day1	Lineage_5_vs_Control	HALLMARK_NOTCH_SIGNALING	0.059613383732918	0.389581565341882	10.116055475896	4.00212571736553e-06	4.00212571736553e-05	4.38782211684064	TRUE	Higher_in_numerator
BoMac	Day1	Lineage_5_vs_Control	HALLMARK_MYC_TARGETS_V2	0.0544577921997335	0.50659531454937	8.76127586489716	1.2713961967038e-05	0.00010594968305865	3.12923516690994	TRUE	Higher_in_numerator
BoMac	Day1	Lineage_5_vs_Control	HALLMARK_ESTROGEN_RESPONSE_EARLY	0.0279899760509991	0.297673841111952	8.11636079603642	2.32300179950219e-05	0.0001496874042733	2.47268662396595	TRUE	Higher_in_numerator
BoMac	Day1	Lineage_5_vs_Control	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.0392964699499763	0.231075660297202	8.0847403751442	2.3949984683728e-05	0.0001496874042733	2.43944343725318	TRUE	Higher_in_numerator
BoMac	Day1	Lineage_5_vs_Control	HALLMARK_TGF_BETA_SIGNALING	-0.0329062652230474	0.594244076719932	-7.17930270557002	5.98517761352129e-05	0.000332509867417849	1.44239777607035	TRUE	Higher_in_denominator
BoMac	Day1	Lineage_5_vs_Control	HALLMARK_PI3K_AKT_MTOR_SIGNALING	-0.0237198730771269	0.49501541795474	-6.8420380479985	8.39904840679011e-05	0.000419952420339505	1.06765412200054	TRUE	Higher_in_denominator
BoMac	Day1	Lineage_5_vs_Control	HALLMARK_PANCREAS_BETA_CELLS	0.01875664606637	-0.120838458229942	6.54831806529046	0.000119374888461875	0.00054261312937216	0.691965571921961	TRUE	Higher_in_numerator
BoMac	Day1	Lineage_5_vs_Control	HALLMARK_ANGIOGENESIS	-0.0339331965553675	0.599422668059118	-6.12906130846721	0.00019387118173004	0.000807796590541833	0.165802721483788	TRUE	Higher_in_denominator
BoMac	Day1	Lineage_5_vs_Control	HALLMARK_MITOTIC_SPINDLE	-0.0604541744078474	0.615346864529645	-5.86583059683721	0.000265879799169306	0.00100176178430733	-0.176370170443092	TRUE	Higher_in_denominator
BoMac	Day1	Lineage_5_vs_Control	HALLMARK_APICAL_SURFACE	0.020731057305716	0.219230343032478	5.82197431651675	0.000280493299606053	0.00100176178430733	-0.234286648966386	TRUE	Higher_in_numerator
BoMac	Day1	Lineage_5_vs_Control	HALLMARK_PROTEIN_SECRETION	-0.0345006421987817	0.575668031671809	-5.64471787796096	0.0003491240449016	0.00116374681633867	-0.471049463013329	TRUE	Higher_in_denominator
BoMac	Day1	Lineage_5_vs_Control	HALLMARK_DNA_REPAIR	0.0289201658673046	0.43213850173144	5.55323972727996	0.000391525201204396	0.00122351625376374	-0.594930476667865	TRUE	Higher_in_numerator
BoMac	Day1	Lineage_5_vs_Control	HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.0323144321174567	0.574341619729326	5.14752341829491	0.000660114773892779	0.00194151404086111	-1.15842348918948	TRUE	Higher_in_numerator
BoMac	Day1	Lineage_5_vs_Control	HALLMARK_COMPLEMENT	-0.010961583201461	0.256425060368237	-4.96431113701586	0.000792506018147544	0.0022014056059654	-1.37421509101441	TRUE	Higher_in_denominator
BoMac	Day1	Lineage_5_vs_Control	HALLMARK_GLYCOLYSIS	0.012706817655647	0.453834484397782	4.75775846427435	0.00105341982859177	0.00274881389861725	-1.67916501269642	TRUE	Higher_in_numerator
BoMac	Day1	Lineage_5_vs_Control	HALLMARK_E2F_TARGETS	-0.0312009728752213	0.641031121217767	-4.76773838399169	0.0010995255594469	0.00274881389861725	-1.70683627944525	TRUE	Higher_in_denominator
BoMac	Day1	Lineage_5_vs_Control	HALLMARK_G2M_CHECKPOINT	-0.0395521950647895	0.640240954186334	-4.72148823780606	0.00117168373657993	0.00278972318233318	-1.77499846192515	TRUE	Higher_in_denominator
BoMac	Day1	Lineage_5_vs_Control	HALLMARK_HYPOXIA	0.0150059331013154	0.366942040524179	4.61814879546455	0.00135200976277993	0.00307274946086349	-1.92836485338088	TRUE	Higher_in_numerator
BoMac	Day1	Lineage_5_vs_Control	HALLMARK_APOPTOSIS	-0.011440325887225	0.437187330907657	-4.4941062155448	0.00152856666257193	0.00332297100559114	-2.07693995174048	TRUE	Higher_in_denominator
BoMac	Day1	Lineage_5_vs_Control	HALLMARK_IL2_STAT5_SIGNALING	0.0104413961756639	0.235876603966938	4.16548562650828	0.00246567951918369	0.00513683233163269	-2.58560973575024	TRUE	Higher_in_numerator
BoMac	Day1	Lineage_5_vs_Control	HALLMARK_UV_RESPONSE_UP	0.0169385343783434	0.40287183420533	3.80235046414415	0.00441888807488858	0.00877842895342247	-3.18803473536295	TRUE	Higher_in_numerator
BoMac	Day1	Lineage_5_vs_Control	HALLMARK_KRAS_SIGNALING_UP	-0.00770493480388274	0.0362629939970365	-3.75676673660491	0.00456478305577969	0.00877842895342247	-3.2364057583615	TRUE	Higher_in_denominator
BoMac	Day1	Lineage_5_vs_Control	HALLMARK_ADIPOGENESIS	0.0136698170339951	0.417214503338325	3.67874173300145	0.00533044501639497	0.0098711944748055	-3.38567953229387	TRUE	Higher_in_numerator
BoMac	Day1	Lineage_5_vs_Control	HALLMARK_SPERMATOGENESIS	-0.01740409277407	0.0798364849473698	-3.32648917654012	0.00919270062341383	0.0164155368275247	-3.95629149291557	TRUE	Higher_in_denominator
BoMac	Day1	Lineage_5_vs_Control	HALLMARK_HEDGEHOG_SIGNALING	0.0161095841486108	0.271189630376448	3.23754428704794	0.010572638647505	0.0182286873232846	-4.10172110279769	TRUE	Higher_in_numerator
BoMac	Day1	Lineage_5_vs_Control	HALLMARK_MTORC1_SIGNALING	-0.0103102079978534	0.629563775566341	-3.06339244951163	0.0136085843312446	0.0226809738854077	-4.37388492929332	TRUE	Higher_in_denominator
BoMac	Day1	Lineage_5_vs_Control	HALLMARK_FATTY_ACID_METABOLISM	0.00976869404792763	0.370997572116613	3.00140803925141	0.0153839839380656	0.0248128773194607	-4.48933029237982	TRUE	Higher_in_numerator
BoMac	Day1	Lineage_5_vs_Control	HALLMARK_XENOBIOTIC_METABOLISM	0.0178154558864319	0.309609334907733	2.90845985253092	0.0178543329098969	0.0278973951717139	-4.64216402957835	TRUE	Higher_in_numerator
BoMac	Day1	Lineage_5_vs_Control	HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.0125263992163022	0.28330838445352	2.70182560877552	0.024910204677716	0.0377427343601758	-4.98142227446698	TRUE	Higher_in_numerator
BoMac	Day1	Lineage_5_vs_Control	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.0184636305265091	0.518524359511695	2.63159141843964	0.0279083946049382	0.0410417567719679	-5.09631359571507	TRUE	Higher_in_numerator
BoMac	Day1	Lineage_5_vs_Control	HALLMARK_ALLOGRAFT_REJECTION	-0.00803760544834226	0.17794056319046	-2.5890473705807	0.0298995553402573	0.0427136504860818	-5.1657431410633	TRUE	Higher_in_denominator
BoMac	Day1	Lineage_5_vs_Control	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.00835518360097864	0.479767572901988	2.32966890201274	0.0455288456153815	0.063234507799141	-5.58500509255813	FALSE	Higher_in_numerator
BoMac	Day1	Lineage_5_vs_Control	HALLMARK_COAGULATION	0.00801421124086382	0.28660877209215	2.11474058213718	0.064423037004434	0.0870581581141	-5.92444820995125	FALSE	Higher_in_numerator
BoMac	Day1	Lineage_5_vs_Control	HALLMARK_ESTROGEN_RESPONSE_LATE	0.00646759908165878	0.293989255987825	1.97443902643183	0.0806609654013244	0.106132849212269	-6.1403351984736	FALSE	Higher_in_numerator
