Model	Day	Contrast	Pathway	logFC	AveExpr	t	P.Value	adj.P.Val	B	Significant_FDR_0_05	Direction
BoMac	Day3	M_bovis_vs_Lineage_5	HALLMARK_TNFA_SIGNALING_VIA_NFKB	-0.0278010770170986	0.294107040095882	-6.54921769464197	6.97670926616263e-05	0.00214253711164913	1.46513527107728	TRUE	Higher_in_denominator
BoMac	Day3	M_bovis_vs_Lineage_5	HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.0705633217145162	0.351678290154978	-6.55764026297165	8.57014844659653e-05	0.00214253711164913	1.29697949655584	TRUE	Higher_in_denominator
BoMac	Day3	M_bovis_vs_Lineage_5	HALLMARK_KRAS_SIGNALING_UP	-0.0149310984181418	0.038594038173369	-5.87607101922769	0.000166136482312726	0.00276894137187877	0.540727925951435	TRUE	Higher_in_denominator
BoMac	Day3	M_bovis_vs_Lineage_5	HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.0828028996084458	0.51045417343323	-5.74103984585753	0.00023781373035526	0.00297267162944075	0.205410808471272	TRUE	Higher_in_denominator
BoMac	Day3	M_bovis_vs_Lineage_5	HALLMARK_XENOBIOTIC_METABOLISM	-0.0253097535569084	0.311521568222261	-5.00171624612836	0.000562448682018812	0.00526581846663535	-0.753672826082379	TRUE	Higher_in_denominator
BoMac	Day3	M_bovis_vs_Lineage_5	HALLMARK_P53_PATHWAY	-0.0246914640773432	0.373012167051036	-4.92211418398575	0.000631898215996242	0.00526581846663535	-0.876816958536573	TRUE	Higher_in_denominator
BoMac	Day3	M_bovis_vs_Lineage_5	HALLMARK_ALLOGRAFT_REJECTION	-0.0173422618931417	0.186951110515783	-4.80673516123271	0.000749273732230568	0.00535195523021834	-1.05684852932858	TRUE	Higher_in_denominator
BoMac	Day3	M_bovis_vs_Lineage_5	HALLMARK_IL6_JAK_STAT3_SIGNALING	-0.0203391590634334	0.25452104905361	-4.63956803012103	0.000962320683362135	0.00576600894807608	-1.3208727114799	TRUE	Higher_in_denominator
BoMac	Day3	M_bovis_vs_Lineage_5	HALLMARK_APOPTOSIS	-0.0258277269704416	0.452673647467325	-4.58959195079801	0.0010378816106537	0.00576600894807608	-1.40052386494236	TRUE	Higher_in_denominator
BoMac	Day3	M_bovis_vs_Lineage_5	HALLMARK_MYC_TARGETS_V2	-0.0396628660804238	0.408123956246873	-4.50004515694683	0.001189474020768	0.00594737010384	-1.54405296415572	TRUE	Higher_in_denominator
BoMac	Day3	M_bovis_vs_Lineage_5	HALLMARK_NOTCH_SIGNALING	-0.0203393236698672	0.36307140888604	-4.24818484797695	0.00175593198601277	0.00729486732763279	-1.95313548988856	TRUE	Higher_in_denominator
BoMac	Day3	M_bovis_vs_Lineage_5	HALLMARK_ANGIOGENESIS	-0.0224215544107488	0.598173167740068	-4.20668456201958	0.00187389737785463	0.00729486732763279	-2.02127433984061	TRUE	Higher_in_denominator
BoMac	Day3	M_bovis_vs_Lineage_5	HALLMARK_G2M_CHECKPOINT	0.0222779584592527	0.651239929398716	4.19899276087528	0.00189666550518453	0.00729486732763279	-2.03392530457621	TRUE	Higher_in_numerator
BoMac	Day3	M_bovis_vs_Lineage_5	HALLMARK_INFLAMMATORY_RESPONSE	-0.0196401653328602	0.183271681728049	-4.13491161251887	0.00209807974426742	0.00749314194381222	-2.13958318613335	TRUE	Higher_in_denominator
BoMac	Day3	M_bovis_vs_Lineage_5	HALLMARK_MITOTIC_SPINDLE	0.0436276636102169	0.627926155865716	4.00274409568139	0.00284200191370936	0.00947333971236455	-2.42431906113977	TRUE	Higher_in_numerator
BoMac	Day3	M_bovis_vs_Lineage_5	HALLMARK_HYPOXIA	-0.0137873312067283	0.361524352430476	-3.87768826255481	0.00316321703381772	0.00988505323068038	-2.56812534071886	TRUE	Higher_in_denominator
BoMac	Day3	M_bovis_vs_Lineage_5	HALLMARK_IL2_STAT5_SIGNALING	-0.0119472203904565	0.233122687294346	-3.81930068111952	0.00347626254061401	0.0102243015900412	-2.6663096413293	TRUE	Higher_in_denominator
BoMac	Day3	M_bovis_vs_Lineage_5	HALLMARK_SPERMATOGENESIS	0.0152125552259912	0.0777942349013078	3.51776018737771	0.00569560064196433	0.0158211128943454	-3.17779960320601	TRUE	Higher_in_numerator
BoMac	Day3	M_bovis_vs_Lineage_5	HALLMARK_COAGULATION	-0.0135456847337348	0.316966867409803	-3.47480411065836	0.0061155771056069	0.0160936239621234	-3.25116664176305	TRUE	Higher_in_denominator
BoMac	Day3	M_bovis_vs_Lineage_5	HALLMARK_COMPLEMENT	-0.0101379100519578	0.283259489077443	-3.43495715792136	0.00653387831298946	0.0163346957824737	-3.31931139333276	TRUE	Higher_in_denominator
BoMac	Day3	M_bovis_vs_Lineage_5	HALLMARK_KRAS_SIGNALING_DN	0.0113789469143878	-0.132464481751601	2.96729887772971	0.0143460311675049	0.0341572170654879	-4.12229731183944	TRUE	Higher_in_numerator
BoMac	Day3	M_bovis_vs_Lineage_5	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	-0.0148048233269077	0.577244563430424	-2.7369703370896	0.0212290254975578	0.0466300535554126	-4.51651948422487	TRUE	Higher_in_denominator
BoMac	Day3	M_bovis_vs_Lineage_5	HALLMARK_DNA_REPAIR	-0.0330254839523498	0.429166316548261	-2.75509897591138	0.0214498246354898	0.0466300535554126	-4.50695939875899	TRUE	Higher_in_denominator
BoMac	Day3	M_bovis_vs_Lineage_5	HALLMARK_ADIPOGENESIS	-0.020749471621242	0.415795775184256	-2.59774952279338	0.0269154870950033	0.05494445631318	-4.75287347325879	FALSE	Higher_in_denominator
BoMac	Day3	M_bovis_vs_Lineage_5	HALLMARK_UV_RESPONSE_UP	-0.0171969259193878	0.413394316573386	-2.58573740347282	0.02747222815659	0.05494445631318	-4.77316874982162	FALSE	Higher_in_denominator
BoMac	Day3	M_bovis_vs_Lineage_5	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	-0.0234878784058584	0.515754678652264	-2.35467875086554	0.0406988535918963	0.0757028670532393	-5.15951162305703	FALSE	Higher_in_denominator
BoMac	Day3	M_bovis_vs_Lineage_5	HALLMARK_FATTY_ACID_METABOLISM	-0.0158797322628163	0.356970901367934	-2.35206622675144	0.0408795482087492	0.0757028670532393	-5.16382820235489	FALSE	Higher_in_denominator
BoMac	Day3	M_bovis_vs_Lineage_5	HALLMARK_OXIDATIVE_PHOSPHORYLATION	-0.0389944057761994	0.540010348161269	-2.25696436521778	0.0492460403020612	0.0879393576822521	-5.32964951931611	FALSE	Higher_in_denominator
BoMac	Day3	M_bovis_vs_Lineage_5	HALLMARK_APICAL_JUNCTION	0.00941807357823032	0.359313000011521	2.0963677122391	0.0628960432027867	0.107192978164525	-5.57889490352813	FALSE	Higher_in_numerator
BoMac	Day3	M_bovis_vs_Lineage_5	HALLMARK_UV_RESPONSE_DN	0.0246327244175168	0.438103463947369	2.09553029078747	0.0643157868987152	0.107192978164525	-5.58700267475962	FALSE	Higher_in_numerator
BoMac	Day3	M_bovis_vs_Lineage_5	HALLMARK_MYC_TARGETS_V1	-0.0180937811936905	0.767134977778684	-1.9967565872226	0.0742425587592282	0.119746062514884	-5.73583160490388	FALSE	Higher_in_denominator
BoMac	Day3	M_bovis_vs_Lineage_5	HALLMARK_ESTROGEN_RESPONSE_LATE	-0.00858247477845331	0.299316266073298	-1.96126400255946	0.0787344165372976	0.123022525839527	-5.79098199199421	FALSE	Higher_in_denominator
BoMac	Day3	M_bovis_vs_Lineage_5	HALLMARK_PANCREAS_BETA_CELLS	-0.00409091061164935	-0.12995154118714	-1.86177020765159	0.0927225567431539	0.140488722338112	-5.94320866366842	FALSE	Higher_in_denominator
