Model	Day	Contrast	Pathway	logFC	AveExpr	t	P.Value	adj.P.Val	B	Significant_FDR_0_05	Direction
THP-1	Day3	M_bovis_vs_Control	HALLMARK_HYPOXIA	0.179811509489529	0.599595346261868	23.3949213661872	2.8189415296457e-11	7.81510195676555e-10	16.3785840573684	TRUE	Higher_in_numerator
THP-1	Day3	M_bovis_vs_Control	HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.176990864844693	0.608310078737583	23.1873619675116	3.12604078270622e-11	7.81510195676555e-10	16.2710758993816	TRUE	Higher_in_numerator
THP-1	Day3	M_bovis_vs_Control	HALLMARK_GLYCOLYSIS	0.0872718286441274	0.604644110370345	15.6534781554246	2.84747441011829e-09	4.74579068353049e-08	11.526211123568	TRUE	Higher_in_numerator
THP-1	Day3	M_bovis_vs_Control	HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.134323486598805	0.718579500015282	14.084467589742	9.3703374527417e-09	1.17129218159271e-07	10.2614611003348	TRUE	Higher_in_numerator
THP-1	Day3	M_bovis_vs_Control	HALLMARK_INFLAMMATORY_RESPONSE	0.101607888811133	0.443448068906565	9.72726492582708	5.39157430765231e-07	4.88616677304012e-06	5.94340482679379	TRUE	Higher_in_numerator
THP-1	Day3	M_bovis_vs_Control	HALLMARK_E2F_TARGETS	-0.104940549343998	0.698132133928045	-9.65063317198279	5.86340012764814e-07	4.88616677304012e-06	5.853943178199	TRUE	Higher_in_denominator
THP-1	Day3	M_bovis_vs_Control	HALLMARK_P53_PATHWAY	0.0524328097577108	0.624331488895981	8.76756906975253	1.60404663671525e-06	1.14574759765375e-05	4.78106208819431	TRUE	Higher_in_numerator
THP-1	Day3	M_bovis_vs_Control	HALLMARK_UV_RESPONSE_UP	0.0696986110698234	0.690948603924578	8.49048837890299	2.23496261803741e-06	1.39685163627338e-05	4.42764374972323	TRUE	Higher_in_numerator
THP-1	Day3	M_bovis_vs_Control	HALLMARK_MTORC1_SIGNALING	0.0922407859931914	0.801247994433153	7.48571817882735	7.98332546726025e-06	4.43518081514458e-05	3.07262041511515	TRUE	Higher_in_numerator
THP-1	Day3	M_bovis_vs_Control	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.0807479006958302	0.532786469946589	6.39038349803985	3.67473896869134e-05	0.000183736948434567	1.45257789098754	TRUE	Higher_in_numerator
THP-1	Day3	M_bovis_vs_Control	HALLMARK_G2M_CHECKPOINT	-0.0908138083752301	0.725682392854433	-6.17371260609659	5.06401180938098e-05	0.000212094950720375	1.11325982611012	TRUE	Higher_in_denominator
THP-1	Day3	M_bovis_vs_Control	HALLMARK_IL2_STAT5_SIGNALING	0.0541076411736903	0.514268582674402	6.1702521367868	5.09027881728901e-05	0.000212094950720375	1.10778880332062	TRUE	Higher_in_numerator
THP-1	Day3	M_bovis_vs_Control	HALLMARK_APOPTOSIS	0.0366931417786984	0.636002170295978	5.27780158039441	0.000204365132257589	0.000711496507266774	-0.357555206088081	TRUE	Higher_in_numerator
THP-1	Day3	M_bovis_vs_Control	HALLMARK_PANCREAS_BETA_CELLS	0.0494726846166482	0.322635718810626	5.27251823722059	0.000206122449557537	0.000711496507266774	-0.366549101834027	TRUE	Higher_in_numerator
