Figure	Panel	Model	Day	Contrast	Pathway	logFC	P.Value	adj.P.Val
Figure 14	B	THP-1	Day1	M_bovis_vs_Control	HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.199624712867048	1.67856433711693e-06	2.79760722852822e-05
Figure 14	C	THP-1	Day1	M_bovis_vs_Control	HALLMARK_INFLAMMATORY_RESPONSE	0.136753408941829	6.47863568479146e-05	0.000294483440217794
Figure 14	D	THP-1	Day1	M_bovis_vs_Control	HALLMARK_HYPOXIA	0.18737308045707	5.96044442472057e-08	2.98022221236028e-06
Figure 14	E	THP-1	Day1	M_bovis_vs_Control	HALLMARK_GLYCOLYSIS	0.0883506095672871	4.58782054607554e-06	3.82318378839628e-05
Figure 14	F	THP-1	Day1	M_bovis_vs_Control	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.102703853581499	0.00274506707873739	0.00571888974736956
Figure 15	B	THP-1	Day3	M_bovis_vs_Control	HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.176990864844693	3.12604078270622e-11	7.81510195676555e-10
Figure 15	C	THP-1	Day3	M_bovis_vs_Control	HALLMARK_INFLAMMATORY_RESPONSE	0.101607888811133	5.39157430765231e-07	4.88616677304012e-06
Figure 15	D	THP-1	Day3	M_bovis_vs_Control	HALLMARK_HYPOXIA	0.179811509489529	2.8189415296457e-11	7.81510195676555e-10
Figure 15	E	THP-1	Day3	M_bovis_vs_Control	HALLMARK_GLYCOLYSIS	0.0872718286441274	2.84747441011829e-09	4.74579068353049e-08
Figure 15	F	THP-1	Day3	M_bovis_vs_Control	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.0807479006958302	3.67473896869134e-05	0.000183736948434567
Figure 16	B	BoMac	Day1	M_bovis_vs_Control	HALLMARK_INFLAMMATORY_RESPONSE	0.026813235280028	3.926792364128e-05	0.000218155131340445
Figure 16	C	BoMac	Day1	M_bovis_vs_Control	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.0159372666867212	0.00990616975247842	0.0206378536509967
Figure 16	D	BoMac	Day1	M_bovis_vs_Control	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.130018846697332	7.4980616256739e-07	1.87451540641847e-05
Figure 16	E	BoMac	Day1	M_bovis_vs_Control	HALLMARK_INTERFERON_ALPHA_RESPONSE	0.239283645037628	1.05978295261693e-07	5.29891476308465e-06
Figure 16	F	BoMac	Day1	M_bovis_vs_Control	HALLMARK_CHOLESTEROL_HOMEOSTASIS	-0.0376805801265373	6.52172534058695e-06	8.15215667573369e-05
Figure 17	B	BoMac	Day3	M_bovis_vs_Control	HALLMARK_TNFA_SIGNALING_VIA_NFKB	-0.024925346903283	0.000167092493111313	0.00139243744259427
Figure 17	C	BoMac	Day3	M_bovis_vs_Control	HALLMARK_HYPOXIA	-0.0148776804517171	0.00194082204562796	0.0121301377851747
Figure 17	D	BoMac	Day3	M_bovis_vs_Control	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.0572871549137969	0.000414695859870597	0.00296211328478998
Figure 17	E	BoMac	Day3	M_bovis_vs_Control	HALLMARK_INTERFERON_ALPHA_RESPONSE	0.0951514134491356	8.17432206822018e-05	0.000817432206822018
Figure 17	F	BoMac	Day3	M_bovis_vs_Control	HALLMARK_ANGIOGENESIS	-0.0461803366754643	6.47000508360015e-06	0.000169728441796237
