L	R	pw.id	pw.name	pval	qval	L.logFC	R.logFC	LR.pval	LR.corr	rank	len	rank.pval	rank.corr	LR.score	L.expr	R.expr
ACTR2	ADRB2	R-HSA-373076	REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	0	0	1.44262772436387	4.26330627431902	2.40734355794829e-22	1	31	57	1.00283346791673e-13	1	0	5.80823812001212	3.06757709509417
ACTR2	ADRB2	R-HSA-5688426	REACTOME_DEUBIQUITINATION	0	0	1.44262772436387	4.26330627431902	2.40734355794829e-22	1	79	145	9.2155837388142e-08	1	0	5.80823812001212	3.06757709509417
ACTR2	ADRB2	R-HSA-8856828	REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS	0	0	1.44262772436387	4.26330627431902	2.40734355794829e-22	1	47	87	3.42187897023725e-09	1	0	5.80823812001212	3.06757709509417
ADAM15	ITGA5	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	1.09488952090241	2.79351788762202	1.41146139827332e-22	1	45	82	1.45637529556205e-12	1	0	-6.17900771689468	7.24732775763028
ADAM15	ITGA9	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	1.09488952090241	7.68655556723912	8.33889618741672e-20	1	45	82	2.84924841983305e-12	1	0	-6.17900771689468	4.91121002632508
ADAM17	ITGA5	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	1.87639125928089	2.79351788762202	3.95241548866201e-22	1	45	82	1.45637529556205e-12	1	0	-0.558130458682277	7.24732775763028
ADAM17	NOTCH1	R-HSA-157118	REACTOME_SIGNALING_BY_NOTCH	0	0	1.87639125928089	1.56907477821749	3.70866090391031e-18	1	52	95	2.23856748355989e-08	1	0	-0.558130458682277	-6.22874805682986
ADAM28	ITGA4	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	11.4236209392348	13.5794517194191	1.63532768328694e-41	1	45	82	2.84924841983305e-12	1	0	-6.15560575622396	-6.22599266170766
ADAM28	ITGA4	R-HSA-8949275	REACTOME_RUNX3_REGULATES_IMMUNE_RESPONSE_AND_CELL_MIGRATION	0	0	11.4236209392348	13.5794517194191	1.63532768328694e-41	1	1	2	1.01997566391692e-17	1	0	-6.15560575622396	-6.22599266170766
ARPC5	ADRB2	R-HSA-373076	REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	0	0	2.6808785188506	4.26330627431902	6.04700848313002e-26	1	31	57	1.00283346791673e-13	1	0	-3.98842736840751	3.06757709509417
ARPC5	ADRB2	R-HSA-5688426	REACTOME_DEUBIQUITINATION	0	0	2.6808785188506	4.26330627431902	6.04700848313002e-26	1	79	145	9.2155837388142e-08	1	0	-3.98842736840751	3.06757709509417
ARPC5	ADRB2	R-HSA-8856828	REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS	0	0	2.6808785188506	4.26330627431902	6.04700848313002e-26	1	47	87	3.42187897023725e-09	1	0	-3.98842736840751	3.06757709509417
BMP2	ACVR2B	R-HSA-9006936	REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS	0	0	1.48104310899263	1.05014501358729	1.75405592556993e-12	1	56	102	5.07315139624095e-09	1	0	5.07401137256193	5.49511360770837
C3	C3AR1	R-HSA-373076	REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	0	0	4.56897732154516	4.45876311243069	2.36123759301014e-18	1	30	56	1.00283346791673e-13	1	0	-3.35352336248942	3.98006820346027
