L	R	pw.id	pw.name	pval	qval	L.logFC	R.logFC	LR.pval	LR.corr	rank	len	rank.pval	rank.corr	LR.score	L.expr	R.expr
ADAM15	ITGA5	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	1.35477312575793	2.42913888059818	4.2440668369718e-14	1	44	80	2.50413080078787e-10	1	0	-0.800247206289881	4.59678455148382
ADAM17	ITGA5	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	1.00899671615371	2.42913888059818	5.61700286823159e-11	1	44	80	2.50413080078787e-10	1	0	-4.9528261704907	4.59678455148382
ADAM28	ITGA4	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	12.5193705113967	13.5966335684701	1.22796034969975e-28	1	44	81	4.50896710903801e-10	1	0	3.02032024836281	1.2094421227754
C3	ITGAM	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	4.65899964743801	15.2376783139059	6.04125587852358e-18	1	44	80	6.27009173620949e-10	1	0	-5.04778764026622	-3.84308910612519
C3	ITGB2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	4.65899964743801	12.0804768072287	3.41747786864468e-21	1	45	82	6.27009173620949e-10	1	0	-5.04778764026622	5.29998149639834
ICAM2	ITGAL	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	5.31892854746127	12.454693156539	1.247255160754e-22	1	45	82	6.27009173620949e-10	1	0	6.40545110870083	1.41515271199705
ICAM2	ITGAM	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	5.31892854746127	15.2376783139059	5.93461407955913e-23	1	44	80	6.27009173620949e-10	1	0	6.40545110870083	-3.84308910612519
ICAM2	ITGB2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	5.31892854746127	12.0804768072287	3.3571516723766e-26	1	45	82	6.27009173620949e-10	1	0	6.40545110870083	5.29998149639834
ICAM3	ITGAL	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	6.69809789588698	12.454693156539	1.45687646765594e-21	1	45	82	6.27009173620949e-10	1	0	-5.34869632005948	1.41515271199705
ICAM3	ITGB2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	6.69809789588698	12.0804768072287	3.92137505118083e-25	1	45	82	6.27009173620949e-10	1	0	-5.34869632005948	5.29998149639834
ICAM5	ITGAL	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	2.4805621658084	12.454693156539	3.16035794808364e-14	1	45	82	6.27009173620949e-10	1	0	5.71522648707572	1.41515271199705
ICAM5	ITGB2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	2.4805621658084	12.0804768072287	8.50652000052964e-18	1	45	82	6.27009173620949e-10	1	0	5.71522648707572	5.29998149639834
MMP9	ITGAM	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	13.7658897941133	15.2376783139059	1.87431647808349e-22	1	44	80	6.27009173620949e-10	1	0	4.82203949290452	-3.84308910612519
MMP9	ITGB2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	13.7658897941133	12.0804768072287	1.06028203596829e-25	1	45	82	6.27009173620949e-10	1	0	4.82203949290452	5.29998149639834
