L	R	pw.id	pw.name	pval	qval	L.logFC	R.logFC	LR.pval	LR.corr	rank	len	rank.pval	rank.corr	LR.score	L.expr	R.expr
ADAM17	ITGA5	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	1.40075876634856	2.93432043694147	2.21800599685827e-16	1	45	82	4.95558354439097e-11	1	0	-0.710707624457992	5.14174823139526
ADAM28	ITGA4	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	11.4896662759989	10.5684633278246	1.99227060652418e-24	1	45	83	5.67375663172225e-11	1	0	-6.14333002751768	4.32871407575864
ARTN	RET	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	0	0	4.23049267434349	4.82466401981471	5.73304517101382e-18	1	74	136	2.10388616486972e-07	1	0	1.61379160052486	4.33283112119968
C3	ITGAM	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	5.87314666945356	14.7725904119287	3.63059926647317e-18	1	45	82	6.97040975814058e-11	1	0	-0.0289656717407247	-3.14021242755136
C3	ITGB2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	5.87314666945356	12.3412372654241	4.02381018588321e-24	1	46	84	6.97040975814058e-11	1	0	-0.0289656717407247	5.92406266112644
COL5A3	SDC3	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	7.43303423695787	2.09058488510478	7.45785830809095e-18	1	44	81	6.97040975814058e-11	1	0	0.516805967064412	4.35021769803881
EFNB2	PECAM1	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	2.40318830107148	12.1106215289724	4.0750770747382e-20	1	46	84	6.97040975814058e-11	1	0	6.60439792004695	-6.1726132913355
FABP5	RXRA	R-HSA-1852241	REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE	0	0	12.5398153530757	2.0204634543137	1.01438363506477e-22	1	86	158	2.8497143166709e-06	1	0	4.76600310781247	6.86953457114264
GNAS	ADCY1	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	0	0	3.93296633410301	8.91305181683256	9.32374096493533e-26	1	88	160	4.69856404574697e-06	1	0	5.65654847609341	-5.9330214849268
GNAS	ADCY8	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	0	0	3.93296633410301	13.4114396601224	1.08441375006122e-21	1	88	160	4.69856404574697e-06	1	0	5.65654847609341	6.53858226542365
