L	R	pw.id	pw.name	pval	qval	L.logFC	R.logFC	LR.pval	LR.corr	rank	len	rank.pval	rank.corr	LR.score	L.expr	R.expr
ANXA1	EGFR	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	0	0	2.7077812217246	2.78295784689883	2.56737378682862e-19	1	75	137	1.12169822239256e-08	1	0	7.68275466234545	5.81170270821198
ANXA1	EGFR	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	0	0	2.7077812217246	2.78295784689883	2.56737378682862e-19	1	87	159	5.90656681748389e-08	1	0	7.68275466234545	5.81170270821198
APP	GPC1	R-HSA-9694516	REACTOME_SARS_COV_2_INFECTION	0	0	1.25658697558778	4.90779964490746	1.54731167867099e-18	1	77	141	1.75591248611867e-06	1	0	7.47779934429022	0.670420105488671
APP	GPC1	R-HSA-9833110	REACTOME_RSV_HOST_INTERACTIONS	0	0	1.25658697558778	4.90779964490746	1.54731167867099e-18	1	1	3	4.15507290069261e-17	1	0	7.47779934429022	0.670420105488671
BDNF	DDR1	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	3.22094347923559	6.71842083665385	1.03201102997805e-25	1	42	77	4.43816643011914e-11	1	0	0.427088577955364	6.23023631181008
BMP6	BMPR1A	R-HSA-9006936	REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS	0	0	2.26829748430767	1.58973666179041	7.2293694647516e-14	1	57	104	6.7273276810707e-08	1	0	7.23582165750706	3.32130477919495
BMP7	BMPR1A	R-HSA-9006936	REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS	0	0	9.84989973304154	1.58973666179041	1.34513144002718e-25	1	57	104	6.7273276810707e-08	1	0	4.36090428430798	3.32130477919495
BMP7	BMPR1B	R-HSA-9006936	REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS	0	0	9.84989973304154	9.23288164730272	1.15328704408859e-34	1	56	103	1.64044711267114e-07	1	0	4.36090428430798	7.32555296377402
CDH1	EGFR	R-HSA-416476	REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS	0	0	14.3361338797864	2.78295784689883	2.13296038644674e-35	1	32	59	3.9042367237026e-12	1	0	-3.29081622051826	5.81170270821198
CDH1	EGFR	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	0	0	14.3361338797864	2.78295784689883	2.13296038644674e-35	1	75	137	1.12169822239256e-08	1	0	-3.29081622051826	5.81170270821198
CDH1	EGFR	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	0	0	14.3361338797864	2.78295784689883	2.13296038644674e-35	1	87	159	5.90656681748389e-08	1	0	-3.29081622051826	5.81170270821198
CDH1	ERBB3	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	0	0	14.3361338797864	9.09909784607182	1.718754504566e-41	1	74	136	1.26218271362278e-08	1	0	-3.29081622051826	4.9842892437399
CDH1	ERBB3	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	0	0	14.3361338797864	9.09909784607182	1.718754504566e-41	1	86	158	1.0488751829578e-07	1	0	-3.29081622051826	4.9842892437399
CLCF1	IL6ST	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	0	0	2.37202530845207	2.36421696357824	2.90068319328239e-19	1	75	137	1.12169822239256e-08	1	0	-6.01378384650083	2.53240000666997
COL11A1	DDR1	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	6.66127870309466	6.71842083665385	3.44930477520364e-24	1	42	77	4.43816643011914e-11	1	0	6.57732179506058	6.23023631181008
