L	R	pw.id	pw.name	pval	qval	L.logFC	R.logFC	LR.pval	LR.corr	rank	len	rank.pval	rank.corr	LR.score	L.expr	R.expr
UBB	MET	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	6.27959077515756e-55	2.63742812556617e-53	1.50234341561606	1.54587294508698	1.2479604506096e-08	1	83	152	0.0540366129945124	1	0	7.68551516616831	-5.63080635346023
UBB	MET	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	2.9820523602066e-45	6.26230995643386e-44	1.50234341561606	1.54587294508698	1.2479604506096e-08	1	65	119	0.0541726597754919	1	0	7.68551516616831	-5.63080635346023
ALOX5AP	ALOX5	R-HSA-6785807	REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING	3.29942856641594e-35	3.46439999473674e-34	2.1901788703866	1.12913788011515	2.38722512415723e-07	1	28	52	0.0203098978352769	1	0	4.82382681146925	-6.35793966198752
UBB	MET	R-HSA-9730414	REACTOME_MITF_M_REGULATED_MELANOCYTE_DEVELOPMENT	2.55282655896184e-35	3.46439999473674e-34	1.50234341561606	1.54587294508698	1.2479604506096e-08	1	36	67	0.0385767663761944	1	0	7.68551516616831	-5.63080635346023
ALOX5AP	ALOX5	R-HSA-446652	REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING	4.12772700804068e-35	3.46729068675417e-34	2.1901788703866	1.12913788011515	2.38722512415723e-07	1	36	66	0.0326225484580585	1	0	4.82382681146925	-6.35793966198752
PTGS2	ALOX5	R-HSA-6785807	REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING	1.74245217033364e-32	1.21971651923355e-31	1.24762123647665	1.12913788011515	0.000126071091249028	1	28	52	0.0203098978352769	1	0	6.80331102947483	-6.35793966198752
PTGS2	ALOX5	R-HSA-446652	REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING	2.179882588432e-32	1.3079295530592e-31	1.24762123647665	1.12913788011515	0.000126071091249028	1	36	66	0.0326225484580585	1	0	6.80331102947483	-6.35793966198752
UBB	MET	R-HSA-9856651	REACTOME_MITF_M_DEPENDENT_GENE_EXPRESSION	2.97937280407113e-29	1.56417072213734e-28	1.50234341561606	1.54587294508698	1.2479604506096e-08	1	24	44	0.0278556583714855	1	0	7.68551516616831	-5.63080635346023
ALOX5AP	ALOX5	R-HSA-8978868	REACTOME_FATTY_ACID_METABOLISM	7.13478867980662e-28	3.32956805057642e-27	2.1901788703866	1.12913788011515	2.38722512415723e-07	1	23	42	0.0251067105955271	1	0	4.82382681146925	-6.35793966198752
PTGS2	ALOX5	R-HSA-8978868	REACTOME_FATTY_ACID_METABOLISM	3.76793367995399e-25	1.58253214558068e-24	1.24762123647665	1.12913788011515	0.000126071091249028	1	23	42	0.0251067105955271	1	0	6.80331102947483	-6.35793966198752
