L	R	pw.id	pw.name	pval	qval	L.logFC	R.logFC	LR.pval	LR.corr	rank	len	rank.pval	rank.corr	LR.score	L.expr	R.expr
IL33	IL1RAP	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	5.80238729865675e-199	2.15268568780165e-196	6.03555118438043	2.74720568713646	1.10675093982971e-17	1	83	152	0.000598181001136245	1	0	6.5651617365335	6.86503552140263
IL36G	IL1RAP	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	4.0025254825765e-198	7.42468477017941e-196	7.73182626390386	2.74720568713646	7.63444184527185e-17	1	83	152	0.000598181001136245	1	0	2.75641296925914	6.86503552140263
UBB	MET	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	4.29137831037703e-196	5.30700451049959e-194	1.25436344638326	4.62369974846646	1.06319728549616e-17	1	83	151	0.000598181001136245	1	0	2.73726337689829	-3.16615521799824
IL1B	IL1RAP	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	1.24675507010201e-193	1.15636532751961e-191	2.42442749762654	2.74720568713646	2.37806832696653e-12	1	83	152	0.000598181001136245	1	0	6.20804490508372	6.86503552140263
CD274	CD80	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	1.13555693095598e-190	8.42583242769334e-189	5.96542863433838	5.05606430147625	2.81336428345015e-12	1	83	151	0.000598181001136245	1	0	-4.78117304013444	4.78153324873985
CD86	CD80	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	2.39786569889272e-190	1.27086882041314e-188	4.09503825204826	5.05606430147625	5.94075869722869e-12	1	83	151	0.000598181001136245	1	0	-0.437768876760494	4.78153324873985
CD80	CD86	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	2.39786569889272e-190	1.27086882041314e-188	5.05606430147625	4.09503825204826	5.94075869722869e-12	1	83	151	0.000598181001136245	1	0	4.78153324873985	-0.437768876760494
VEGFA	ITGB3	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	5.43263538945125e-171	2.51938466185802e-169	3.6837616787788	2.72801637285062	1.94099898002615e-17	1	66	121	0.000427261613928592	1	0	-4.21385204777785	-2.04787707444515
UBB	MET	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	3.22338122728084e-168	1.3287493725791e-166	1.25436344638326	4.62369974846646	1.06319728549616e-17	1	66	120	0.000427261613928592	1	0	2.73726337689829	-3.16615521799824
MFGE8	ITGB3	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	9.62100348104954e-168	3.56939229146938e-166	1.50212417212934	2.72801637285062	3.43743995406096e-14	1	66	121	0.000427261613928592	1	0	4.13030301534002	-2.04787707444515
L1CAM	ITGB3	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	1.17964484254888e-167	3.97862033259667e-166	3.51395781107499	2.72801637285062	4.2146937389291e-14	1	66	121	0.000427261613928592	1	0	6.71746501660161	-2.04787707444515
TGM2	ITGB3	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	9.41706277950596e-165	2.91144190933059e-163	1.16220810957303	2.72801637285062	3.36457500633217e-11	1	66	121	0.000427261613928592	1	0	8.44890756904951	-2.04787707444515
CXCL13	CXCR5	R-HSA-373076	REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	8.31824923553864e-154	2.37390035875757e-152	11.3065280798049	1.97432563532806	6.98492152628261e-17	1	31	57	2.14139196794724e-06	1	0	4.11402541547204	3.38526724314548
CXCL13	CXCR5	R-HSA-418594	REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	4.68377237463182e-149	1.24119967927743e-147	11.3065280798049	1.97432563532806	6.98492152628261e-17	1	41	76	5.28650885803974e-05	1	0	4.11402541547204	3.38526724314548
VEGFA	GPC1	R-HSA-9694516	REACTOME_SARS_COV_2_INFECTION	9.48334476188358e-116	2.34554727110587e-114	3.6837616787788	1.21861147938308	2.15924814216899e-16	1	74	135	0.00584571867208179	1	0	-4.21385204777785	-6.05872827780896
PKM	CD44	R-HSA-913531	REACTOME_INTERFERON_SIGNALING	1.90044496668476e-114	4.40665676650029e-113	1.73778433880539	1.78130588734179	3.43628934855882e-13	1	68	124	0.00392471073355607	1	0	-6.3477511094949	7.36725994861295
TFPI	SDC4	R-HSA-9694516	REACTOME_SARS_COV_2_INFECTION	9.23306929946666e-114	2.01498159417772e-112	2.08519657837123	1.94023967751356	2.10226330814437e-14	1	74	135	0.00584571867208179	1	0	0.9438985789569	-5.12398624407811
MMP9	CD44	R-HSA-913531	REACTOME_INTERFERON_SIGNALING	2.91788794862195e-112	6.01409127188191e-111	2.52722843591467	1.78130588734179	5.27597875966327e-11	1	68	124	0.00392471073355607	1	0	-5.16821429555458	7.36725994861295
APOE	LDLR	R-HSA-8856828	REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS	1.63802240976065e-111	3.19845428432212e-110	2.53444742715767	2.29632273123385	2.60111049084458e-16	1	47	86	0.00100500168375527	1	0	-4.73239585511853	6.11250684008784
TGM2	SDC4	R-HSA-9694516	REACTOME_SARS_COV_2_INFECTION	9.49514621270039e-111	1.76134962245592e-109	1.16220810957303	1.94023967751356	2.16193519630347e-11	1	74	135	0.00584571867208179	1	0	8.44890756904951	-5.12398624407811
MMP7	CD44	R-HSA-913531	REACTOME_INTERFERON_SIGNALING	1.55102403424218e-110	2.74014246049452e-109	4.28718116925034	1.78130588734179	2.80448392963605e-09	1	68	124	0.00392471073355607	1	0	0.776639473043852	7.36725994861295
VIM	CD44	R-HSA-913531	REACTOME_INTERFERON_SIGNALING	4.61656999409496e-110	7.78521576276923e-109	1.4038521129968	1.78130588734179	8.34745050537221e-09	1	68	124	0.00392471073355607	1	0	6.09430277460701	7.36725994861295
UBB	LDLR	R-HSA-8856828	REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS	5.39588272247099e-110	8.70379343494234e-109	1.25436344638326	2.29632273123385	8.56843415154322e-15	1	47	86	0.00100500168375527	1	0	2.73726337689829	6.11250684008784
