L	R	pw.id	pw.name	pval	qval	L.logFC	R.logFC	LR.pval	LR.corr	rank	len	rank.pval	rank.corr	LR.score	L.expr	R.expr
ADAM15	ITGA5	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	1.22598691314216	2.22952612887568	6.85056926414023e-13	1	43	79	2.49683626632493e-10	1	0	1.31829304345549	-3.35403305953966
ADAM17	ITGA5	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	1.01997560898112	2.22952612887568	2.89028152199512e-10	1	43	79	2.49683626632493e-10	1	0	4.52749600270951	-3.35403305953966
ADAM28	ITGA4	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	12.5482990883424	13.6345698393512	2.93999679159667e-28	1	43	79	3.07815470248147e-10	1	0	3.96154227625537	6.17140321377681
COL7A1	ITGA2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	1.03587682415993	1.38894765124879	3.53336029746942e-06	1	43	79	2.49683626632493e-10	1	0	3.2664742189531	5.56974806734687
ICAM2	ITGAL	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	4.49656383981264	12.7108503570674	9.58919427657775e-21	1	44	81	4.31665693255937e-10	1	0	4.64791622246125	-0.697293284537909
ICAM2	ITGAM	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	4.49656383981264	17.1144489086967	2.96489117483158e-18	1	43	79	4.31665693255937e-10	1	0	4.64791622246125	-4.86223531016049
ICAM2	ITGB2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	4.49656383981264	11.4963612113497	5.58047016510847e-21	1	44	81	4.31665693255937e-10	1	0	4.64791622246125	5.24287354857827
ICAM3	ITGAL	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	7.02621090936945	12.7108503570674	7.54175630286006e-23	1	44	81	4.31665693255937e-10	1	0	6.85921143135228	-0.697293284537909
ICAM3	ITGB2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	7.02621090936945	11.4963612113497	4.38895540404562e-23	1	44	81	4.31665693255937e-10	1	0	6.85921143135228	5.24287354857827
ICAM5	ITGAL	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	2.76004159207977	12.7108503570674	1.42766010254319e-15	1	44	81	4.31665693255937e-10	1	0	1.4475867177842	-0.697293284537909
ICAM5	ITGB2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	2.76004159207977	11.4963612113497	8.30832536954428e-16	1	44	81	4.31665693255937e-10	1	0	1.4475867177842	5.24287354857827
MMP2	SDC2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	1.56948097074454	6.87680810832618	1.24436837425359e-20	1	43	79	4.31665693255937e-10	1	0	4.79920224094063	3.98991492461994
MMP9	ITGAM	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	13.5172478448157	17.1144489086967	1.50080507036532e-20	1	43	79	4.31665693255937e-10	1	0	5.77655813652354	-4.86223531016049
MMP9	ITGB2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	13.5172478448157	11.4963612113497	2.82479100410589e-23	1	44	81	4.31665693255937e-10	1	0	5.77655813652354	5.24287354857827
SPP1	ITGA4	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	2.6783315950163	13.6345698393512	1.25341078000938e-20	1	43	79	3.07815470248147e-10	1	0	6.139474460684	6.17140321377681
SPP1	ITGA5	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	2.6783315950163	2.22952612887568	8.90652541175031e-13	1	43	79	2.49683626632493e-10	1	0	6.139474460684	-3.35403305953966
SPP1	ITGB5	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	2.6783315950163	1.0454169712852	6.22573752330061e-11	1	44	81	5.53835882027549e-10	1	0	6.139474460684	5.09092105946819
TGFB1	ITGB5	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	2.34733530459407	1.0454169712852	6.96757005243614e-16	1	44	81	5.53835882027549e-10	1	0	1.15661892798294	5.09092105946819
TGFB1	SDC2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	2.34733530459407	6.87680810832618	5.26665083282664e-26	1	43	79	4.31665693255937e-10	1	0	1.15661892798294	3.98991492461994
TLN1	ITGB5	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	1.45954108117514	1.0454169712852	2.76914319558475e-11	1	44	81	5.53835882027549e-10	1	0	2.58232245660889	5.09092105946819
VCAN	ITGA4	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	1.63722029935208	13.6345698393512	2.96987434354623e-19	1	43	79	3.07815470248147e-10	1	0	7.49215599917647	6.17140321377681
ITGAM	ITGB2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	17.1144489086967	11.4963612113497	4.30947870116276e-20	1	44	81	4.31665693255937e-10	1	0	-4.86223531016049	5.24287354857827
