L	R	pw.id	pw.name	pval	qval	L.logFC	R.logFC	LR.pval	LR.corr	rank	len	rank.pval	rank.corr	LR.score	L.expr	R.expr
ADAM17	ITGA5	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	1.42524963251102	2.74810201241895	9.38448394057236e-16	1	45	82	4.57553744549397e-11	1	0	2.96638487459486	6.53408538253178
ADAM28	ITGA4	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	11.5320715366163	10.6187798350275	9.52637765582395e-25	1	45	83	6.37125497453522e-11	1	0	0.461161341739883	5.59109838736174
ARTN	RET	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	0	0	4.5408222922158	4.56197317355752	2.54589907585647e-20	1	73	134	1.91565307106005e-06	1	0	5.40240954328139	-5.28208294360426
C3	ITGAM	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	2.06974471005659	16.5987336946007	4.80734743031271e-12	1	45	82	1.04684150608523e-10	1	0	-4.34700572545328	4.27291395610315
C3	ITGB2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	2.06974471005659	11.7657488855183	1.08498975906816e-15	1	46	84	1.04684150608523e-10	1	0	-4.34700572545328	3.11933369749473
COL5A3	SDC3	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	7.48429256741402	1.78001145544524	1.37748912171173e-17	1	44	81	1.04684150608523e-10	1	0	5.23008582373401	-6.17446797844773
COL7A1	ITGA2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	3.44838036292359	1.17069959486867	2.83570303465653e-14	1	45	82	1.04684150608523e-10	1	0	4.66528042282581	6.16766331304428
EFNB2	PECAM1	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	3.17036233575557	11.540114414625	1.50165490900004e-22	1	46	84	1.04684150608523e-10	1	0	7.38943307846952	-2.02791181435216
GNAS	ADCY1	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	0	0	3.88430684035025	9.34697466792488	1.25259528852758e-25	1	88	160	1.59505553991904e-05	1	0	-3.32529683538792	-5.37265018819338
GNAS	ADCY8	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	0	0	3.88430684035025	10.8719897892569	4.0294972897434e-25	1	88	160	1.59505553991904e-05	1	0	-3.32529683538792	-6.34659258778807
ICAM2	ITGAL	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	5.12198886570994	8.86460768862375	1.74068384106345e-23	1	46	84	1.04684150608523e-10	1	0	0.512202975043444	5.0510565510483
ICAM2	ITGAM	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	5.12198886570994	16.5987336946007	5.46611241565394e-20	1	45	82	1.04684150608523e-10	1	0	0.512202975043444	4.27291395610315
ICAM2	ITGB2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	5.12198886570994	11.7657488855183	1.23366910315322e-23	1	46	84	1.04684150608523e-10	1	0	0.512202975043444	3.11933369749473
ICAM3	ITGAL	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	7.46920273925744	8.86460768862375	9.91890956726284e-27	1	46	84	1.04684150608523e-10	1	0	3.8173670725711	5.0510565510483
ICAM3	ITGB2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	7.46920273925744	11.7657488855183	7.02979598100206e-27	1	46	84	1.04684150608523e-10	1	0	3.8173670725711	3.11933369749473
ICAM5	ITGAL	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	6.42341049535512	8.86460768862375	5.82683203250197e-25	1	46	84	1.04684150608523e-10	1	0	6.05285420341475	5.0510565510483
ICAM5	ITGB2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	6.42341049535512	11.7657488855183	4.12963140013382e-25	1	46	84	1.04684150608523e-10	1	0	6.05285420341475	3.11933369749473
IL16	GRIN2D	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	0	0	7.98036826906699	5.28045775920675	3.29737103943083e-25	1	74	136	8.20151745614629e-07	1	0	1.73597408860322	5.06833043023276
MMP9	ITGAM	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	15.6513939360376	16.5987336946007	2.74865971288648e-23	1	45	82	1.04684150608523e-10	1	0	-5.5696818702827	4.27291395610315
MMP9	ITGB2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	15.6513939360376	11.7657488855183	6.20356169982717e-27	1	46	84	1.04684150608523e-10	1	0	-5.5696818702827	3.11933369749473
SEMA7A	ITGA1	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	9.33656227194617	1.60026193912907	7.07223124838554e-19	1	46	84	1.04684150608523e-10	1	0	0.941839880249284	-0.505142629525767
SPP1	ITGA4	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	4.04507551954381	10.6187798350275	1.77555642263894e-24	1	45	83	6.37125497453522e-11	1	0	-6.09446023835351	5.59109838736174
SPP1	ITGA5	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	4.04507551954381	2.74810201241895	4.11291008069406e-18	1	45	82	4.57553744549397e-11	1	0	-6.09446023835351	6.53408538253178
TGFB1	ITGB8	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	2.95574401322572	1.87835816240454	1.07951475118054e-13	1	46	84	1.08575433623011e-10	1	0	-6.34659258778807	8.06019313722854
TGFB1	SDC2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	2.95574401322572	6.61829755285028	5.71429836725996e-25	1	45	83	1.08575433623011e-10	1	0	-6.34659258778807	4.69450721033713
TGM2	ITGA4	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	1.06110734062368	10.6187798350275	1.01995112177686e-17	1	45	83	6.37125497453522e-11	1	0	6.77555597113589	5.59109838736174
VEGFA	RET	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	0	0	3.93628329851797	4.56197317355752	6.00327632161932e-25	1	73	134	1.91565307106005e-06	1	0	6.68732567798344	-5.28208294360426
VEGFB	RET	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	0	0	1.18087730176445	4.56197317355752	4.00121862793146e-18	1	73	134	1.91565307106005e-06	1	0	2.65759682446539	-5.28208294360426
TIMP3	ADAM17	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	1.65750776490791	1.42524963251102	5.05229467937204e-11	1	45	82	6.37125497453522e-11	1	0	3.08566526662408	2.96638487459486
TLN1	ITGA1	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	1.25707627841883	1.60026193912907	1.8237208997098e-11	1	46	84	1.04684150608523e-10	1	0	1.82527395686905	-0.505142629525767
YWHAZ	CSF2RB	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	0	0	2.33464854280851	8.46960551114868	8.97147586249733e-23	1	74	135	8.20151745614629e-07	1	0	6.22924882001352	4.48554323395549
YWHAZ	IL3RA	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	0	0	2.33464854280851	9.18897469246178	1.39305636386242e-22	1	74	135	8.20151745614629e-07	1	0	6.22924882001352	5.63048851253718
YWHAZ	CSF2RA	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	0	0	2.33464854280851	4.72463681714405	2.3411347851859e-21	1	74	135	8.20151745614629e-07	1	0	6.22924882001352	6.10264658434416
