L	R	pw.id	pw.name	pval	qval	L.logFC	R.logFC	LR.pval	LR.corr	rank	len	rank.pval	rank.corr	LR.score	L.expr	R.expr
AGRN	LRP4	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	1.11546551296964	3.53874961822277	7.46826040292972e-17	1	44	81	2.25615741218812e-10	1	0	5.51142825962013	-5.51849118635847
COL1A1	DDR1	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	11.8865981117298	6.60422589999251	2.48924686153369e-26	1	42	77	9.97983415291508e-10	1	0	-1.97991822679722	5.97744018917157
COL1A2	ITGA2B	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	14.0547056107493	4.02018928876498	5.19222241150777e-26	1	42	78	9.71545273620943e-10	1	0	-0.973544102787729	-1.22574277327969
COL2A1	DDR1	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	12.5798279320328	6.60422589999251	1.62297944002053e-24	1	42	77	9.97983415291508e-10	1	0	5.28155360459047	5.97744018917157
COL2A1	ITGA10	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	12.5798279320328	1.94711038472937	2.70813113850373e-24	1	44	80	9.71545273620943e-10	1	0	5.28155360459047	4.04890057283008
COL2A1	ITGA2B	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	12.5798279320328	4.02018928876498	1.26190417839797e-24	1	42	78	9.71545273620943e-10	1	0	5.28155360459047	-1.22574277327969
COL3A1	DDR1	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	15.038080980152	6.60422589999251	7.99469444471822e-24	1	42	77	9.97983415291508e-10	1	0	-4.39983829722896	5.97744018917157
COL5A2	DDR1	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	9.21695136128872	6.60422589999251	5.31452068379963e-23	1	42	77	9.97983415291508e-10	1	0	4.91888270579576	5.97744018917157
FGF2	SDC1	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	1.22084110229944	7.03887851379973	1.82871192768819e-11	1	44	80	2.25615741218812e-10	1	0	5.86272009779499	4.20001468766753
FGF2	SDC4	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	1.22084110229944	1.20804741852566	6.4332552371885e-09	1	44	81	2.25615741218812e-10	1	0	5.86272009779499	-4.21601081838777
