L	R	pw.id	pw.name	pval	qval	L.logFC	R.logFC	LR.pval	LR.corr	rank	len	rank.pval	rank.corr	LR.score	L.expr	R.expr
C3	C3AR1	R-HSA-418594	REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	6.6260214450966e-85	2.19983911977207e-82	1.04109810295001	1.26834164785747	6.48097918307222e-08	1	40	74	0.00156826938886721	1	0	3.77533413350637	1.84349154330465
PKM	CD44	R-HSA-913531	REACTOME_INTERFERON_SIGNALING	1.89056711830027e-83	3.13834141637846e-81	1.32395965013615	1.5595362105528	5.25871611752033e-09	1	70	129	0.0138157157263148	1	0	6.16761423592405	4.21272417464311
VIM	CD44	R-HSA-913531	REACTOME_INTERFERON_SIGNALING	1.69544899699048e-82	1.87629689000279e-80	1.5773917689605	1.5595362105528	4.71598436289497e-08	1	70	129	0.0138157157263148	1	0	3.49874032429653	4.21272417464311
MMP7	CD44	R-HSA-913531	REACTOME_INTERFERON_SIGNALING	1.07465893934574e-81	8.91966919656967e-80	4.00556420222478	1.5595362105528	2.98922277366996e-07	1	70	129	0.0138157157263148	1	0	7.56862774118509	4.21272417464311
MMP9	CD44	R-HSA-913531	REACTOME_INTERFERON_SIGNALING	2.22559707593083e-81	1.47779645841807e-79	1.93993318892754	1.5595362105528	6.19062031758275e-07	1	70	129	0.0138157157263148	1	0	0.506014249510576	4.21272417464311
HBEGF	CD44	R-HSA-913531	REACTOME_INTERFERON_SIGNALING	1.09127386701925e-80	6.0383820641732e-79	1.27465725303889	1.5595362105528	3.03543810615002e-06	1	70	129	0.0138157157263148	1	0	2.01237772821287	4.21272417464311
SPP1	CD44	R-HSA-913531	REACTOME_INTERFERON_SIGNALING	7.82050008468823e-80	3.70915146873784e-78	1.18446533108317	1.5595362105528	2.17531498587543e-05	1	70	129	0.0138157157263148	1	0	-5.41854548990502	4.21272417464311
NTN1	ADORA2B	R-HSA-373076	REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	2.66675746959908e-79	1.10670434988362e-77	2.55523076369042	1.13002069690055	2.11787796202817e-08	1	31	58	0.00075896835823494	1	0	6.99695167484894	8.0667912460712
NTN1	ADORA2B	R-HSA-9658195	REACTOME_LEISHMANIA_INFECTION	1.39449718334388e-74	5.14414516522411e-73	2.55523076369042	1.13002069690055	2.11787796202817e-08	1	48	88	0.00590009033057379	1	0	6.99695167484894	8.0667912460712
TFPI	SDC4	R-HSA-9694516	REACTOME_SARS_COV_2_INFECTION	3.82589877127774e-74	1.27019839206421e-72	3.65741072366655	1.36364614588396	3.63065596861869e-11	1	75	137	0.023958810501252	1	0	7.65347498659284	6.17577785031464
COL5A3	SDC3	R-HSA-9694516	REACTOME_SARS_COV_2_INFECTION	4.58628406399467e-74	1.38422391749657e-72	2.4949118534752	1.45160225550368	4.35223737118429e-11	1	75	137	0.023958810501252	1	0	-1.37302696632464	3.19279911820865
C3	C3AR1	R-HSA-9658195	REACTOME_LEISHMANIA_INFECTION	1.51132196044898e-73	4.1813240905755e-72	1.04109810295001	1.26834164785747	6.48097918307222e-08	1	47	87	0.0061797358795129	1	0	3.77533413350637	1.84349154330465
