L	R	pw.id	pw.name	pval	qval	L.logFC	R.logFC	LR.pval	LR.corr	rank	len	rank.pval	rank.corr	LR.score	L.expr	R.expr
ADAM17	ITGA5	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	1.33137758895867	2.85757583008895	6.65499649017427e-16	1	45	83	7.78867780248192e-11	1	0	5.69940982326332	-2.41224386140385
ADAM28	ITGA4	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	11.6301840453299	11.1694449781079	1.94923717960718e-25	1	46	84	9.7684289880496e-11	1	0	3.79235504145049	5.0088076452546
ARTN	RET	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	0	0	4.94914626419227	4.06248179688453	1.02099500941133e-19	1	74	135	5.32221252198795e-07	1	0	-5.29237625407136	7.01726865348929
C3	ITGAM	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	2.90105723594688	16.6583981365884	4.74353615457075e-13	1	45	83	1.2280010382001e-10	1	0	2.79526690953286	-3.1179249328838
C3	ITGB2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	2.90105723594688	12.0391682892974	2.51644568733633e-16	1	46	85	1.2280010382001e-10	1	0	2.79526690953286	-1.54595796567633
COL5A3	SDC3	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	7.11735204980423	1.87297866465288	4.64445506310155e-18	1	45	82	9.7684289880496e-11	1	0	7.19859487802432	2.47272417175379
EFNB2	PECAM1	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	3.27919024095324	11.6891254434239	9.48283959575958e-21	1	46	85	1.2280010382001e-10	1	0	3.9154620759475	-0.44573149810721
FABP5	RXRA	R-HSA-1852241	REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE	0	0	9.20630341021353	2.04541373176448	1.75826398350753e-22	1	86	157	8.72018938823817e-06	1	0	-6.31529199724311	5.42678335371343
GNAS	ADCY1	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	0	0	3.91726817069607	9.32819298522607	1.38872808325191e-25	1	88	160	5.53505725581374e-06	1	0	7.94684757552149	3.52796507492873
GNAS	ADCY8	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	0	0	3.91726817069607	13.4958727407834	2.03913037281037e-21	1	88	160	5.53505725581374e-06	1	0	7.94684757552149	-3.98880752845509
HBEGF	CD44	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	4.71823388209216	1.26771713555548	9.08844830195118e-12	1	44	81	1.2280010382001e-10	1	0	6.42052784385357	3.18894610393422
ICAM2	ITGAL	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	5.5330384702149	7.41925499722549	2.80346037459166e-25	1	46	85	1.2280010382001e-10	1	0	6.15572203738443	4.37114978021073
ICAM2	ITGAM	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	5.5330384702149	16.6583981365884	5.42675613562988e-22	1	45	83	1.2280010382001e-10	1	0	6.15572203738443	-3.1179249328838
ICAM2	ITGB2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	5.5330384702149	12.0391682892974	2.87889385233695e-25	1	46	85	1.2280010382001e-10	1	0	6.15572203738443	-1.54595796567633
ICAM3	ITGAL	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	7.42923336507741	7.41925499722549	9.90389035714274e-25	1	46	85	1.2280010382001e-10	1	0	10.3770412043716	4.37114978021073
ICAM3	ITGB2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	7.42923336507741	12.0391682892974	1.01703770532339e-24	1	46	85	1.2280010382001e-10	1	0	10.3770412043716	-1.54595796567633
ICAM5	ITGAL	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	6.62915111296159	7.41925499722549	1.13538511387247e-22	1	46	85	1.2280010382001e-10	1	0	1.08142833659047	4.37114978021073
ICAM5	ITGB2	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	6.62915111296159	12.0391682892974	1.16593523275264e-22	1	46	85	1.2280010382001e-10	1	0	1.08142833659047	-1.54595796567633
IL16	GRIN2D	R-HSA-5683057	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	0	0	7.8347268795308	5.04336101081314	1.83120953281239e-24	1	75	137	4.8978826530884e-07	1	0	0.301827160489335	4.41797451662396
IL1B	IL1RAP	R-HSA-9006925	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	0	0	19.9159531769781	1.01171359048628	1.32336376153792e-15	1	88	160	4.54988664108986e-06	1	0	5.62650203393224	3.42674204404908
LPL	CD44	R-HSA-1474244	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0	0	12.982778947445	1.26771713555548	9.8801316055328e-22	1	44	81	1.2280010382001e-10	1	0	5.59983042630209	3.18894610393422
