R0235 R0236 R0238 R0251 R0252 R0253 R0324 R0326 R0328 R0336 R0338 R0340 R0348 R0350 R0352 R0360 R0362 R0364
ENSBTAG00000006648 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000049697 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000047028 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000053686 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000054829 0 3 0 11 15 0 0 2 2 2 0 5 2 7 21 5 8 1
ENSBTAG00000046619 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000001753 6 2 2 12 2 16 4 4 4 2 6 12 2 0 2 0 10 8
ENSBTAG00000046015 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000021251 8 3 3 0 8 14 2 2 2 12 10 14 4 2 2 14 8 4
ENSBTAG00000020035 3993 4320 3906 4274 4420 3869 2821 2505 2101 2848 2907 2413 2006 1853 2166 2134 2157 2780
ENSBTAG00000005540 0 0 0 2 4 0 0 0 4 0 2 0 2 2 0 0 2 0
ENSBTAG00000001150 0 0 0 0 4 0 2 4 0 8 8 6 0 4 0 2 9 4
ENSBTAG00000026259 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000051226 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000013841 9 18 13 19 14 8 16 9 8 22 20 42 8 18 6 2 18 20
ENSBTAG00000021253 2552 2518 2389 2402 2433 2115 3100 2800 2604 3129 2419 2250 2582 2359 2635 2760 2969 3305
ENSBTAG00000011528 905 1073 968 1199 1095 1142 1143 968 812 1086 1253 1079 838 859 1039 588 838 1108
ENSBTAG00000026260 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0
ENSBTAG00000054497 13 8 4 4 15 20 6 11 5 12 16 3 23 19 21 15 11 16
ENSBTAG00000012594 6255 6738 6397 6108 5975 5738 9319 7133 6248 6809 8237 6816 7996 6751 7841 6220 6932 8919
ENSBTAG00000021259 5672 5047 5245 5396 5176 3868 7086 6217 5620 5530 4161 3493 6624 5401 6976 5009 5595 5256
ENSBTAG00000049850 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 4 0
ENSBTAG00000018278 23536 26563 24029 24070 25753 24980 29581 30035 23802 24903 29588 25982 32752 27990 31765 21349 24906 34380
ENSBTAG00000030836 4727 4722 4368 4831 4247 3293 4441 4859 3937 4650 3037 2989 5756 4923 5989 4496 4900 4053
ENSBTAG00000021997 14648 14493 13385 18605 16539 13878 18010 19983 15284 21192 12827 12709 16991 14820 18080 20425 21572 19688
ENSBTAG00000021270 0 4 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0
ENSBTAG00000054338 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000053248 35 27 17 26 26 22 21 28 22 23 17 12 14 14 35 30 43 28
ENSBTAG00000008490 3449 4088 3587 4992 5135 4606 4094 4201 3566 4872 5169 4438 3758 3032 3383 4082 4756 5302
ENSBTAG00000021272 10 0 9 2 10 12 4 0 0 10 10 2 0 4 0 17 4 14
