R0168 R0169 R0171 R0187 R0189 R0190 R0318 R0320 R0322 R0330 R0332 R0334 R0420 R0422 R0424 R0426 R0428 R0430
ENSG00000284662 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000186827 41 44 45 29 32 28 17 8 29 16 20 14 453 194 935 120 125 97
ENSG00000186891 126 176 119 79 116 73 50 48 20 4 19 6 811 553 1102 333 575 526
ENSG00000160072 7394 7519 6340 4867 4683 5354 10705 10061 9576 10388 11074 8317 2871 3314 4040 2700 4448 3832
ENSG00000041988 1917 2435 1594 2154 2094 2298 2908 2356 2169 3601 3931 2954 3533 3330 4914 4069 5189 6753
ENSG00000260179 62 96 61 65 50 64 79 78 74 52 74 51 109 57 146 138 118 149
ENSG00000234396 3 1 0 3 7 8 0 0 0 5 3 0 6 2 5 12 5 10
ENSG00000225972 103 113 98 71 64 80 86 105 52 96 112 72 109 90 62 10 67 20
ENSG00000224315 0 2 0 10 0 0 0 2 6 0 2 1 6 0 2 5 0 1
ENSG00000198744 85 76 49 55 53 62 65 82 66 61 55 52 47 37 39 9 36 10
ENSG00000279928 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000228037 3 10 10 6 4 4 0 4 3 14 5 2 792 24 946 425 394 444
ENSG00000142611 4 0 0 0 0 4 0 0 0 0 0 1 0 0 0 0 0 4
ENSG00000225630 106957 88491 102359 90812 66823 101222 88806 107697 99354 104380 123550 102771 101312 125766 142021 21939 118812 38710
ENSG00000067606 1618 1319 1460 1268 1256 1528 1753 1814 1812 2111 2525 2063 1182 1031 1645 800 896 1532
ENSG00000131584 12297 10687 11058 13196 13831 14570 9060 11877 11732 13291 16086 12386 8108 7023 10759 7915 6663 10240
ENSG00000227589 51 73 39 59 45 76 20 18 21 57 83 46 14 8 36 32 35 60
ENSG00000237402 0 2 0 0 1 0 2 1 0 0 0 0 17 0 7 0 5 3
ENSG00000284616 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000169972 3372 3759 3103 2700 2444 2934 4214 3877 3658 4798 5728 3780 1477 2414 2262 851 1618 1914
ENSG00000157911 5029 4673 4432 3698 3675 4425 3558 4003 3597 4279 4732 3289 1226 1329 1698 851 2998 1736
ENSG00000269896 315 257 272 276 261 270 222 283 290 355 420 439 145 256 169 180 470 240
ENSG00000237973 2355 1884 2478 2343 2337 2836 1661 2411 1937 2046 2612 4806 2156 3198 2913 408 2094 744
ENSG00000224051 4833 4401 4137 5153 5461 6179 2877 3413 3138 5625 6505 4562 2099 2812 3015 2367 3264 4100
ENSG00000228750 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0
ENSG00000228463 0 9 11 8 4 8 0 4 2 38 33 41 166 12 143 55 36 37
ENSG00000238260 14 10 0 39 31 15 6 3 7 16 28 12 28 7 39 27 23 52
ENSG00000260972 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000157933 14733 10872 12993 13365 13657 15225 4891 8618 7998 24160 29601 20303 10743 11908 13069 11122 6427 13155
ENSG00000162591 3721 2962 3384 5242 5139 5936 120 126 151 286 390 371 177 98 213 267 106 385
ENSG00000224340 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000270035 2 21 3 18 16 28 34 27 30 15 35 28 14 30 19 15 18 9
ENSG00000169962 156 125 94 314 284 307 56 104 94 284 342 329 567 196 672 728 563 765
ENSG00000226545 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000233653 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000268663 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000226374 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0
ENSG00000116285 1006 923 946 700 744 756 430 500 428 266 376 352 11702 4188 14036 11197 6072 21918
ENSG00000229280 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0
ENSG00000142655 3775 3531 3276 2956 3060 3413 3190 3596 3381 4964 5370 4235 2409 2391 3633 2009 3700 3857
ENSG00000232596 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000235054 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000232663 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000284646 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000240409 2 4 6 3 6 3 2 9 9 8 6 3 3 5 3 0 4 1
ENSG00000229344 73 80 39 53 68 55 122 63 61 46 64 63 99 77 103 19 124 25
ENSG00000231510 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000149527 4 8 4 4 0 12 2 2 8 6 2 2 85 4 122 90 63 76
ENSG00000284739 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000007923 15067 12776 13307 12371 11679 13652 12059 14479 14009 18607 20412 15281 4380 7405 5612 4160 10285 6831
ENSG00000171621 17050 14605 16903 9012 8126 9956 3518 3729 3496 2131 2841 2678 20869 11937 27463 13071 13786 19688
ENSG00000272235 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000236679 0 0 2 0 0 1 1 1 0 0 1 2 4 0 5 0 0 0
ENSG00000284694 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000162441 6254 6354 6078 6010 5366 6646 5456 5273 5389 3736 4647 5807 5333 3776 7319 3427 8340 7250
ENSG00000230021 54 29 69 48 63 30 8 53 42 34 23 59 179 37 131 126 51 122
ENSG00000271264 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000287356 13 12 18 16 34 4 4 6 2 4 26 9 30 67 37 62 60 76
ENSG00000224387 2 0 0 9 2 2 0 0 0 3 2 0 6 0 10 1 10 2
ENSG00000187017 209 184 192 95 86 92 445 536 484 2288 2498 1415 572 322 765 333 302 403
ENSG00000285629 0 1 0 0 0 8 0 0 0 0 6 0 0 0 0 0 1 0
ENSG00000173673 0 0 0 0 0 2 2 0 0 4 0 0 0 0 1 5 7 14
ENSG00000227372 2340 1744 1964 2150 2257 2390 348 460 450 694 784 678 286 646 340 354 484 442
ENSG00000142583 10190 8058 10187 4812 4181 5957 1291 1786 1649 20806 23450 15968 163067 90763 209492 71708 148729 123518
ENSG00000223663 2 0 0 0 0 2 2 0 0 6 2 4 0 6 0 16 10 0
ENSG00000107404 11993 10836 11496 10641 10352 11876 8948 10033 9984 10757 12206 9112 13387 6544 18338 11761 13370 18062
ENSG00000284674 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000177000 23627 17207 22323 19587 18881 21931 8718 14012 14213 15073 17915 14970 10432 7154 11975 13164 9823 15092
ENSG00000272161 0 0 0 0 0 0 3 0 4 4 2 2 12 4 10 6 12 12
ENSG00000237094 92 23 78 90 54 46 5 21 33 26 22 23 11 9 39 33 11 12
ENSG00000069424 137070 105742 127590 116365 113298 131734 62165 93093 88897 157076 182930 135357 101907 56608 131222 74994 80273 106127
ENSG00000224338 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000074800 288239 295244 255870 169101 163175 194279 232720 227296 211723 343554 372711 249309 677796 715325 919868 364849 808444 814789
ENSG00000234546 38 14 26 84 68 72 39 31 19 108 117 122 70 107 144 93 78 114
ENSG00000116786 31957 22747 30188 28585 27378 31681 16159 24320 24025 26998 31742 24201 36170 34213 48951 40654 33737 57798
ENSG00000287727 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000176022 10797 12335 9755 8608 9056 10028 8333 7218 6711 10953 12421 8654 5906 5951 7936 5053 11561 9962
ENSG00000223989 2 0 2 0 4 2 6 4 2 2 15 2 0 2 2 2 0 1
ENSG00000228423 5 2 2 3 1 3 1 2 0 2 0 0 2 0 6 8 2 1
ENSG00000286448 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000162496 21073 22743 17867 18679 17778 21841 20505 17895 17394 14332 18356 15513 36846 35589 58742 38027 42424 68589
ENSG00000237365 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0
ENSG00000131686 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 4
ENSG00000229305 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000284703 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
ENSG00000226457 6 4 2 0 0 2 0 5 2 0 2 2 2 2 2 3 4 2
ENSG00000162494 0 6 2 2 4 0 0 0 0 0 0 0 6 6 0 34 24 22
ENSG00000173614 4013 3761 3747 3192 2990 3802 3286 3381 3354 2531 3273 2979 2132 1924 2764 1169 2167 2197
ENSG00000248527 70848 59780 63241 59351 57945 70856 54528 60957 57583 63028 73934 60455 44301 67265 60202 8193 91499 16919
ENSG00000237728 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000215720 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000279804 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000116273 2458 2337 2386 3474 3437 4232 2160 2423 2459 3257 3638 2785 5135 4340 6957 5095 4861 7064
ENSG00000241326 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000285701 0 0 0 0 1 4 0 0 2 0 4 6 2 0 0 2 0 0
