RNA_ID	INFECTION_DATE	EXPERIMENT_ID	STRAIN	LINEAGE/ECOTYPE	CELL	DAYS_POST_INFECTION	EXTRACTION_DATE	SAMPLING_DATE
R0168	2021-08-03	EXP9	Uninfected	Control	THP-1	1	2021-09-24	2021-08-04
R0169	2021-08-03	EXP9	Uninfected	Control	THP-1	1	2021-09-24	2021-08-04
R0171	2021-08-03	EXP9	Uninfected	Control	THP-1	1	2021-10-18	2021-08-04
R0187	2021-08-03	EXP9	Uninfected	Control	THP-1	3	2021-09-24	2021-08-06
R0189	2021-08-03	EXP9	Uninfected	Control	THP-1	3	2021-10-18	2021-08-06
R0190	2021-08-03	EXP9	Uninfected	Control	THP-1	3	2021-10-18	2021-08-06
R0235	2021-09-28	EXP10	Uninfected	Control	BoMac	1	2021-09-30	2021-09-29
R0236	2021-09-28	EXP10	Uninfected	Control	BoMac	1	2021-10-20	2021-09-29
R0238	2021-09-28	EXP10	Uninfected	Control	BoMac	1	2021-10-20	2021-09-29
R0251	2021-09-28	EXP10	Uninfected	Control	BoMac	3	2021-10-04	2021-10-01
R0252	2021-09-28	EXP10	Uninfected	Control	BoMac	3	2021-10-04	2021-10-01
R0253	2021-09-28	EXP10	Uninfected	Control	BoMac	3	2021-10-04	2021-10-01
R0318	2022-03-08	EXP14	N1176	Lineage 5	THP-1	1	2022-06-07	2022-03-09
R0320	2022-03-08	EXP14	N1176	Lineage 5	THP-1	1	2022-07-11	2022-03-09
R0322	2022-03-08	EXP14	N1176	Lineage 5	THP-1	1	2022-07-11	2022-03-09
R0324	2022-03-08	EXP14	N1176	Lineage 5	BoMac	1	2022-07-11	2022-03-09
R0326	2022-03-08	EXP14	N1176	Lineage 5	BoMac	1	2022-07-11	2022-03-09
R0328	2022-03-08	EXP14	N1176	Lineage 5	BoMac	1	2022-07-11	2022-03-09
R0330	2022-03-08	EXP14	N1176	Lineage 5	THP-1	3	2022-07-11	2022-03-11
R0332	2022-03-08	EXP14	N1176	Lineage 5	THP-1	3	2022-07-11	2022-03-11
R0334	2022-03-08	EXP14	N1176	Lineage 5	THP-1	3	2022-07-11	2022-03-11
R0336	2022-03-08	EXP14	N1176	Lineage 5	BoMac	3	2022-07-11	2022-03-11
R0338	2022-03-08	EXP14	N1176	Lineage 5	BoMac	3	2022-07-11	2022-03-11
R0340	2022-03-08	EXP14	N1176	Lineage 5	BoMac	3	2022-09-19	2022-03-11
R0348	2022-03-22	EXP15	G1352	M. bovis	BoMac	1	2022-09-19	2022-03-23
R0350	2022-03-22	EXP15	G1352	M. bovis	BoMac	1	2022-09-19	2022-03-23
R0352	2022-03-22	EXP15	G1352	M. bovis	BoMac	1	2022-09-19	2022-03-23
R0360	2022-03-22	EXP15	G1352	M. bovis	BoMac	3	2022-09-19	2022-03-25
R0362	2022-03-22	EXP15	G1352	M. bovis	BoMac	3	2022-09-19	2022-03-25
R0364	2022-03-22	EXP15	G1352	M. bovis	BoMac	3	2022-09-19	2022-03-25
R0420	2022-08-09	EXP29	G1352	M. bovis	THP-1	1	2022-09-30	2022-08-10
R0422	2022-08-09	EXP29	G1352	M. bovis	THP-1	1	2022-09-30	2022-08-10
R0424	2022-08-09	EXP29	G1352	M. bovis	THP-1	1	2022-09-30	2022-08-10
R0426	2022-08-09	EXP29	G1352	M. bovis	THP-1	3	2022-09-30	2022-08-12
R0428	2022-08-09	EXP29	G1352	M. bovis	THP-1	3	2022-09-30	2022-08-12
R0430	2022-08-09	EXP29	G1352	M. bovis	THP-1	3	2022-09-30	2022-08-12
