R0235 R0236 R0238 R0251 R0252 R0253 R0324 R0326 R0328 R0336 R0338 R0340 R0348 R0350 R0352 R0360 R0362 R0364
ENSBTAG00000006648 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000049697 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000047028 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000053686 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000054829 0 0.0168605031443265 0 0.0565206141369588 0.07881096604284 0 0 0.0105492257812517 0.0119947579600688 0.00976242944881878 0 0.02902896500873 0.0104760428495676 0.0425802278959089 0.109331414611476 0.0258405336430223 0.0368483358290366 0.00420679586443584
ENSBTAG00000046619 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000001753 0.0344691350822687 0.011240335429551 0.0121623561915229 0.0616588517857733 0.010508128805712 0.0957935503632871 0.0189079080195652 0.0210984515625033 0.0239895159201375 0.00976242944881878 0.0314661627072075 0.069669516020952 0.0104760428495676 0 0.0104125156772834 0 0.0460604197862957 0.0336543669154867
ENSBTAG00000046015 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000021251 0.0459588467763583 0.0168605031443265 0.0182435342872843 0 0.042032515222848 0.0838193565678762 0.0094539540097826 0.0105492257812517 0.0119947579600688 0.0585745766929127 0.0524436045120126 0.081281102024444 0.0209520856991351 0.0121657793988311 0.0104125156772834 0.0723534942004624 0.0368483358290366 0.0168271834577433
ENSBTAG00000020035 22.9392093972498 24.2791245278301 23.7530816420442 21.9608277110329 23.2229646606235 23.1640778972224 13.3348021307984 13.2129052910177 12.6004932370522 13.9016995351179 15.2453558316421 14.0093785132131 10.5074709781163 11.271594613017 11.2767544784979 11.0287397588419 9.93523254790399 11.6948925031316
ENSBTAG00000005540 0 0 0 0.0102764752976289 0.021016257611424 0 0 0 0.0239895159201375 0 0.0104887209024025 0 0.0104760428495676 0.0121657793988311 0 0 0.00921208395725914 0
ENSBTAG00000001150 0 0 0 0 0.021016257611424 0 0.0094539540097826 0.0210984515625033 0 0.0390497177952751 0.0419548836096101 0.034834758010476 0 0.0243315587976622 0 0.0103362134572089 0.0414543778076661 0.0168271834577433
ENSBTAG00000026259 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000051226 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000013841 0.051703702623403 0.101163018865959 0.0790553152448987 0.0976265153274744 0.073556901639984 0.0478967751816435 0.0756316320782608 0.0474715160156325 0.0479790318402751 0.107386723937007 0.104887209024025 0.243843306073332 0.0419041713982702 0.10949201458948 0.0312375470318503 0.0103362134572089 0.0829087556153323 0.0841359172887167
ENSBTAG00000021253 14.6608721216583 14.1515823058047 14.5279344707741 12.3420468324523 12.7831386921486 12.662709938647 14.653628715163 14.7689160937523 15.6171748640095 15.273320872677 12.6861079314558 13.0630342539285 13.5245713187917 14.3495368009213 13.7184894048209 14.2639745709483 13.6753386345512 13.9034603319604
