gene_symbol	ncbi_gene	ensembl_gene	db_gene_symbol	db_ncbi_gene	db_ensembl_gene	source_gene	gs_id	gs_name	gs_collection	gs_subcollection	gs_collection_name	gs_description	gs_source_species	gs_pmid	gs_geoid	gs_exact_source	gs_url	db_version	db_target_species	ortholog_taxon_id	ortholog_sources	num_ortholog_sources	Selected_Ensembl_ID
ABCA1	535379	ENSBTAG00000020661	ABCA1	19	ENSG00000165029	ABCA1	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|Panther	6	ENSBTAG00000020661
ABCB8	511548	ENSBTAG00000007759	ABCB8	11194	ENSG00000197150	ABCB8	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	9	ENSBTAG00000007759
ACAA2	522006	ENSBTAG00000002863	ACAA2	10449	ENSG00000167315	ACAA2	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther	7	ENSBTAG00000002863
ACADL	614508	ENSBTAG00000010579	ACADL	33	ENSG00000115361	ACADL	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	9	ENSBTAG00000010579
ACADM	505968	ENSBTAG00000024240	ACADM	34	ENSG00000117054	ACADM	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000024240
ACADS	511222	ENSBTAG00000007484	ACADS	35	ENSG00000122971	ACADS	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	9	ENSBTAG00000007484
ACLY	511135	ENSBTAG00000016740	ACLY	47	ENSG00000131473	ACLY	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	9	ENSBTAG00000016740
ACO2	280976	ENSBTAG00000006429	ACO2	50	ENSG00000100412	ACO2	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam	10	ENSBTAG00000006429
ACOX1	513996	ENSBTAG00000030174	ACOX1	51	ENSG00000161533	ACOX1	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	9	ENSBTAG00000030174
ADCY6	509936	ENSBTAG00000005464	ADCY6	112	ENSG00000174233	ADCY6	M5905	HALLMARK_ADIPOGENESIS	H		Hallmark	Genes up-regulated during adipocyte differentiation (adipogenesis).	HS	26771021				2026.1.Hs	HS	9913	EggNOG|Ensembl|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|Treefam	9	ENSBTAG00000005464
